smiles,Bioactivity
CCC[C@@H]1CN([C@@H](C1)C(=O)N[C@@H]([C@H]1O[C@H](SC)[C@H]([C@@H]([C@@H]1O)O)O)[C@H](O)C)C,1
Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,1
C[N+](C)(C)CC(O)=O,0
OC(=O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,1
NC(=O)c1ncn(n1)C1OC(CO)C(O)C1O,1
NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CN)C(O)C(O)C3N)C2O)C(N)C(O)C1O,0
S1[C@H]2N([C@H](C1(C)C)C(=O)O)C(=O)[C@H]2NC(=O)c1c(noc1C)c1ccccc1,1
CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O,0
C=1C=C(C(CCN(CC(C)(OC(C2=C(NC(=C(C2C3=CC(=CC=C3)[N+](=O)[O-])C(OC)=O)C)C)=O)C)C)C=4C=CC=CC4)C=CC1,1
CC[C@H](C)C1(CC)C(=O)NC(=O)NC1=O,0
[H][C@]1(CO[C@@]2([H])OCC[C@@]12[H])OC(=O)N[C@@H](Cc3ccccc3)[C@H](O)CN(CC(C)C)[S+]([O-])(=O)c4ccc(N)cc4,1
N([C@@H]1C(=O)N2C1SCC(=C2C(=O)O)CSC1=NC(=O)C(=O)NN1C)C(=O)C(=NOC)C1=CSC(=N1)N,1
OC1N=C(C2=CC(Cl)=CC=C2NC1=O)C3=CC=CC=C3Cl,0
O(N=O)CCCC,0
C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C2C(=O)OCCC21O,0
Cc1nnc(SCC2=C(N3[C@@H](SC2)[C@H](NC(=O)Cn2cnnn2)C3=O)C(=O)O)s1,1
CC1=C(C2=CN=CC=C2)C2=CC=CC=C2N1CCCCC(=O)O,0
OC(=O)CSCC(=O)NC1CCSC1=O,0
Oc1cc(ccc1O)[C@@H](O)CNCCCCc1ccc(O)cc1,0
Cn1c2ccc(O)cc2c(=O)c2c(O)cccc21,0
s1cc(nc1N)/C(=C/CC(O)=O)/C(=O)N[C@H]1[C@H]2SCC=C(N2C1=O)C(O)=O,1
CCC1(C(=O)NC(=O)N(C)C1=O)c1ccccc1,1
CCCC(=O)OC1(C(=O)COC(=O)CC)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,1
S1c2c(N(c3c1cccc3)CCCN1CCN(CC1)CCO)cc(cc2)C(=O)CC,0
FC12C(C3CC(C)C(O)(C(=O)COC(=O)C(C)(C)C)C3(CC1O)C)CC(F)C1=CC(=O)C=CC12C,0
CC12CCC3C(C1CCC2(C)O)CCC4C3CC(=CO)C(=O)C4,1
Oc1cc(NC(=O)c2ccccc2)ccc1C(O)=O,1
C[C@H]1CCN([C@@H](C1)C(=O)O)C(=O)[C@H](CCCN=C(N)N)NS(=O)(=O)c1cccc2c1NC[C@@H](C)C2,0
C[C@]1([C@@H]2C[C@@H]3[C@H](C(=O)/C(=C(/N)\O)/C(=O)[C@@]3(C(=O)C2=C(c2c1cccc2O)O)O)N(C)C)O,1
Nc1c(CC(O)=O)cccc1C(=O)c1ccc(Br)cc1,1
CCCCCC(=O)OC1(C(C)=O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,0
CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,1
OC(=O)CCCC=CCC1C(O)CC(O)C1C=CC(O)(C)CCCCC,0
O[C@@H]1C/C(=C/C=C\2/[C@H]3[C@]([C@H](CC3)[C@H](C)/C=C/[C@@H](C(C)C)C)(CCC2)C)/C(=C)CC1,0
CC1=CC=C(C(C)C)CCC(C=O)=CCCC(C)=CCC1,0
CN(C)C1C2CC3C(C4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O,1
s1cc(nc1\C=C\c1cc(NC(=O)CC(CC)(CC)C(O)=O)ccc1)C1CCC1,0
C1=CC(OC)=CC2=C1N=CC=C2[C@@H]([C@H]3C[C@H]4CC[N@@]3C[C@@H]4C=C)O,1
OC(=O)[C@@H](N)CCC(=O)N,1
OCC1=CC(O)C2(OC3OC(CO)C(O)C(O)C3O)C=COC(OC3OC(CO)C(O)C(O)C3O)C12,0
Oc1ccc(cc1)[C@@H]1[C@@H](CC[C@H](c2ccc(cc2)F)O)C(=O)N1c1ccc(cc1)F,1
[H]C#CC1(OC(=O)N([H])[H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])([H])),0
OC(=O)C=CC1=CC=CC=C1,0
[H]C=1C([H])=C(C([H])=C2OC([H])(OC=12)C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],0
C[N@+]12CCCC[C@@H]1CCC(=C(C1=CC=CS1)C1=CC=CS1)C2,1
CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,1
Fc1ccc(cc1)C(CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1)c1ccc(F)cc1,1
O=C(O)Cc1ccccc1Oc1ccc(Cl)cc1Cl,1
NC(=O)C1=C(O)N([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C=N1,1
Clc1ccc(OC(C(OCCOC(=O)c2cccnc2)=O)(C)C)cc1,1
COCCCOc1ccnc(CS(=O)c2nc3ccccc3[nH]2)c1C,1
FC(F)(F)c1cc(Nc2ccccc2C(OCCOCCO)=O)ccc1,1
C=CC[C@H]1/C=C(/C)\C[C@H](C)C[C@@H](OC)[C@H]2O[C@](O)([C@@H](C[C@@H]2OC)C)C(=O)C(=O)N2[C@H](C(=O)O[C@H]([C@H]([C@H](CC1=O)O)C)/C(=C/[C@@H]1CC[C@@H]([C@@H](C1)OC)O)/C)CCCC2,1
CN1C(CNC2=C1C(=O)N=C(N2)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)[O-])C(=O)[O-],0
c1(c(c(cc(c1)/C=C(/C(=O)N(CC)CC)C#N)O)O)[N+](=O)[O-],0
[H]C=1C([H])=C(OC([H])([H])C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])OC(=O)C([H])([H])[H])C([H])=C(C=1([H]))C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])([H]),1
O=C1NC(=O)CC[C@@H]1N1C(=O)c2c(C1=O)cccc2,1
Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,0
S(C1=C(N2[C@@H]([C@H](C2=O)[C@H](O)C)[C@H]1C)C(=O)O)[C@H]1C[C@H](NC1)CNS(=O)(=O)N,1
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C2=O)c2C(=O)/C(=C/NN4CCN(CC4)C4CCCC4)/C(=C(c2c(c3C)O)O)NC(=O)/C(=C/C=C/[C@@H]([C@@H]([C@@H]([C@H]([C@H]([C@H]([C@H]1C)OC(=O)C)C)O)C)O)C)/C,1
CN1C[C@@H](C[C@H]2[C@@H]1Cc1c[nH]c3c1c2ccc3)C(=O)N[C@]1(C)O[C@@]2(N(C1=O)[C@@H](Cc1ccccc1)C(=O)N1[C@H]2CCC1)O,0
O([C@H]1C[C@@](O)(Cc2c1c(O)c1c(c2O)C(=O)c2c(C1=O)c(OC)ccc2)C(=O)CO)[C@H]1O[C@@H]([C@@H](O[C@H]2OCCCC2)[C@H](N)C1)C,1
[H]OC(=O)C4([H])(N3C(=O)C([H])(N([H])C(=O)C([H])(C1=C([H])C([H])=C([H])C([H])=C1([H]))N([H])C(=O)N2C(=O)N(C([H])([H])C2([H])([H]))S(=O)(=O)C([H])([H])[H])C3([H])SC4(C([H])([H])[H])(C([H])([H])[H])),1
OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O,0
[H]OC([H])(C([H])([H])OC1=C([H])C([H])=C([H])C2=C1SC([H])([H])C([H])([H])C2([H])([H]))C([H])([H])N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],0
CCC(=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1,0
S([C@H]1C[C@H](N(C1)C(=O)[C@@H](CSC(=O)c1ccccc1)C)C(=O)O)c1ccccc1,1
CCCCCCCCCCC[C@H](C[C@@H]1OC(=O)[C@@H]1CCCCCC)OC(=O)[C@@H](CC(C)C)NC=O,1
OC(C=O)C1OC(=O)C(O)C1O,0
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2OC(C)=O)N(C)C)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,1
O1[C@@]23[C@]([C@@H]4[C@H]([C@H]5[C@@](CC4)([C@@H](O)CC5)C)CC3)(CC(=C(O)[C@@H]12)C#N)C,0
O[C@@H]([C@@H](CC(C)C)C(=O)N[C@@H](C(C)(C)C)C(=O)NC)C(=O)NO,1
CNC(C)Cc1ccc2c(c1)OCO2,1
C1=CC=C2C(=C1)CCN3C2CN(CC3=O)C(=O)C4CCCCC4,0
O=C(OC1OC2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)OC(C2O)C1O)c1cc(O)c(O)c(O)c1,0
CC1C2NCC(C)CC2OC11CCC2C3CC=C4CC(O)CCC4(C)C3CC2=C1C,1
CC=CC1=CC=C(OC)C=C1,1
C[C@H]1/C=C/C=C(\C(=O)NC\2=C(C3=C(C(=C4C(=C3C(=O)/C2=C/NN5CCN(CC5)C)C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C,1
