split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,BCF1859_ECFP,logBCF,tr,96,1859,0.6932642148887845,0.760463087964535,0.5202738374286988
1,BCF1859_ECFP,logBCF,va,96,1859,0.9857252423641268,0.5315181183149112,0.7521615865974394
1,BCF1859_ECFP,logBCF,te,96,1859,0.8858432334269383,0.5172600101459476,0.6610946362832115
2,BCF1859_ECFP,logBCF,tr,96,1859,0.7378374327944034,0.7251976900901602,0.5593118344168296
2,BCF1859_ECFP,logBCF,va,96,1859,0.9755932848628927,0.4965494463115352,0.7261858626543236
2,BCF1859_ECFP,logBCF,te,96,1859,0.9168399990662058,0.5800671380075026,0.6964344780290332
3,BCF1859_ECFP,logBCF,tr,96,1859,0.6959994932034181,0.746648889873302,0.5212729973263709
3,BCF1859_ECFP,logBCF,va,96,1859,1.1242188371757795,0.4270932582108481,0.8403394864528272
3,BCF1859_ECFP,logBCF,te,96,1859,0.8785162573409255,0.6603603353696361,0.6844040858049114
4,BCF1859_ECFP,logBCF,tr,96,1859,0.6878582587079269,0.759102144409553,0.5104497379402816
4,BCF1859_ECFP,logBCF,va,96,1859,0.9567395743165403,0.5156876211339902,0.7256193290714229
4,BCF1859_ECFP,logBCF,te,96,1859,1.0569921806045468,0.47624949846616416,0.8387288039337336
5,BCF1859_ECFP,logBCF,tr,96,1859,0.7544981831195526,0.7009967848681211,0.5920295123307138
5,BCF1859_ECFP,logBCF,va,96,1859,0.9514365637954529,0.5389492270992655,0.7287200355500287
5,BCF1859_ECFP,logBCF,te,96,1859,1.0669249945049895,0.5478381480222214,0.80435806489886
6,BCF1859_ECFP,logBCF,tr,96,1859,0.6420455590143075,0.7916994087232934,0.48338258686348823
6,BCF1859_ECFP,logBCF,va,96,1859,0.9659539964469225,0.5343434544169956,0.7019064599628589
6,BCF1859_ECFP,logBCF,te,96,1859,1.115706130119043,0.3504253156960603,0.8131034359509407
7,BCF1859_ECFP,logBCF,tr,96,1859,0.7307296278736871,0.7385592827206323,0.548537100305605
7,BCF1859_ECFP,logBCF,va,96,1859,1.1268816780458122,0.30728335872700374,0.8732586851599948
7,BCF1859_ECFP,logBCF,te,96,1859,0.9659533150960801,0.39839075728066276,0.7054081991172648
8,BCF1859_ECFP,logBCF,tr,96,1859,0.7150611208128362,0.7358729055042377,0.5398831441608329
8,BCF1859_ECFP,logBCF,va,96,1859,1.0455502839906814,0.5668088492060186,0.7992851866418464
8,BCF1859_ECFP,logBCF,te,96,1859,0.9340124262592742,0.514242175068248,0.7175502485650815
9,BCF1859_ECFP,logBCF,tr,96,1859,0.6682146660792969,0.7675575512679332,0.5094803281767875
9,BCF1859_ECFP,logBCF,va,96,1859,1.1404809922607653,0.4159639123571045,0.8522555324198141
9,BCF1859_ECFP,logBCF,te,96,1859,1.0455134734500524,0.4980740292202648,0.7669685971876378
10,BCF1859_ECFP,logBCF,tr,96,1859,0.7050945484460347,0.7467082769451141,0.5245655415956146
10,BCF1859_ECFP,logBCF,va,96,1859,0.9367609773478045,0.5261916667529281,0.7316925266992103
10,BCF1859_ECFP,logBCF,te,96,1859,0.9571687938416289,0.5770485995071424,0.7505417996997464
