split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,BCF1859_ECFP,logBCF,tr,96,1859,0.7570725675804215,0.7143396921737413,0.5789793950302705
1,BCF1859_ECFP,logBCF,va,96,1859,0.9649174920066915,0.5510878065268421,0.7552354855267736
1,BCF1859_ECFP,logBCF,te,96,1859,0.8064023591372498,0.5999602824455962,0.634286423746722
2,BCF1859_ECFP,logBCF,tr,96,1859,0.7462200118445342,0.7189181566236096,0.5740193794814388
2,BCF1859_ECFP,logBCF,va,96,1859,0.9334535245448621,0.5391022183247434,0.69799730035948
2,BCF1859_ECFP,logBCF,te,96,1859,0.8612051686087224,0.6294848137958421,0.6590868617945382
3,BCF1859_ECFP,logBCF,tr,96,1859,0.750410658839301,0.7054880283735676,0.5753179418313574
3,BCF1859_ECFP,logBCF,va,96,1859,1.0100893963909041,0.5375105385824392,0.7875534231152834
3,BCF1859_ECFP,logBCF,te,96,1859,0.8688821809459761,0.6677686740258426,0.6987932268392955
4,BCF1859_ECFP,logBCF,tr,96,1859,0.7470115793683859,0.7158879264492636,0.5659168407481514
4,BCF1859_ECFP,logBCF,va,96,1859,0.8671139063380162,0.6021765352849914,0.687145097534026
4,BCF1859_ECFP,logBCF,te,96,1859,0.9803626871113019,0.5494381152005512,0.7872958573726762
5,BCF1859_ECFP,logBCF,tr,96,1859,0.7565756287827604,0.6993479589179634,0.5864372232575993
5,BCF1859_ECFP,logBCF,va,96,1859,0.7917039185809558,0.6807619358029551,0.5987305929333515
5,BCF1859_ECFP,logBCF,te,96,1859,0.9416377359010685,0.6477963526030418,0.7211292703941009
6,BCF1859_ECFP,logBCF,tr,96,1859,0.7255386161529264,0.7340010791483065,0.5618926029499264
6,BCF1859_ECFP,logBCF,va,96,1859,0.9045886452329027,0.5916288164338384,0.683679276954325
6,BCF1859_ECFP,logBCF,te,96,1859,1.0736241699209754,0.3985022427913456,0.7923061953759593
7,BCF1859_ECFP,logBCF,tr,96,1859,0.7419586876851977,0.7304624712015211,0.5654507923303019
7,BCF1859_ECFP,logBCF,va,96,1859,1.0096358438563395,0.44393122831570986,0.7628944751715042
7,BCF1859_ECFP,logBCF,te,96,1859,0.8646255934473793,0.5179873913778554,0.6693372053711119
8,BCF1859_ECFP,logBCF,tr,96,1859,0.7487963050524187,0.7103630211453984,0.5693479103268084
8,BCF1859_ECFP,logBCF,va,96,1859,0.9832610087848797,0.6168865820230665,0.765774094150318
8,BCF1859_ECFP,logBCF,te,96,1859,0.895988094525179,0.5529882130968652,0.7111359791468764
9,BCF1859_ECFP,logBCF,tr,96,1859,0.7243401283025265,0.7268705522195494,0.5636619973881104
9,BCF1859_ECFP,logBCF,va,96,1859,1.0788480342700477,0.477382282144193,0.7988503131300474
9,BCF1859_ECFP,logBCF,te,96,1859,0.992686546235649,0.547514494712084,0.7358364598571321
10,BCF1859_ECFP,logBCF,tr,96,1859,0.7562274050335103,0.7086392085558982,0.5790528490563719
10,BCF1859_ECFP,logBCF,va,96,1859,0.8639397062221381,0.5969935643447515,0.673501380379333
10,BCF1859_ECFP,logBCF,te,96,1859,0.9495466950914861,0.5837578479002423,0.7373505680357662
