split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,BCF1859_ECFP,logBCF,tr,96,1859,0.6505306494876439,0.7890835727703432,0.3843587676749894
1,BCF1859_ECFP,logBCF,va,96,1859,0.9685995316132594,0.5476552515701854,0.6936574434568529
1,BCF1859_ECFP,logBCF,te,96,1859,0.7896468658268146,0.6164116889276283,0.6019251976604109
2,BCF1859_ECFP,logBCF,tr,96,1859,0.6424910944491139,0.7916309390868368,0.38308620914002395
2,BCF1859_ECFP,logBCF,va,96,1859,0.9593758930906746,0.5131481540437852,0.6609707467183731
2,BCF1859_ECFP,logBCF,te,96,1859,0.9065960287709721,0.5893986409993035,0.6249238895262825
3,BCF1859_ECFP,logBCF,tr,96,1859,0.6386310882242683,0.7866930152182456,0.3791615811915007
3,BCF1859_ECFP,logBCF,va,96,1859,1.093771104226393,0.45770561392272124,0.7677021525499877
3,BCF1859_ECFP,logBCF,te,96,1859,0.8057736770998216,0.7142771657062292,0.6233825159249815
4,BCF1859_ECFP,logBCF,tr,96,1859,0.6469058248257762,0.7869325318160378,0.3741370286168672
4,BCF1859_ECFP,logBCF,va,96,1859,0.8490263417600165,0.6186002338053006,0.6454769254093252
4,BCF1859_ECFP,logBCF,te,96,1859,0.9987489326629024,0.5323794813558506,0.7727856946612015
5,BCF1859_ECFP,logBCF,tr,96,1859,0.6447994854106862,0.7816220292501012,0.3904496308154799
5,BCF1859_ECFP,logBCF,va,96,1859,0.7715687832835225,0.6967935914581334,0.5643492428123541
5,BCF1859_ECFP,logBCF,te,96,1859,1.0175181133742648,0.5887457127122304,0.7090705563447602
6,BCF1859_ECFP,logBCF,tr,96,1859,0.6237939946464622,0.8033738892849225,0.3809274154719943
6,BCF1859_ECFP,logBCF,va,96,1859,0.8983149060010053,0.5972736583270919,0.6671931230983154
6,BCF1859_ECFP,logBCF,te,96,1859,0.9604931664898642,0.518586781136908,0.7139751629511014
7,BCF1859_ECFP,logBCF,tr,96,1859,0.6413630471618503,0.7985961995168679,0.377620836981484
7,BCF1859_ECFP,logBCF,va,96,1859,1.0131085273352394,0.4400994075414971,0.7610810355456662
7,BCF1859_ECFP,logBCF,te,96,1859,0.8927810544099192,0.4860839793934747,0.6446660829264512
8,BCF1859_ECFP,logBCF,tr,96,1859,0.6420608581638007,0.787049328828008,0.37990359975352783
8,BCF1859_ECFP,logBCF,va,96,1859,1.0006128698701582,0.6032454676895118,0.7103875258446279
8,BCF1859_ECFP,logBCF,te,96,1859,0.8865255009131245,0.5623802012642508,0.6743475613338071
9,BCF1859_ECFP,logBCF,tr,96,1859,0.598764783132473,0.8133637785773926,0.3684285294396111
9,BCF1859_ECFP,logBCF,va,96,1859,1.0811760376417594,0.4751243765685301,0.7466526293435037
9,BCF1859_ECFP,logBCF,te,96,1859,1.0213100453732054,0.5210440123761816,0.6865255736860597
10,BCF1859_ECFP,logBCF,tr,96,1859,0.6452833277321899,0.787857748745989,0.383968281971781
10,BCF1859_ECFP,logBCF,va,96,1859,0.8376681639901236,0.6211309464966983,0.6255506393198745
10,BCF1859_ECFP,logBCF,te,96,1859,0.9110304860341577,0.616840828542836,0.6961649188345352
