split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,BCF1859_ECFP,logBCF,tr,96,1859,0.6532364503888103,0.7873253628150882,0.48263286605807754
1,BCF1859_ECFP,logBCF,va,96,1859,0.9565988578961045,0.5587946608515414,0.7366599276983714
1,BCF1859_ECFP,logBCF,te,96,1859,0.7676001315778357,0.6375320482211815,0.5976792318190628
2,BCF1859_ECFP,logBCF,tr,96,1859,0.6396474350581194,0.7934713361741199,0.47645335242526715
2,BCF1859_ECFP,logBCF,va,96,1859,0.919896231644642,0.5523929711807414,0.6634249743001825
2,BCF1859_ECFP,logBCF,te,96,1859,0.8572711394977299,0.6328621467381288,0.6538107009089351
3,BCF1859_ECFP,logBCF,tr,96,1859,0.656273913653606,0.7747445806341471,0.48339092556058333
3,BCF1859_ECFP,logBCF,va,96,1859,0.99051105973473,0.5552654443862721,0.7524172076046787
3,BCF1859_ECFP,logBCF,te,96,1859,0.8253489407591234,0.7002259782379093,0.651162070090248
4,BCF1859_ECFP,logBCF,tr,96,1859,0.6440918272221837,0.788782158992182,0.47054519960715246
4,BCF1859_ECFP,logBCF,va,96,1859,0.8806131326103304,0.5896934891645118,0.6647078038875135
4,BCF1859_ECFP,logBCF,te,96,1859,0.9870602429814046,0.543260868064716,0.7789723779089688
5,BCF1859_ECFP,logBCF,tr,96,1859,0.6514139567941603,0.7771187267119162,0.4887764140680635
5,BCF1859_ECFP,logBCF,va,96,1859,0.7908976144072161,0.6814118553059221,0.6046764436583009
5,BCF1859_ECFP,logBCF,te,96,1859,0.9568631159379483,0.6363146821281176,0.722540684761307
6,BCF1859_ECFP,logBCF,tr,96,1859,0.6343867527342185,0.7966393033405961,0.47798688424219027
6,BCF1859_ECFP,logBCF,va,96,1859,0.864884581647652,0.6266904202779614,0.6513358894444364
6,BCF1859_ECFP,logBCF,te,96,1859,1.0721098869490575,0.4001977997574345,0.7747415709848593
7,BCF1859_ECFP,logBCF,tr,96,1859,0.6545096692621465,0.7902548500040307,0.4812070383546413
7,BCF1859_ECFP,logBCF,va,96,1859,1.003159605562672,0.45104207717059763,0.7608968226039697
7,BCF1859_ECFP,logBCF,te,96,1859,0.8603677936752615,0.5227229900940147,0.6417355911107221
8,BCF1859_ECFP,logBCF,tr,96,1859,0.6460393125395308,0.7844021051227025,0.4726750992182595
8,BCF1859_ECFP,logBCF,va,96,1859,0.9527747861598722,0.640275316686948,0.7290001865690493
8,BCF1859_ECFP,logBCF,te,96,1859,0.8741257667705441,0.5745364678163755,0.6810268777592191
9,BCF1859_ECFP,logBCF,tr,96,1859,0.6175201777530397,0.8014884679526612,0.46280322569124377
9,BCF1859_ECFP,logBCF,va,96,1859,1.0578718501577773,0.49750736410853,0.7705728702620508
9,BCF1859_ECFP,logBCF,te,96,1859,0.988898700718705,0.5509610513404805,0.7225372362795983
10,BCF1859_ECFP,logBCF,tr,96,1859,0.6399453251806245,0.7913530568251069,0.47044491662456667
10,BCF1859_ECFP,logBCF,va,96,1859,0.8393617462265122,0.6195974167279013,0.6578979070028903
10,BCF1859_ECFP,logBCF,te,96,1859,0.9054767331512293,0.6214981593330902,0.7080659577244279
