split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,BCF1859_Padel,logBCF,tr,21,1859,0.76306362531568,0.7098006848422631,0.5775719052057919
1,BCF1859_Padel,logBCF,va,21,1859,0.872536350285551,0.63293066829722,0.6221394350240236
1,BCF1859_Padel,logBCF,te,21,1859,0.7747115769273599,0.63078475529218,0.5777712287184853
2,BCF1859_Padel,logBCF,tr,20,1859,0.7683420492079273,0.7020055243934655,0.5742783895535578
2,BCF1859_Padel,logBCF,va,20,1859,0.8951013067322853,0.5761974159371579,0.6520115068406064
2,BCF1859_Padel,logBCF,te,20,1859,0.8532493597846819,0.6362988285151685,0.6492838655071594
3,BCF1859_Padel,logBCF,tr,21,1859,0.7508943914303232,0.7051082071233691,0.5629660207338887
3,BCF1859_Padel,logBCF,va,21,1859,1.0192025071609687,0.5291276558905446,0.7507649455453795
3,BCF1859_Padel,logBCF,te,21,1859,0.85029928848696,0.6818276546664417,0.6754927769162383
4,BCF1859_Padel,logBCF,tr,21,1859,0.7567104237812485,0.7084624800205761,0.5679505637059967
4,BCF1859_Padel,logBCF,va,21,1859,0.8424929088435954,0.6244475485834158,0.6523877721125853
4,BCF1859_Padel,logBCF,te,21,1859,0.9854364757207339,0.544762352978339,0.7573493151846666
5,BCF1859_Padel,logBCF,tr,20,1859,0.7585177376906647,0.6978024467145595,0.5761174601172676
5,BCF1859_Padel,logBCF,va,20,1859,0.8045362540131771,0.6703293246745647,0.604362040705721
5,BCF1859_Padel,logBCF,te,20,1859,0.932270416173619,0.6547688728613306,0.6586331627071487
6,BCF1859_Padel,logBCF,tr,20,1859,0.7496271811051696,0.716045038798437,0.5619966672360714
6,BCF1859_Padel,logBCF,va,20,1859,0.8640776013763608,0.6273867280399126,0.6444702280321224
6,BCF1859_Padel,logBCF,te,20,1859,0.957109817914436,0.5219723752694809,0.7145573895846399
7,BCF1859_Padel,logBCF,tr,21,1859,0.8051699106567555,0.6825795761532922,0.6047985715040755
7,BCF1859_Padel,logBCF,va,21,1859,0.9999176530785284,0.45458452392361404,0.7525720716036156
7,BCF1859_Padel,logBCF,te,21,1859,0.8677891594461365,0.5144536806262282,0.6517563351819783
8,BCF1859_Padel,logBCF,tr,20,1859,0.7459493768896096,0.7125612375245323,0.5585453220064881
8,BCF1859_Padel,logBCF,va,20,1859,0.9526310700754025,0.6403838298941747,0.7135199110570927
8,BCF1859_Padel,logBCF,te,20,1859,0.8406464886954625,0.6065031107176204,0.6365304183795631
9,BCF1859_Padel,logBCF,tr,21,1859,0.7472195417167569,0.7093436082648733,0.5673517333727764
9,BCF1859_Padel,logBCF,va,21,1859,0.974536144527256,0.5735584801450058,0.685201674059647
9,BCF1859_Padel,logBCF,te,21,1859,0.9357576987096312,0.5979248639967677,0.6735395907636655
10,BCF1859_Padel,logBCF,tr,21,1859,0.7743346442024449,0.6945193787073367,0.577890104481596
10,BCF1859_Padel,logBCF,va,21,1859,0.8091956958459323,0.6464488609165354,0.6190646276545037
10,BCF1859_Padel,logBCF,te,21,1859,0.8889255381485275,0.6352089522356633,0.6672886398458231
