split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,BCF1859_Padel,logBCF,tr,21,1859,0.7886141301715298,0.6900411871490649,0.6041357153633549
1,BCF1859_Padel,logBCF,va,21,1859,0.8734186575669602,0.6321879331861935,0.6500782027567756
1,BCF1859_Padel,logBCF,te,21,1859,0.7992081121977235,0.6070662801892281,0.6101889418426046
2,BCF1859_Padel,logBCF,tr,20,1859,0.758874858268249,0.7093038102479516,0.5742800217806825
2,BCF1859_Padel,logBCF,va,20,1859,0.892548299345498,0.5786115072156296,0.666131162493897
2,BCF1859_Padel,logBCF,te,20,1859,0.7929916003392546,0.6858551589673738,0.5942380650922319
3,BCF1859_Padel,logBCF,tr,21,1859,0.782190214990138,0.6800149248239454,0.5961575760199281
3,BCF1859_Padel,logBCF,va,21,1859,0.9913988323986769,0.5544678760747447,0.7459676119718589
3,BCF1859_Padel,logBCF,te,21,1859,0.8286595738147841,0.6978162526689222,0.6476822914372707
4,BCF1859_Padel,logBCF,tr,21,1859,0.7560819201064372,0.7089465656176588,0.5723716851742284
4,BCF1859_Padel,logBCF,va,21,1859,0.8148488518165754,0.6486886275692421,0.6229192700969668
4,BCF1859_Padel,logBCF,te,21,1859,0.9524279434712367,0.5747491793570727,0.7162231885481032
5,BCF1859_Padel,logBCF,tr,20,1859,0.7698327175861404,0.6887193027230964,0.5873275200028445
5,BCF1859_Padel,logBCF,va,20,1859,0.7608093629119773,0.7051909733669621,0.576053587596977
5,BCF1859_Padel,logBCF,te,20,1859,0.9067331038931273,0.6734233846750828,0.6556290421617612
6,BCF1859_Padel,logBCF,tr,20,1859,0.7471430459431919,0.7179238760746789,0.5666201909129287
6,BCF1859_Padel,logBCF,va,20,1859,0.885092482642056,0.6090419776692854,0.6646922582859747
6,BCF1859_Padel,logBCF,te,20,1859,0.919344470032789,0.5589518664429464,0.6994539978876096
7,BCF1859_Padel,logBCF,tr,21,1859,0.7340072887843246,0.7362086572227793,0.5643829267017181
7,BCF1859_Padel,logBCF,va,21,1859,1.0197745390374966,0.43270714376379915,0.765226580926275
7,BCF1859_Padel,logBCF,te,21,1859,0.8894986408219534,0.489855976808255,0.6511361234850296
8,BCF1859_Padel,logBCF,tr,20,1859,0.7543500824130179,0.7060506476648576,0.564634276196446
8,BCF1859_Padel,logBCF,va,20,1859,0.9615561844521657,0.6336138412811185,0.7308262817323257
8,BCF1859_Padel,logBCF,te,20,1859,0.8407607469786834,0.6063961374891265,0.6311791077336737
9,BCF1859_Padel,logBCF,tr,21,1859,0.7758335552861735,0.6866565984939794,0.589985236687805
9,BCF1859_Padel,logBCF,va,21,1859,0.90335004785696,0.6335829079416595,0.6633677576005662
9,BCF1859_Padel,logBCF,te,21,1859,0.9171639352225927,0.613744801163002,0.6603403166835766
10,BCF1859_Padel,logBCF,tr,21,1859,0.8393027003873869,0.6411082084121131,0.6403673400719941
10,BCF1859_Padel,logBCF,va,21,1859,0.8435066519174679,0.6158311599934989,0.6485810604706639
10,BCF1859_Padel,logBCF,te,21,1859,0.9604397772650917,0.5741529118786254,0.7077212686355141
