split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,BCF1859_Padel,logBCF,tr,21,1859,0.6375905398013816,0.7973910576992254,0.5062525098234886
1,BCF1859_Padel,logBCF,va,21,1859,0.8196564936396254,0.6760747437248769,0.6340461559598497
1,BCF1859_Padel,logBCF,te,21,1859,0.7614694447655633,0.64329886177689,0.5814026402519993
2,BCF1859_Padel,logBCF,tr,20,1859,0.6361287320351972,0.7957373163638124,0.5033819227852872
2,BCF1859_Padel,logBCF,va,20,1859,0.7830851187471264,0.6756326295653415,0.6218099847715788
2,BCF1859_Padel,logBCF,te,20,1859,0.7845602523611491,0.6924998289297455,0.6184038612678595
3,BCF1859_Padel,logBCF,tr,21,1859,0.6273659485183485,0.7941519057955566,0.4957209781277581
3,BCF1859_Padel,logBCF,va,21,1859,0.8899505150273092,0.6409838920760798,0.7065478226366285
3,BCF1859_Padel,logBCF,te,21,1859,0.8090477403113605,0.7119505194464915,0.6447065520230923
4,BCF1859_Padel,logBCF,tr,21,1859,0.6302661861060579,0.7977525578872094,0.496306435558933
4,BCF1859_Padel,logBCF,va,21,1859,0.8146794670095406,0.6488346684551708,0.6452170887424877
4,BCF1859_Padel,logBCF,te,21,1859,0.9238834968532492,0.5998569097941815,0.7148447990685172
5,BCF1859_Padel,logBCF,tr,20,1859,0.6438506380312233,0.7822642596275676,0.5116059228475985
5,BCF1859_Padel,logBCF,va,20,1859,0.7737303254520108,0.6950923523953483,0.5850089265196038
5,BCF1859_Padel,logBCF,te,20,1859,0.8197192851700377,0.733095162230991,0.6218024070624778
6,BCF1859_Padel,logBCF,tr,20,1859,0.6253894475600889,0.8023667975759864,0.4967859038048502
6,BCF1859_Padel,logBCF,va,20,1859,0.8140890818654961,0.6692524123383807,0.6281408773570372
6,BCF1859_Padel,logBCF,te,20,1859,0.9059239750517801,0.5717346293049939,0.6748476218732304
7,BCF1859_Padel,logBCF,tr,21,1859,0.6244324744927814,0.8090890865316652,0.4943185989937675
7,BCF1859_Padel,logBCF,va,21,1859,0.9678912443421701,0.48896327910641146,0.7408395369167222
7,BCF1859_Padel,logBCF,te,21,1859,0.8207502184587979,0.5656655883230307,0.6191455430162004
8,BCF1859_Padel,logBCF,tr,20,1859,0.6216423786672832,0.8003782536855713,0.49399249368957016
8,BCF1859_Padel,logBCF,va,20,1859,0.8498612844641505,0.7137893312953306,0.6711523270682553
8,BCF1859_Padel,logBCF,te,20,1859,0.8163693872066772,0.6289025940064207,0.6219597236147192
9,BCF1859_Padel,logBCF,tr,21,1859,0.6392375480853089,0.787280164101823,0.5059503202053551
9,BCF1859_Padel,logBCF,va,21,1859,0.8865816826029399,0.6470598317235676,0.6434558783841291
9,BCF1859_Padel,logBCF,te,21,1859,0.8467601750887586,0.6707686006476743,0.6577994563381308
10,BCF1859_Padel,logBCF,tr,21,1859,0.6423823319690711,0.7897609139681281,0.5083168587878657
10,BCF1859_Padel,logBCF,va,21,1859,0.8008430436687541,0.6537100180529573,0.6157010115650101
10,BCF1859_Padel,logBCF,te,21,1859,0.897734675916845,0.6279430629864227,0.6880305902584171
