split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,BCF1859_Padel,logBCF,tr,21,1859,0.6875829247248767,0.764373004220246,0.4567196675569181
1,BCF1859_Padel,logBCF,va,21,1859,0.8841381915578246,0.6231041589818294,0.6472672317184929
1,BCF1859_Padel,logBCF,te,21,1859,0.7524590180701859,0.6516905674765316,0.5607754197816801
2,BCF1859_Padel,logBCF,tr,20,1859,0.7068149018636265,0.7478201371122324,0.46528722291039254
2,BCF1859_Padel,logBCF,va,20,1859,0.9380083170248146,0.534593337157449,0.6707990427958372
2,BCF1859_Padel,logBCF,te,20,1859,0.8531145480806525,0.6364137475613043,0.6233951205240367
3,BCF1859_Padel,logBCF,tr,21,1859,0.6843432496168487,0.7550638200291807,0.44565211433667723
3,BCF1859_Padel,logBCF,va,21,1859,1.0049837757831892,0.5421741416342265,0.7374353609065283
3,BCF1859_Padel,logBCF,te,21,1859,0.813780465751073,0.7085706287489951,0.615235637985701
4,BCF1859_Padel,logBCF,tr,21,1859,0.6835719799612868,0.7620950233746452,0.4494589706861762
4,BCF1859_Padel,logBCF,va,21,1859,0.822734807377647,0.6418558715362375,0.586080078218828
4,BCF1859_Padel,logBCF,te,21,1859,0.9689234973002978,0.5598913757137277,0.7283141078347227
5,BCF1859_Padel,logBCF,tr,20,1859,0.715044739406066,0.7314495444573661,0.4753380868047313
5,BCF1859_Padel,logBCF,va,20,1859,0.7647442508652225,0.7021335968544602,0.5495937530090715
5,BCF1859_Padel,logBCF,te,20,1859,0.9331703479886332,0.6541020396696348,0.634481690782549
6,BCF1859_Padel,logBCF,tr,20,1859,0.6990218932292088,0.7530890411461066,0.463984560661902
6,BCF1859_Padel,logBCF,va,20,1859,0.9047651499858215,0.5914694368365763,0.6506017707307622
6,BCF1859_Padel,logBCF,te,20,1859,0.8890696771947538,0.5875217538154979,0.6561325807770536
7,BCF1859_Padel,logBCF,tr,21,1859,0.6725709624111887,0.778519232507148,0.44023884795401996
7,BCF1859_Padel,logBCF,va,21,1859,1.0940052780261833,0.3471133026343338,0.7727889011036881
7,BCF1859_Padel,logBCF,te,21,1859,0.8364342618304655,0.5489072436941271,0.5988949347008887
8,BCF1859_Padel,logBCF,tr,20,1859,0.6996180014820236,0.7471583740586043,0.4553397823429279
8,BCF1859_Padel,logBCF,va,20,1859,0.9499835664825464,0.6423799061069637,0.6953562263116514
8,BCF1859_Padel,logBCF,te,20,1859,0.8724410871754769,0.5761748568276892,0.6653659794657568
9,BCF1859_Padel,logBCF,tr,21,1859,0.6878065994146949,0.7537273904568514,0.45402744412212254
9,BCF1859_Padel,logBCF,va,21,1859,0.9212383887631892,0.61892747809252,0.6485908798483868
9,BCF1859_Padel,logBCF,te,21,1859,0.9683269439916815,0.5694491681853276,0.674918568071536
10,BCF1859_Padel,logBCF,tr,21,1859,0.6953503448586308,0.7536607394930295,0.45617995398314054
10,BCF1859_Padel,logBCF,va,21,1859,0.790350946218927,0.6627242879679165,0.5825224690514199
10,BCF1859_Padel,logBCF,te,21,1859,1.0116589402276357,0.5275219329509057,0.7122919646977388
