split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,BCF1859_Padel,logBCF,tr,21,1859,0.40171218700520256,0.9195724397053697,0.30339934900371385
1,BCF1859_Padel,logBCF,va,21,1859,0.7875979818502309,0.7009180300545409,0.5825741465757108
1,BCF1859_Padel,logBCF,te,21,1859,0.7246467135876613,0.6769630608501396,0.5348860198679667
2,BCF1859_Padel,logBCF,tr,20,1859,0.42800657441176687,0.907530206036866,0.32052434819706616
2,BCF1859_Padel,logBCF,va,20,1859,0.7888634223562137,0.6708280222263165,0.5938091284974152
2,BCF1859_Padel,logBCF,te,20,1859,0.7621841892809601,0.7097898291755868,0.5744605307086578
3,BCF1859_Padel,logBCF,tr,21,1859,0.5205068403169592,0.8583039162184323,0.3928041256083248
3,BCF1859_Padel,logBCF,va,21,1859,0.9024096594511954,0.6308612070756314,0.6926553640644699
3,BCF1859_Padel,logBCF,te,21,1859,0.8048025642886337,0.714965453027591,0.6204092771308841
4,BCF1859_Padel,logBCF,tr,21,1859,0.5195935116394774,0.8625443928153071,0.3924874782426273
4,BCF1859_Padel,logBCF,va,21,1859,0.8103445747165733,0.652561812647942,0.6131752732942269
4,BCF1859_Padel,logBCF,te,21,1859,0.9203077281167615,0.6029483174422496,0.6931186273900092
5,BCF1859_Padel,logBCF,tr,20,1859,0.4362315443425785,0.9000475152297688,0.3287828996480686
5,BCF1859_Padel,logBCF,va,20,1859,0.7063027674879016,0.7459197573402736,0.5073357078991584
5,BCF1859_Padel,logBCF,te,20,1859,0.7860765845225025,0.7545540559147814,0.5856255563032017
6,BCF1859_Padel,logBCF,tr,20,1859,0.405754187487967,0.9168073743803431,0.3049212799198239
6,BCF1859_Padel,logBCF,va,20,1859,0.7334544026833423,0.7315279589723099,0.5496778958304088
6,BCF1859_Padel,logBCF,te,20,1859,0.8979514706529973,0.5792392849105596,0.6439125020902167
7,BCF1859_Padel,logBCF,tr,21,1859,0.4715836711352882,0.8911126793390038,0.3551985756817202
7,BCF1859_Padel,logBCF,va,21,1859,0.9400222662251976,0.5179686693785244,0.6884734148346503
7,BCF1859_Padel,logBCF,te,21,1859,0.8064392865605323,0.5806799984530175,0.593719371004491
8,BCF1859_Padel,logBCF,tr,20,1859,0.4693776195959055,0.8861923699287967,0.35364261837949656
8,BCF1859_Padel,logBCF,va,20,1859,0.8284859409862059,0.7280055679574478,0.6395131861961528
8,BCF1859_Padel,logBCF,te,20,1859,0.801602358675246,0.6422064809085928,0.5998484628677967
9,BCF1859_Padel,logBCF,tr,21,1859,0.40136783081540733,0.9161373545906952,0.2993045726014955
9,BCF1859_Padel,logBCF,va,21,1859,0.8655413498443391,0.663612986759164,0.6168717759199167
9,BCF1859_Padel,logBCF,te,21,1859,0.8145828916340151,0.6953150736954121,0.6053389670134971
10,BCF1859_Padel,logBCF,tr,21,1859,0.42441513509391693,0.9082284619327244,0.31983331565390755
10,BCF1859_Padel,logBCF,va,21,1859,0.7612415453513253,0.6871111571618647,0.5796242081000658
10,BCF1859_Padel,logBCF,te,21,1859,0.8780361906959819,0.6440915992402168,0.6637206011649681
