split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,BCF1859_RDKit,logBCF,tr,79,1859,0.7120878660940209,0.7472785811767126,0.5387364840121822
1,BCF1859_RDKit,logBCF,va,79,1859,0.8302411644333122,0.6676546794945253,0.5903066406343038
1,BCF1859_RDKit,logBCF,te,79,1859,0.7186268775918067,0.6823078780614411,0.5153876067874725
2,BCF1859_RDKit,logBCF,tr,79,1859,0.719670209135834,0.7385635964201644,0.5360826216957578
2,BCF1859_RDKit,logBCF,va,79,1859,0.8172167780466617,0.6467405674418644,0.5967591190673188
2,BCF1859_RDKit,logBCF,te,79,1859,0.8196553805736805,0.6643741940028223,0.6097899829718095
3,BCF1859_RDKit,logBCF,tr,79,1859,0.713592203083996,0.7336791567898079,0.5340625481557678
3,BCF1859_RDKit,logBCF,va,79,1859,0.9464545292351684,0.593947933798768,0.6843860700542825
3,BCF1859_RDKit,logBCF,te,79,1859,0.8108980585886111,0.7106314558932794,0.627147984834006
4,BCF1859_RDKit,logBCF,tr,79,1859,0.7309457572283337,0.7279771908083065,0.5484284665319061
4,BCF1859_RDKit,logBCF,va,79,1859,0.7658709117758139,0.6896517912983655,0.56120893419339
4,BCF1859_RDKit,logBCF,te,79,1859,0.8241371129417516,0.681595023640297,0.617505125122079
5,BCF1859_RDKit,logBCF,tr,79,1859,0.7121166620502583,0.7336444462795443,0.5431856166695292
5,BCF1859_RDKit,logBCF,va,79,1859,0.7308412765669692,0.7279584662565597,0.531274324265723
5,BCF1859_RDKit,logBCF,te,79,1859,0.8290294085747014,0.7269978835908524,0.5969486365506551
6,BCF1859_RDKit,logBCF,tr,79,1859,0.7086831571198492,0.7462167045327377,0.5269774364741601
6,BCF1859_RDKit,logBCF,va,79,1859,0.8775728463228805,0.6156568204088257,0.6523404923192799
6,BCF1859_RDKit,logBCF,te,79,1859,0.8162613581055959,0.6523134206744089,0.647404748269832
7,BCF1859_RDKit,logBCF,tr,79,1859,0.7196327406284921,0.7464394872491514,0.5463246735334222
7,BCF1859_RDKit,logBCF,va,79,1859,0.9194210101603211,0.5388652689207756,0.6769879285240037
7,BCF1859_RDKit,logBCF,te,79,1859,0.8686893004883742,0.5134458624430225,0.6515953045284475
8,BCF1859_RDKit,logBCF,tr,79,1859,0.7098810153274095,0.7396858673183322,0.5299071433712842
8,BCF1859_RDKit,logBCF,va,79,1859,0.8777202300294743,0.6947174756557075,0.6720399041458721
8,BCF1859_RDKit,logBCF,te,79,1859,0.7730132947353615,0.6672727095819789,0.579964566399062
9,BCF1859_RDKit,logBCF,tr,79,1859,0.7175509407264743,0.7319666023893667,0.5483427276251795
9,BCF1859_RDKit,logBCF,va,79,1859,0.8981195691957532,0.6378138001075538,0.6286126224331907
9,BCF1859_RDKit,logBCF,te,79,1859,0.8714611140934365,0.6512803454156146,0.6202615956620665
10,BCF1859_RDKit,logBCF,tr,79,1859,0.7124834334579182,0.7413718305453776,0.5316983581447534
10,BCF1859_RDKit,logBCF,va,79,1859,0.7499252639505037,0.6963445488159461,0.5923142592365308
10,BCF1859_RDKit,logBCF,te,79,1859,0.836425784122738,0.6770255037404813,0.6332109647355447
