split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,BCF1859_RDKit,logBCF,tr,79,1859,0.5284635330779772,0.8608109957276188,0.3957121251902867
1,BCF1859_RDKit,logBCF,va,79,1859,0.8265301808210801,0.6706190511661194,0.6057937494369393
1,BCF1859_RDKit,logBCF,te,79,1859,0.7416028972976362,0.6616685512713867,0.527953654980452
2,BCF1859_RDKit,logBCF,tr,79,1859,0.4948359315459895,0.8763991478559134,0.36586568894830696
2,BCF1859_RDKit,logBCF,va,79,1859,0.758153606398806,0.6959579665320588,0.5742301697964272
2,BCF1859_RDKit,logBCF,te,79,1859,0.7652368071690335,0.7074605370482613,0.5480769279537229
3,BCF1859_RDKit,logBCF,tr,79,1859,0.5512832780323469,0.8410521698921899,0.42617513901427706
3,BCF1859_RDKit,logBCF,va,79,1859,0.9363595795297767,0.6025636983176066,0.7218028997721667
3,BCF1859_RDKit,logBCF,te,79,1859,0.8301834311350041,0.6967038336910196,0.6163195968805112
4,BCF1859_RDKit,logBCF,tr,79,1859,0.49729705115445166,0.8740880963378385,0.36610079708381954
4,BCF1859_RDKit,logBCF,va,79,1859,0.8399423110348317,0.6267180324817594,0.599812936255398
4,BCF1859_RDKit,logBCF,te,79,1859,0.8924143940528448,0.6266518222598367,0.6618581388012357
5,BCF1859_RDKit,logBCF,tr,79,1859,0.5293014655232982,0.852848174354359,0.40655119829835445
5,BCF1859_RDKit,logBCF,va,79,1859,0.6944378686329699,0.7543844432509607,0.5288042884564929
5,BCF1859_RDKit,logBCF,te,79,1859,0.8187402188047656,0.7337323596137642,0.6128395114863605
6,BCF1859_RDKit,logBCF,tr,79,1859,0.521337016553954,0.8626603505266982,0.40372446253540545
6,BCF1859_RDKit,logBCF,va,79,1859,0.8720346658516034,0.6204925339196875,0.6256526554070716
6,BCF1859_RDKit,logBCF,te,79,1859,0.8580509519668501,0.6158015509541896,0.6657743169360786
7,BCF1859_RDKit,logBCF,tr,79,1859,0.4506782536890091,0.9005526993944107,0.3410811353974162
7,BCF1859_RDKit,logBCF,va,79,1859,0.9715900739032284,0.485049927177192,0.6681661884236928
7,BCF1859_RDKit,logBCF,te,79,1859,0.8601571079405089,0.5229567114078701,0.6088848572783893
8,BCF1859_RDKit,logBCF,tr,79,1859,0.524166681881589,0.8580728612782417,0.38874590117141933
8,BCF1859_RDKit,logBCF,va,79,1859,0.8422210874798003,0.7189122301889528,0.6375634366028592
8,BCF1859_RDKit,logBCF,te,79,1859,0.7303691834936211,0.7029706408251223,0.5721673565082455
9,BCF1859_RDKit,logBCF,tr,79,1859,0.4818368423101118,0.8791397624966457,0.367215336572393
9,BCF1859_RDKit,logBCF,va,79,1859,0.9183352634808054,0.621325463514281,0.6621305535605295
9,BCF1859_RDKit,logBCF,te,79,1859,0.7816985005752131,0.719418548459106,0.562898683445709
10,BCF1859_RDKit,logBCF,tr,79,1859,0.5307998854616811,0.8564550476143772,0.39283876170237075
10,BCF1859_RDKit,logBCF,va,79,1859,0.738255332706083,0.7057216596182345,0.5703529695009584
10,BCF1859_RDKit,logBCF,te,79,1859,0.8214694924194306,0.6884725760544046,0.624224470400135
