split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,BCF1859_RDKit,logBCF,tr,79,1859,0.5537475397142904,0.8471735589912492,0.4408499830765999
1,BCF1859_RDKit,logBCF,va,79,1859,0.8230193250178043,0.6734113338938505,0.5934818489811717
1,BCF1859_RDKit,logBCF,te,79,1859,0.6942594347074338,0.7034874270294939,0.5148560414539276
2,BCF1859_RDKit,logBCF,tr,79,1859,0.5556451993807822,0.8441545444192973,0.43801148006238294
2,BCF1859_RDKit,logBCF,va,79,1859,0.7227530963962888,0.7236883857889094,0.5483152399775357
2,BCF1859_RDKit,logBCF,te,79,1859,0.7290170784053593,0.7344977763730483,0.5571809810919172
3,BCF1859_RDKit,logBCF,tr,79,1859,0.54764571292973,0.8431428393286524,0.43232219886293316
3,BCF1859_RDKit,logBCF,va,79,1859,0.8497553162376932,0.6726819180553921,0.6530789364948566
3,BCF1859_RDKit,logBCF,te,79,1859,0.7546591682613586,0.7493772430201812,0.5761872776183679
4,BCF1859_RDKit,logBCF,tr,79,1859,0.5477906620153923,0.8472207859408851,0.43062461740961183
4,BCF1859_RDKit,logBCF,va,79,1859,0.7598137986084692,0.6945413377309677,0.581594627792465
4,BCF1859_RDKit,logBCF,te,79,1859,0.8337466836029102,0.6741264275256358,0.6277099640370891
5,BCF1859_RDKit,logBCF,tr,79,1859,0.5593849238191915,0.8356457358124363,0.4416643044364353
5,BCF1859_RDKit,logBCF,va,79,1859,0.7449783186072191,0.7173321949124258,0.5653910113909985
5,BCF1859_RDKit,logBCF,te,79,1859,0.7846926711075667,0.7554175263095835,0.5993382304959218
6,BCF1859_RDKit,logBCF,tr,79,1859,0.547555782376325,0.8484989826139129,0.43341926578638296
6,BCF1859_RDKit,logBCF,va,79,1859,0.7813785103565526,0.6952976871342433,0.5864774975434424
6,BCF1859_RDKit,logBCF,te,79,1859,0.8075647408243872,0.65968260344221,0.6214262588633861
7,BCF1859_RDKit,logBCF,tr,79,1859,0.5351792709264157,0.859764372979154,0.4253069899143538
7,BCF1859_RDKit,logBCF,va,79,1859,0.9287301829482854,0.5294799815764613,0.6812211092203212
7,BCF1859_RDKit,logBCF,te,79,1859,0.8268693437227419,0.5591650621890423,0.6098858954525331
8,BCF1859_RDKit,logBCF,tr,79,1859,0.5496067803444772,0.8439618519926921,0.435263047232388
8,BCF1859_RDKit,logBCF,va,79,1859,0.8118991879458608,0.7387875084278753,0.6307697999882477
8,BCF1859_RDKit,logBCF,te,79,1859,0.7630716821002048,0.6757759914594439,0.5589806259383681
9,BCF1859_RDKit,logBCF,tr,79,1859,0.5492836101036843,0.8429359773749313,0.4346418356632098
9,BCF1859_RDKit,logBCF,va,79,1859,0.8659296720659148,0.6633110812409666,0.6228470767361441
9,BCF1859_RDKit,logBCF,te,79,1859,0.7797747006346589,0.7207978996108537,0.5616472241985186
10,BCF1859_RDKit,logBCF,tr,79,1859,0.555330747710044,0.8428806314072781,0.4401251586920126
10,BCF1859_RDKit,logBCF,va,79,1859,0.7104751683772877,0.7274520499189416,0.5552710438605116
10,BCF1859_RDKit,logBCF,te,79,1859,0.7821768990022806,0.7175618385691105,0.5967194696581629
