split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,BCF1859_RDKit,logBCF,tr,79,1859,0.32438729392912746,0.9475551859732388,0.22276656193851693
1,BCF1859_RDKit,logBCF,va,79,1859,0.763087865685382,0.7192432938934048,0.5394511494730972
1,BCF1859_RDKit,logBCF,te,79,1859,0.6976476787974777,0.7005861815515997,0.486416938539624
2,BCF1859_RDKit,logBCF,tr,79,1859,0.27830010619303486,0.9609045916270149,0.18666439828905043
2,BCF1859_RDKit,logBCF,va,79,1859,0.7074963796561071,0.7352306788933571,0.5257154891107536
2,BCF1859_RDKit,logBCF,te,79,1859,0.7461982941713178,0.7218357830865578,0.5502963164549743
3,BCF1859_RDKit,logBCF,tr,79,1859,0.3869257034946822,0.9217002948552775,0.26932524679912245
3,BCF1859_RDKit,logBCF,va,79,1859,0.8658608764622922,0.6601569049261492,0.6283718584405067
3,BCF1859_RDKit,logBCF,te,79,1859,0.7049340827853368,0.781316601059543,0.528547559682852
4,BCF1859_RDKit,logBCF,tr,79,1859,0.32772809326925145,0.9453157368392225,0.22542904541389266
4,BCF1859_RDKit,logBCF,va,79,1859,0.7435525012179193,0.7074760894202334,0.5306511467689434
4,BCF1859_RDKit,logBCF,te,79,1859,0.8198909101091002,0.6848676080304335,0.6037392819359363
5,BCF1859_RDKit,logBCF,tr,79,1859,0.3002012628338864,0.9526647700425084,0.20506595722426754
5,BCF1859_RDKit,logBCF,va,79,1859,0.6535058632410227,0.7824855785419734,0.4670530772881798
5,BCF1859_RDKit,logBCF,te,79,1859,0.7676316673834247,0.7659374644195923,0.5623528750401363
6,BCF1859_RDKit,logBCF,tr,79,1859,0.271204185341887,0.9628335068595256,0.18331734471402197
6,BCF1859_RDKit,logBCF,va,79,1859,0.7732331781201224,0.7016171993358926,0.5662246236223618
6,BCF1859_RDKit,logBCF,te,79,1859,0.7765471369178956,0.6853229297865819,0.595468428658177
7,BCF1859_RDKit,logBCF,tr,79,1859,0.49269067364347935,0.8811474575841735,0.3488492858383511
7,BCF1859_RDKit,logBCF,va,79,1859,0.8930021735521279,0.5649852154257208,0.657626375758951
7,BCF1859_RDKit,logBCF,te,79,1859,0.8147839983905334,0.5719571886772711,0.5883336725974296
8,BCF1859_RDKit,logBCF,tr,79,1859,0.2854339545870005,0.9579139765825178,0.19241988229461257
8,BCF1859_RDKit,logBCF,va,79,1859,0.7958082342680999,0.7490387986522946,0.6007923333586712
8,BCF1859_RDKit,logBCF,te,79,1859,0.7718275111453773,0.6682927177869016,0.5570306741184872
9,BCF1859_RDKit,logBCF,tr,79,1859,0.2699598725242713,0.9620613507821508,0.18814163500503658
9,BCF1859_RDKit,logBCF,va,79,1859,0.8489431530543813,0.6763908446319953,0.6137079562184903
9,BCF1859_RDKit,logBCF,te,79,1859,0.7450938090527938,0.7450809392900699,0.5193901746057645
10,BCF1859_RDKit,logBCF,tr,79,1859,0.42171401885748416,0.9093928727123548,0.2925606018086369
10,BCF1859_RDKit,logBCF,va,79,1859,0.6581360015910657,0.7661289801871634,0.4848726264562459
10,BCF1859_RDKit,logBCF,te,79,1859,0.8019900004522352,0.7030718913622535,0.6192088752617074
