split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,auc_prc,acc,auc_roc,recall,precision,f1,kappa,mcc
1,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2206,2080,0.942883046237534,1558,522,442,1764,0.7996373526745241,0.7490384615384615,0.8674044082198242,0.7750816612225851,0.8604128164446614,0.7996373526745241,0.7716535433070866,0.7853962600178095,0.5492791440490112,0.5496637892596539
1,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,259,218,0.8416988416988417,149,69,70,189,0.7297297297297297,0.6834862385321101,0.8161265206928168,0.7085953878406709,0.7925330310651412,0.7297297297297297,0.7325581395348837,0.7311411992263055,0.41306599389191345,0.4130696764041566
1,DILI5293ECPFseed0group.csv,Bioactivity,te,206,5293,282,248,0.8794326241134752,165,83,65,217,0.7695035460992907,0.6653225806451613,0.8135384286633199,0.720754716981132,0.7957489704873026,0.7695035460992907,0.7233333333333334,0.7457044673539518,0.43673703863277313,0.43776544765861836
2,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2245,2041,0.9091314031180401,1488,553,434,1811,0.8066815144766147,0.7290543851053405,0.8666476913901264,0.769715352309846,0.8544160958698572,0.8066815144766147,0.7660744500846024,0.785853764374051,0.5371588524668007,0.5379971767366238
2,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,247,230,0.9311740890688259,156,74,52,195,0.7894736842105263,0.6782608695652174,0.8035725142187738,0.7358490566037735,0.8032740714662912,0.7894736842105263,0.724907063197026,0.7558139534883721,0.4692792681419212,0.4713071644791854
2,DILI5293ECPFseed0group.csv,Bioactivity,te,206,5293,255,275,1.0784313725490196,177,98,59,196,0.7686274509803922,0.6436363636363637,0.747586338732775,0.7037735849056603,0.7859893048128342,0.7686274509803922,0.6666666666666666,0.7140255009107468,0.4099836914131745,0.4144593941795122
3,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2212,2074,0.9376130198915009,1544,530,434,1778,0.8037974683544303,0.7444551591128254,0.8598281958664776,0.7750816612225851,0.8564483896899703,0.8037974683544303,0.770363951473137,0.7867256637168141,0.5490453746116624,0.5495998596601165
3,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,261,216,0.8275862068965517,155,61,68,193,0.7394636015325671,0.7175925925925926,0.8327216479762065,0.7295597484276729,0.8060078756917838,0.7394636015325671,0.7598425196850394,0.7495145631067962,0.45578285441375466,0.45598172623881533
3,DILI5293ECPFseed0group.csv,Bioactivity,te,206,5293,274,256,0.9343065693430657,162,94,61,213,0.7773722627737226,0.6328125,0.7665602967140537,0.7075471698113207,0.7719904767335766,0.7773722627737226,0.6938110749185668,0.7332185886402754,0.4119289303763941,0.41519600710732735
4,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2229,2057,0.9228353521758637,1506,551,428,1801,0.8079856437864513,0.7321341759844434,0.8629981592787839,0.771581894540364,0.8554988350189191,0.8079856437864513,0.7657312925170068,0.7862912027941498,0.5413687909541531,0.5422697776854374
4,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,237,240,1.0126582278481013,162,78,63,174,0.7341772151898734,0.675,0.7924987235912104,0.7044025157232704,0.7881065400843881,0.7341772151898734,0.6904761904761905,0.7116564417177914,0.4090154211150653,0.4098261881832293
4,DILI5293ECPFseed0group.csv,Bioactivity,te,206,5293,281,249,0.8861209964412812,171,78,76,205,0.7295373665480427,0.6867469879518072,0.812293747804594,0.7094339622641509,0.7967957238205492,0.7295373665480427,0.7243816254416962,0.7269503546099291,0.41647482734461017,0.4164867869048033
5,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2241,2045,0.9125390450691655,1508,537,438,1803,0.8045515394912985,0.7374083129584352,0.8645270491407133,0.772515165655623,0.8549806943067024,0.8045515394912985,0.7705128205128206,0.7871643745907007,0.5431096294167927,0.5436950181885253
5,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,242,235,0.9710743801652892,167,68,75,167,0.6900826446280992,0.7106382978723405,0.7770095473193729,0.70020964360587,0.7840689291366274,0.6900826446280992,0.7106382978723405,0.7002096436058701,0.40054838341140186,0.4007209425004396
5,DILI5293ECPFseed0group.csv,Bioactivity,te,206,5293,264,266,1.0075757575757576,184,82,61,203,0.7689393939393939,0.6917293233082706,0.8061442222272645,0.730188679245283,0.8063553770790612,0.7689393939393939,0.712280701754386,0.7395264116575591,0.4605309986475906,0.4619830386552992
6,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2211,2075,0.9384893713251922,1563,512,454,1757,0.7946630483943917,0.7532530120481927,0.8686129190429345,0.7746150256649557,0.8592276296502155,0.7946630483943917,0.7743499338915822,0.784375,0.548387490862001,0.5485892024136904
6,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,261,216,0.8275862068965517,145,71,75,186,0.7126436781609196,0.6712962962962963,0.8150456544341378,0.6939203354297694,0.7744430254008798,0.7126436781609196,0.7237354085603113,0.7181467181467182,0.3833280204016576,0.3833827416832421
6,DILI5293ECPFseed0group.csv,Bioactivity,te,206,5293,275,255,0.9272727272727272,179,76,66,209,0.76,0.7019607843137254,0.8099672616309008,0.7320754716981132,0.8010766488413548,0.76,0.7333333333333333,0.7464285714285716,0.4626204926811853,0.46295211760895183
7,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2240,2046,0.9133928571428571,1518,528,432,1808,0.8071428571428572,0.7419354838709677,0.8663807344373465,0.7760149323378441,0.8560699884792627,0.8071428571428572,0.773972602739726,0.7902097902097903,0.5501962512856033,0.5507536852079951
7,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,251,226,0.900398406374502,151,75,68,183,0.7290836653386454,0.668141592920354,0.7935918200638135,0.70020964360587,0.7934985720833481,0.7290836653386454,0.7093023255813954,0.7190569744597249,0.39783892581901004,0.39801187151437706
7,DILI5293ECPFseed0group.csv,Bioactivity,te,206,5293,256,274,1.0703125,175,99,61,195,0.76171875,0.6386861313868614,0.7556740186617102,0.6981132075471698,0.7797174384124088,0.76171875,0.6632653061224489,0.709090909090909,0.3984621059501178,0.4025918332164673
8,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2239,2047,0.9142474318892363,1471,576,448,1791,0.799910674408218,0.7186126038104543,0.859757178144431,0.7610825944937004,0.8505584376792539,0.799910674408218,0.7566539923954373,0.7776812852800695,0.5199172162430308,0.520855926218858
8,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,238,239,1.004201680672269,156,83,49,189,0.7941176470588235,0.6527196652719666,0.8307653603353752,0.7232704402515723,0.8090784430927183,0.7941176470588235,0.6948529411764706,0.7411764705882353,0.44670380850278557,0.4513105411823963
8,DILI5293ECPFseed0group.csv,Bioactivity,te,206,5293,270,260,0.9629629629629629,175,85,66,204,0.7555555555555555,0.6730769230769231,0.7838948594430876,0.7150943396226415,0.7890099715099715,0.7555555555555555,0.7058823529411765,0.7298747763864042,0.42921332287283365,0.43032461513477555
9,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2224,2062,0.927158273381295,1554,508,448,1776,0.7985611510791367,0.7536372453928225,0.8713124452193328,0.7769482034531031,0.8620678263402857,0.7985611510791367,0.7775831873905429,0.7879325643300799,0.5527842222313419,0.5530020951703815
