split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,auc_prc,acc,auc_roc,recall,precision,f1,kappa,mcc
1,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2206,2080,0.942883046237534,1990,90,50,2156,0.9773345421577516,0.9567307692307693,0.997053388903427,0.9673355109659356,0.9968074395006625,0.9773345421577516,0.9599287622439893,0.9685534591194969,0.9345785833282454,0.9347418898199426
1,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,259,218,0.8416988416988417,167,51,41,218,0.8416988416988417,0.7660550458715596,0.8834997773058175,0.8071278825995807,0.8631291842301017,0.8416988416988417,0.8104089219330854,0.8257575757575758,0.6099685372486979,0.6105174293389466
1,DILI5293ECPFseed0group.csv,Bioactivity,te,206,5293,282,248,0.8794326241134752,175,73,39,243,0.8617021276595744,0.7056451612903226,0.8669613901965673,0.7886792452830189,0.8603794898192634,0.8617021276595744,0.7689873417721519,0.8127090301003345,0.5720753193575363,0.576964311646252
2,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2245,2041,0.9091314031180401,2014,27,131,2114,0.9416481069042316,0.9867711905928467,0.9963604412860925,0.9631357909472702,0.9957600809245654,0.9416481069042316,0.9873890705277908,0.9639762881896944,0.92627485682023,0.9273674576425667
2,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,247,230,0.9311740890688259,179,51,68,179,0.7246963562753036,0.7782608695652173,0.8610701800666294,0.750524109014675,0.860130258757261,0.7246963562753036,0.7782608695652173,0.7505241090146751,0.5016811665452247,0.502957225840521
2,DILI5293ECPFseed0group.csv,Bioactivity,te,206,5293,255,275,1.0784313725490196,220,55,59,196,0.7686274509803922,0.8,0.840908952325436,0.7849056603773585,0.864855614973262,0.7686274509803922,0.7808764940239044,0.7747035573122529,0.5689519868730827,0.5690170719937614
3,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2212,2074,0.9376130198915009,2029,45,109,2103,0.9507233273056058,0.9783027965284474,0.9959893924185776,0.9640690620625292,0.9953695630565984,0.9507233273056058,0.979050279329609,0.9646788990825688,0.9281327252170247,0.9285469648252496
3,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,261,216,0.8275862068965517,176,40,57,204,0.7816091954022989,0.8148148148148148,0.9129382966416955,0.7966457023060797,0.8852614587767844,0.7816091954022989,0.8360655737704918,0.8079207920792079,0.5924046618568144,0.5939219472153042
3,DILI5293ECPFseed0group.csv,Bioactivity,te,206,5293,274,256,0.9343065693430657,200,56,67,207,0.7554744525547445,0.78125,0.8367495843179644,0.7679245283018868,0.8485045050182483,0.7554744525547445,0.7870722433460076,0.770949720670391,0.5359679968110702,0.5364301024427099
4,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2229,2057,0.9228353521758637,1969,88,57,2172,0.9744279946164199,0.9572192513368984,0.9961119328582226,0.9661689220718619,0.9962488983224403,0.9744279946164199,0.9610619469026549,0.9676988193361551,0.9321892716612543,0.9322872492555055
4,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,237,240,1.0126582278481013,183,57,40,197,0.8312236286919831,0.7625,0.8772461588696555,0.7966457023060797,0.8736550632911393,0.8312236286919831,0.7755905511811023,0.8024439918533605,0.5934575743996626,0.5949696837263709
4,DILI5293ECPFseed0group.csv,Bioactivity,te,206,5293,281,249,0.8861209964412812,195,54,55,226,0.8042704626334519,0.7831325301204819,0.8951727143057556,0.7943396226415095,0.8744158127170605,0.8042704626334519,0.8071428571428572,0.8057040998217468,0.5872687004358077,0.5872729105448418
5,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2241,2045,0.9125390450691655,1955,90,50,2191,0.9776885319053994,0.9559902200488998,0.996930975218554,0.9673355109659356,0.9966095296698885,0.9776885319053994,0.9605436212187637,0.9690402476780186,0.9344780707262076,0.9346418619219031
5,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,242,235,0.9710743801652892,171,64,54,188,0.7768595041322314,0.7276595744680852,0.8140884894294784,0.7526205450733753,0.8220502901353965,0.7768595041322314,0.746031746031746,0.7611336032388664,0.5048297703879652,0.5052748462475111
5,DILI5293ECPFseed0group.csv,Bioactivity,te,206,5293,264,266,1.0075757575757576,208,58,45,219,0.8295454545454546,0.7819548872180451,0.8851395262820839,0.8056603773584906,0.8870329232171338,0.8295454545454546,0.7906137184115524,0.8096118299445472,0.6113871606133519,0.6121239058305222
6,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2211,2075,0.9384893713251922,2043,32,121,2090,0.945273631840796,0.984578313253012,0.9965704678552963,0.9643023798413439,0.9962003781748432,0.945273631840796,0.9849198868991518,0.9646895915070389,0.9286269527895501,0.9294283333675096
6,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,261,216,0.8275862068965517,180,36,80,181,0.6934865900383141,0.8333333333333334,0.8433432084918331,0.7568134171907757,0.8387611749680715,0.6934865900383141,0.8341013824884793,0.7573221757322176,0.5177282711013492,0.5266144590174666
6,DILI5293ECPFseed0group.csv,Bioactivity,te,206,5293,275,255,0.9272727272727272,207,48,85,190,0.6909090909090909,0.8117647058823529,0.8338532707714698,0.7490566037735849,0.8404919786096257,0.6909090909090909,0.7983193277310925,0.7407407407407408,0.5000354635080502,0.5049434929369012
7,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2240,2046,0.9133928571428571,1967,79,62,2178,0.9723214285714286,0.9613880742913001,0.9967581460200394,0.9671021931871209,0.9960757488479263,0.9723214285714286,0.9649977846699158,0.9686457638425617,0.9340455769874259,0.9340751098903494
7,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,251,226,0.900398406374502,163,63,49,202,0.8047808764940239,0.7212389380530974,0.844930553867104,0.7651991614255765,0.8450622289602652,0.8047808764940239,0.7622641509433963,0.7829457364341085,0.5276476101218369,0.5285697644016826
7,DILI5293ECPFseed0group.csv,Bioactivity,te,206,5293,256,274,1.0703125,197,77,50,206,0.8046875,0.718978102189781,0.8216143758684191,0.7603773584905661,0.8451399977189781,0.8046875,0.7279151943462897,0.764378478664193,0.5218577294102604,0.5245750336805317
8,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2239,2047,0.9142474318892363,1951,96,48,2191,0.9785618579723091,0.9531021006350757,0.996804515631627,0.9664022398506766,0.9962915915468403,0.9785618579723091,0.9580236117184084,0.9681838267786126,0.932601599825275,0.9328370436287658
8,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,238,239,1.004201680672269,175,64,40,198,0.8319327731092437,0.7322175732217573,0.8512393056411743,0.7819706498951782,0.8634717485320489,0.8319327731092437,0.7557251908396947,0.792,0.5640313565578092,0.5669077739586195
8,DILI5293ECPFseed0group.csv,Bioactivity,te,206,5293,270,260,0.9629629629629629,193,67,42,228,0.8444444444444444,0.7423076923076923,0.8641132803428003,0.7943396226415095,0.8693233618233617,0.8444444444444444,0.7728813559322034,0.8070796460176991,0.5877987870139136,0.5904434331201294
9,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2224,2062,0.927158273381295,1948,114,39,2185,0.9824640287769785,0.944713870029098,0.99650377299816,0.9643023798413439,0.9960769866163326,0.9824640287769785,0.9504132231404959,0.9661728940968385,0.9284077756013183,0.9289800199827418
9,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,247,230,0.9311740890688259,164,66,36,211,0.854251012145749,0.7130434782608696,0.8834887661907619,0.7861635220125787,0.8782784720999824,0.854251012145749,0.7617328519855595,0.8053435114503816,0.5698523561135178,0.5744683122853139
9,DILI5293ECPFseed0group.csv,Bioactivity,te,206,5293,276,254,0.9202898550724637,177,77,50,226,0.8188405797101449,0.6968503937007874,0.8304751155800495,0.7603773584905661,0.8423413785233367,0.8188405797101449,0.7458745874587459,0.7806563039723662,0.5178850258570058,0.5206269988336291
10,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2212,2074,0.9376130198915009,2021,53,87,2125,0.9606690777576854,0.9744455159112826,0.9969270045391467,0.9673355109659356,0.9965794317311901,0.9606690777576854,0.9756657483930211,0.9681093394077449,0.9346366497503069,0.9347544280466105
10,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,256,221,0.86328125,168,53,51,205,0.80078125,0.7601809954751131,0.8445677115309975,0.7819706498951782,0.845119838800905,0.80078125,0.7945736434108527,0.7976653696498054,0.5613094922268795,0.5613294680811677
10,DILI5293ECPFseed0group.csv,Bioactivity,te,206,5293,279,251,0.899641577060932,191,60,53,226,0.8100358422939068,0.7609561752988048,0.872479696177641,0.7867924528301887,0.8611075411615188,0.8100358422939068,0.7902097902097902,0.7999999999999999,0.5717921951638043,0.5719934683126736
