split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,auc_prc,acc,auc_roc,recall,precision,f1,kappa,mcc
1,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2206,2080,0.942883046237534,1681,399,428,1778,0.8059836808703535,0.8081730769230769,0.9051257935663969,0.8070461969202053,0.8961124381058652,0.8059836808703535,0.8167202572347267,0.811316449920146,0.613912315668647,0.6139685877440132
1,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,259,218,0.8416988416988417,162,56,72,187,0.722007722007722,0.7431192660550459,0.8471246073435477,0.7316561844863732,0.817098225355106,0.722007722007722,0.7695473251028807,0.7450199203187251,0.4624405705229794,0.46348811545697377
1,DILI5293ECPFseed0group.csv,Bioactivity,te,206,5293,282,248,0.8794326241134752,174,74,58,224,0.7943262411347518,0.7016129032258065,0.837185878442466,0.7509433962264151,0.8219872454815831,0.7943262411347518,0.7516778523489933,0.7724137931034483,0.497875516766192,0.49880024542756807
2,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2245,2041,0.9091314031180401,1650,391,436,1809,0.8057906458797327,0.8084272415482606,0.9077721022027323,0.8070461969202053,0.8963290408540292,0.8057906458797327,0.8222727272727273,0.8139482564679414,0.6136032189175724,0.6137388885533022
2,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,247,230,0.9311740890688259,163,67,62,185,0.7489878542510121,0.7086956521739131,0.8267109103908051,0.7295597484276729,0.8199788769582819,0.7489878542510121,0.7341269841269841,0.7414829659318637,0.45802615933412605,0.4581272523817575
2,DILI5293ECPFseed0group.csv,Bioactivity,te,206,5293,255,275,1.0784313725490196,203,72,61,194,0.7607843137254902,0.7381818181818182,0.7792032025877241,0.7490566037735849,0.8177754010695187,0.7607843137254902,0.7293233082706767,0.744721689059501,0.49818466576493203,0.4986142930115843
3,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2212,2074,0.9376130198915009,1677,397,419,1793,0.8105786618444847,0.8085824493731919,0.9045492726905968,0.8096126924871675,0.8976146590613835,0.8105786618444847,0.8187214611872146,0.8146297137664699,0.6189563074745392,0.6189889721970855
3,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,261,216,0.8275862068965517,161,55,67,194,0.7432950191570882,0.7453703703703703,0.8682437819642987,0.7442348008385744,0.8314974457215837,0.7432950191570882,0.7791164658634538,0.7607843137254903,0.48633619319987287,0.4869581207592935
3,DILI5293ECPFseed0group.csv,Bioactivity,te,206,5293,274,256,0.9343065693430657,179,77,64,210,0.7664233576642335,0.69921875,0.8025601652227066,0.7339622641509433,0.8001682253649635,0.7664233576642335,0.7317073170731707,0.748663101604278,0.4664200951061733,0.46698553161426587
4,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2229,2057,0.9228353521758637,1639,418,417,1812,0.8129205921938089,0.7967914438502673,0.9088100669716679,0.8051796546896873,0.8972999875901109,0.8129205921938089,0.8125560538116592,0.8127382821260372,0.6097234723826801,0.6097235389827836
4,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,237,240,1.0126582278481013,173,67,52,185,0.7805907172995781,0.7208333333333333,0.8089380871010939,0.750524109014675,0.8116824894514767,0.7805907172995781,0.7341269841269841,0.7566462167689161,0.5012257809410834,0.502219331149518
4,DILI5293ECPFseed0group.csv,Bioactivity,te,206,5293,281,249,0.8861209964412812,186,63,70,211,0.7508896797153025,0.7469879518072289,0.8496415663364607,0.7490566037735849,0.8310251682888137,0.7508896797153025,0.7700729927007299,0.7603603603603603,0.49708194803156347,0.4972561742561522
5,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2241,2045,0.9125390450691655,1630,415,443,1798,0.8023203926818384,0.7970660146699267,0.9071908087891717,0.7998133457769482,0.8939362993948082,0.8023203926818384,0.8124717577948486,0.807364167040862,0.5990277366767933,0.5990790278772212
5,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,242,235,0.9710743801652892,171,64,78,164,0.6776859504132231,0.7276595744680852,0.7941364074359599,0.7023060796645703,0.790988218744505,0.6776859504132231,0.7192982456140351,0.6978723404255319,0.4049965740789543,0.40569522837383704
5,DILI5293ECPFseed0group.csv,Bioactivity,te,206,5293,264,266,1.0075757575757576,196,70,66,198,0.75,0.7368421052631579,0.8234595552714773,0.7433962264150943,0.8239917976760083,0.75,0.7388059701492538,0.7443609022556392,0.4868143760323518,0.48686983844300685
6,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2211,2075,0.9384893713251922,1698,377,445,1766,0.798733604703754,0.8183132530120482,0.9051560543710973,0.808212785814279,0.8954729092761821,0.798733604703754,0.8240783947736817,0.8112080845199816,0.616425571628558,0.6167361364384845
6,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,261,216,0.8275862068965517,160,56,78,183,0.7011494252873564,0.7407407407407407,0.839097727273473,0.7190775681341719,0.7989215268908756,0.7011494252873564,0.7656903765690377,0.7320000000000002,0.438043994302896,0.43992033458191476
6,DILI5293ECPFseed0group.csv,Bioactivity,te,206,5293,275,255,0.9272727272727272,178,77,69,206,0.7490909090909091,0.6980392156862745,0.8286374524736406,0.7245283018867924,0.8223244206773618,0.7490909090909091,0.7279151943462897,0.7383512544802867,0.44764080234135195,0.44784597317032676
7,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2240,2046,0.9133928571428571,1654,392,446,1794,0.8008928571428572,0.8084066471163245,0.9048258348368832,0.8044797013532431,0.895335737850859,0.8008928571428572,0.8206770356816102,0.8106642566651605,0.6086039250455182,0.6087975870499921
7,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,251,226,0.900398406374502,167,59,72,179,0.7131474103585658,0.7389380530973452,0.8454421366841894,0.7253668763102725,0.8278743433346261,0.7131474103585658,0.7521008403361344,0.7321063394683027,0.45079409722527397,0.45146511120919103
7,DILI5293ECPFseed0group.csv,Bioactivity,te,206,5293,256,274,1.0703125,188,86,60,196,0.765625,0.6861313868613139,0.7773848893847144,0.7245283018867924,0.7959554630474452,0.765625,0.6950354609929078,0.7286245353159851,0.4502543408451505,0.45242768322854826
8,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2239,2047,0.9142474318892363,1636,411,426,1813,0.8097364895042429,0.7992183683439179,0.9020091309922158,0.8047130191320578,0.8903455268366238,0.8097364895042429,0.8151978417266187,0.8124579879005153,0.6087635912092313,0.6087785551099173
8,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,238,239,1.004201680672269,172,67,53,185,0.7773109243697479,0.7196652719665272,0.8313874328846147,0.7484276729559748,0.828100277768011,0.7773109243697479,0.7341269841269841,0.7551020408163266,0.4969150450878026,0.4977731734167395
