split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,auc_prc,acc,auc_roc,recall,precision,f1,kappa,mcc
1,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2206,2080,0.942883046237534,2018,62,65,2141,0.9705349048050771,0.9701923076923077,0.9801926466325682,0.9703686420905273,0.9834450624171839,0.9705349048050771,0.9718565592374036,0.9711952823769562,0.9406884654351839,0.9406893887075802
1,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,259,218,0.8416988416988417,172,46,53,206,0.7953667953667953,0.7889908256880734,0.8799608339243756,0.7924528301886793,0.8577893096241722,0.7953667953667953,0.8174603174603174,0.8062622309197651,0.5828762222752206,0.5831299017776111
1,DILI5293ECPFseed0group.csv,Bioactivity,te,206,5293,282,248,0.8794326241134752,185,63,45,237,0.8404255319148937,0.7459677419354839,0.8588325253919051,0.7962264150943397,0.8635395218485471,0.8404255319148937,0.79,0.8144329896907218,0.5889702714347264,0.5903571525314021
2,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2245,2041,0.9091314031180401,1984,57,70,2175,0.9688195991091314,0.9720725134737873,0.9862944103811812,0.9703686420905273,0.9861070766437258,0.9688195991091314,0.9744623655913979,0.971632789814608,0.9406199061782256,0.9406372824750024
2,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,247,230,0.9311740890688259,174,56,44,203,0.8218623481781376,0.7565217391304347,0.8595059414916812,0.790356394129979,0.8613976412603415,0.8218623481781376,0.7837837837837838,0.8023715415019762,0.5794244198349439,0.5801637663309024
2,DILI5293ECPFseed0group.csv,Bioactivity,te,206,5293,255,275,1.0784313725490196,210,65,43,212,0.8313725490196079,0.7636363636363637,0.8771086089719637,0.7962264150943397,0.8830160427807486,0.8313725490196079,0.7653429602888087,0.7969924812030076,0.5931480560096667,0.5951956700091756
3,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2212,2074,0.9376130198915009,2008,66,65,2147,0.970614828209765,0.9681774349083896,0.9853280287155973,0.9694353709752683,0.9849748936719325,0.970614828209765,0.9701762313601446,0.9703954802259888,0.9388063830060865,0.9388064854333963
3,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,261,216,0.8275862068965517,172,44,50,211,0.8084291187739464,0.7962962962962963,0.8980434630436246,0.8029350104821803,0.879948914431673,0.8084291187739464,0.8274509803921568,0.8178294573643411,0.6032807771938207,0.603474290885132
3,DILI5293ECPFseed0group.csv,Bioactivity,te,206,5293,274,256,0.9343065693430657,198,58,55,219,0.7992700729927007,0.7734375,0.858537134204244,0.7867924528301887,0.8584126938868613,0.7992700729927007,0.7906137184115524,0.7949183303085299,0.5729281058801717,0.5729649357015258
4,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2229,2057,0.9228353521758637,1995,62,71,2158,0.968147151188874,0.9698590179873602,0.9825993334750196,0.9689687354176388,0.9826557075785165,0.968147151188874,0.972072072072072,0.9701056417172398,0.9378478516524936,0.9378561463810973
