split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,auc_prc,acc,auc_roc,recall,precision,f1,kappa,mcc
1,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2206,2080,0.942883046237534,2009,71,89,2117,0.9596554850407978,0.9658653846153846,0.9959752919304284,0.9626691553896407,0.9955904787642095,0.9596554850407978,0.9675502742230347,0.9635867091488393,0.9252921923281565,0.925324874351803
1,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,259,218,0.8416988416988417,168,50,46,213,0.8223938223938224,0.7706422018348624,0.9000266825436014,0.7987421383647799,0.8754560589422973,0.8223938223938224,0.8098859315589354,0.8160919540229885,0.5938985455835402,0.5939835853666644
1,DILI5293ECPFseed0group.csv,Bioactivity,te,206,5293,282,248,0.8794326241134752,183,65,43,239,0.8475177304964538,0.7379032258064516,0.874272556694224,0.7962264150943397,0.8683153168611303,0.8475177304964538,0.7861842105263158,0.8156996587030716,0.5885684712917973,0.5906465179497672
2,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2245,2041,0.9091314031180401,1972,69,75,2170,0.9665924276169265,0.9661930426261637,0.997158519730632,0.9664022398506766,0.9967715288697513,0.9665924276169265,0.9691826708351943,0.9678858162355041,0.9326608995611061,0.9326645707647532
2,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,247,230,0.9311740890688259,172,58,55,192,0.7773279352226721,0.7478260869565218,0.8599835870348083,0.7631027253668763,0.8589332863932406,0.7773279352226721,0.768,0.7726358148893361,0.5253898511037343,0.5254315633007507
2,DILI5293ECPFseed0group.csv,Bioactivity,te,206,5293,255,275,1.0784313725490196,207,68,48,207,0.8117647058823529,0.7527272727272727,0.8706410470312929,0.7811320754716982,0.8764705882352941,0.8117647058823529,0.7527272727272727,0.781132075471698,0.5628865979381443,0.5644919786096256
3,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2212,2074,0.9376130198915009,1993,81,88,2124,0.9602169981916817,0.9609450337512054,0.9956577056882235,0.960569295380308,0.9952310401230424,0.9602169981916817,0.963265306122449,0.961738736699117,0.9210650605655282,0.9210699835109991
3,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,261,216,0.8275862068965517,173,43,57,204,0.7816091954022989,0.8009259259259259,0.9141174569892965,0.790356394129979,0.8972523768979708,0.7816091954022989,0.8259109311740891,0.8031496062992126,0.5792983013176696,0.5803057167254934
3,DILI5293ECPFseed0group.csv,Bioactivity,te,206,5293,274,256,0.9343065693430657,199,57,56,218,0.7956204379562044,0.77734375,0.8741329060876732,0.7867924528301887,0.8634309420620437,0.7956204379562044,0.7927272727272727,0.7941712204007285,0.5730377129821059,0.5730418035160852
4,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2229,2057,0.9228353521758637,1989,68,79,2150,0.9645580978017048,0.9669421487603306,0.9972096046988023,0.9657022865142324,0.9968788801350823,0.9645580978017048,0.9693417493237151,0.9669440071958624,0.9313080966655248,0.9313204003104797
4,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,237,240,1.0126582278481013,195,45,39,198,0.8354430379746836,0.8125,0.8793920248117316,0.8238993710691824,0.883553094233474,0.8354430379746836,0.8148148148148148,0.825,0.6478405315614618,0.6480455849465965
4,DILI5293ECPFseed0group.csv,Bioactivity,te,206,5293,281,249,0.8861209964412812,200,49,52,229,0.8149466192170819,0.8032128514056225,0.9016232313165345,0.809433962264151,0.8894081664737241,0.8149466192170819,0.8237410071942446,0.8193202146690519,0.6177356927603297,0.6177755164921697
5,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2241,2045,0.9125390450691655,1929,116,127,2114,0.9433288710397144,0.943276283618582,0.9897806382759041,0.9433037797480168,0.9880734565537347,0.9433288710397144,0.9479820627802691,0.9456497427868487,0.8863966519507418,0.8864083728736676
5,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,242,235,0.9710743801652892,184,51,70,172,0.7107438016528925,0.7829787234042553,0.8440241026465511,0.7463312368972747,0.8429224547212941,0.7107438016528925,0.7713004484304933,0.7397849462365591,0.49314587303399404,0.4947152131942059
5,DILI5293ECPFseed0group.csv,Bioactivity,te,206,5293,264,266,1.0075757575757576,201,65,53,211,0.7992424242424242,0.7556390977443609,0.8839794386867076,0.7773584905660378,0.8851674641148326,0.7992424242424242,0.7644927536231884,0.7814814814814814,0.5547867190614499,0.5553562260876247
6,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2211,2075,0.9384893713251922,1999,76,84,2127,0.9620081411126187,0.9633734939759037,0.9956317123479352,0.9626691553896407,0.9951533678812946,0.9620081411126187,0.9655015887426237,0.9637516991391027,0.9252719212426028,0.9252783800387412
6,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,261,216,0.8275862068965517,177,39,63,198,0.7586206896551724,0.8194444444444444,0.870291238092698,0.7861635220125787,0.851231020292323,0.7586206896551724,0.8354430379746836,0.7951807228915663,0.5725806451612903,0.5754983875548891
6,DILI5293ECPFseed0group.csv,Bioactivity,te,206,5293,275,255,0.9272727272727272,201,54,61,214,0.7781818181818182,0.788235294117647,0.8808273788301638,0.7830188679245284,0.8700677361853832,0.7781818181818182,0.7985074626865671,0.7882136279926334,0.5658522686801055,0.5660499547548623
7,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2240,2046,0.9133928571428571,1874,172,184,2056,0.9178571428571428,0.9159335288367546,0.9799626587846326,0.9169388707419506,0.9769298326001956,0.9178571428571428,0.9228007181328546,0.9203222918531782,0.8335789594005851,0.8335920755380923
7,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,251,226,0.900398406374502,171,55,50,201,0.8007968127490039,0.7566371681415929,0.8912352559133103,0.779874213836478,0.8746253922363644,0.8007968127490039,0.78515625,0.7928994082840237,0.5580488321406196,0.5581724543447724
7,DILI5293ECPFseed0group.csv,Bioactivity,te,206,5293,256,274,1.0703125,199,75,42,214,0.8359375,0.7262773722627737,0.8257866886750127,0.779245283018868,0.8544066491788321,0.8359375,0.740484429065744,0.7853211009174312,0.5598444087960137,0.5642091840511535
8,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2239,2047,0.9142474318892363,1954,93,95,2144,0.9575703439035284,0.9545676599902296,0.9944030927879629,0.9561362575828278,0.9936083328078673,0.9575703439035284,0.9584264640143049,0.9579982126899017,0.912099794367749,0.9121001931508277
8,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,238,239,1.004201680672269,181,58,38,200,0.8403361344537815,0.7573221757322176,0.8739754838364244,0.7987421383647799,0.8809641011216202,0.8403361344537815,0.7751937984496124,0.8064516129032258,0.597553258806159,0.5996646956541306
8,DILI5293ECPFseed0group.csv,Bioactivity,te,206,5293,270,260,0.9629629629629629,203,57,49,221,0.8185185185185185,0.7807692307692308,0.8795535679967601,0.8,0.8764173789173789,0.8185185185185185,0.7949640287769785,0.8065693430656934,0.5996294184720639,0.599903350630632
9,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2224,2062,0.927158273381295,1968,94,111,2113,0.950089928057554,0.9544131910766246,0.9928914950659224,0.9521698553429772,0.9919463798505327,0.950089928057554,0.9574082464884458,0.9537350485217784,0.9042316064147156,0.9042601234752734
9,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,247,230,0.9311740890688259,181,49,38,209,0.8461538461538461,0.7869565217391304,0.8902558697614956,0.8176100628930818,0.8861292026051751,0.8461538461538461,0.810077519379845,0.8277227722772278,0.6341540821454075,0.634833607557717
9,DILI5293ECPFseed0group.csv,Bioactivity,te,206,5293,276,254,0.9202898550724637,196,58,57,219,0.7934782608695652,0.7716535433070866,0.8668226820535401,0.7830188679245284,0.8612846627867168,0.7934782608695652,0.7906137184115524,0.7920433996383365,0.5652204927738861,0.5652245323426999
10,DILI5293ECPFseed0group.csv,Bioactivity,tr,206,5293,2212,2074,0.9376130198915009,2014,60,72,2140,0.9674502712477396,0.9710703953712633,0.9973967641541259,0.9692020531964536,0.9971377739724235,0.9674502712477396,0.9727272727272728,0.9700815956482322,0.938351310096772,0.938366047061134
10,DILI5293ECPFseed0group.csv,Bioactivity,va,206,5293,256,221,0.86328125,164,57,48,208,0.8125,0.7420814479638009,0.8654130269508924,0.779874213836478,0.85584876979638,0.8125,0.7849056603773585,0.798464491362764,0.5561296383278534,0.5565325747764729
10,DILI5293ECPFseed0group.csv,Bioactivity,te,206,5293,279,251,0.899641577060932,190,61,49,230,0.8243727598566308,0.7569721115537849,0.89180440396284,0.7924528301886793,0.8769509774521984,0.8243727598566308,0.7903780068728522,0.8070175438596492,0.5827428751377736,0.5833475294414001
