split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,auc_prc,acc,auc_roc,recall,precision,f1,kappa,mcc
1,DILI5293PaDELmaxminseed0group.csv,Bioactivity,tr,32,5293,2206,2080,0.942883046237534,1812,268,241,1965,0.8907524932003626,0.8711538461538462,0.9597627895769925,0.8812412505832945,0.9553427278750262,0.8907524932003626,0.8799820868786385,0.8853345348051362,0.7621888911586976,0.7622495425397992
1,DILI5293PaDELmaxminseed0group.csv,Bioactivity,va,32,5293,259,218,0.8416988416988417,160,58,56,203,0.7837837837837838,0.7339449541284404,0.8520623194275478,0.7610062893081762,0.8341539442456875,0.7837837837837838,0.7777777777777778,0.7807692307692309,0.5181049609188069,0.5181234777316203
1,DILI5293PaDELmaxminseed0group.csv,Bioactivity,te,32,5293,282,248,0.8794326241134752,178,70,61,221,0.7836879432624113,0.717741935483871,0.8518070625753484,0.7528301886792453,0.8286075840768702,0.7836879432624113,0.7594501718213058,0.7713787085514834,0.502529269306278,0.5028230271942585
2,DILI5293PaDELmaxminseed0group.csv,Bioactivity,tr,32,5293,2245,2041,0.9091314031180401,1780,261,229,2016,0.8979955456570156,0.8721215090641842,0.9622746047904362,0.8856742883807747,0.9565141765303484,0.8979955456570156,0.8853754940711462,0.891640866873065,0.7706660353487096,0.7707524831292276
2,DILI5293PaDELmaxminseed0group.csv,Bioactivity,va,32,5293,247,230,0.9311740890688259,158,72,42,205,0.8299595141700404,0.6869565217391305,0.832567349642521,0.7610062893081762,0.8406618553071642,0.8299595141700404,0.740072202166065,0.7824427480916031,0.5192467509504022,0.5234527882143021
2,DILI5293PaDELmaxminseed0group.csv,Bioactivity,te,32,5293,255,275,1.0784313725490196,192,83,57,198,0.7764705882352941,0.6981818181818182,0.8088864872513166,0.7358490566037735,0.8264598930481284,0.7764705882352941,0.7046263345195729,0.7388059701492538,0.4728990551964196,0.4751812445382374
3,DILI5293PaDELmaxminseed0group.csv,Bioactivity,tr,32,5293,2212,2074,0.9376130198915009,1821,253,221,1991,0.9000904159132007,0.8780135004821601,0.958522438846835,0.8894073728418106,0.9547637066862437,0.9000904159132007,0.8872549019607843,0.8936265709156193,0.7784785889372541,0.7785656580711028
3,DILI5293PaDELmaxminseed0group.csv,Bioactivity,va,32,5293,261,216,0.8275862068965517,170,46,57,204,0.7816091954022989,0.7870370370370371,0.8923050103807648,0.7840670859538784,0.861723073648361,0.7816091954022989,0.816,0.7984344422700588,0.56616069299849,0.5667693580197647
3,DILI5293PaDELmaxminseed0group.csv,Bioactivity,te,32,5293,274,256,0.9343065693430657,187,69,72,202,0.7372262773722628,0.73046875,0.829287728022025,0.7339622641509433,0.8187941947992701,0.7372262773722628,0.7453874538745388,0.7412844036697248,0.4675150703281983,0.46754507758922825
4,DILI5293PaDELmaxminseed0group.csv,Bioactivity,tr,32,5293,2229,2057,0.9228353521758637,1798,259,239,1990,0.8927770300583221,0.8740884783665532,0.9598476752462229,0.8838077461502567,0.9542255018644278,0.8927770300583221,0.8848377056469542,0.8887896382313533,0.7671532921566031,0.7671868367205967
4,DILI5293PaDELmaxminseed0group.csv,Bioactivity,va,32,5293,237,240,1.0126582278481013,172,68,56,181,0.7637130801687764,0.7166666666666667,0.8092399966894697,0.740041928721174,0.8316016174402251,0.7637130801687764,0.7269076305220884,0.7448559670781894,0.4802277760202468,0.480836454034303
4,DILI5293PaDELmaxminseed0group.csv,Bioactivity,te,32,5293,281,249,0.8861209964412812,195,54,74,207,0.7366548042704626,0.7831325301204819,0.8653482698582482,0.7584905660377359,0.8438880075461992,0.7366548042704626,0.7931034482758621,0.7638376383763837,0.5174209335742435,0.5188981624027804
5,DILI5293PaDELmaxminseed0group.csv,Bioactivity,tr,32,5293,2241,2045,0.9125390450691655,1781,264,213,2028,0.9049531459170014,0.8709046454767726,0.9607263979381172,0.8887074195053664,0.9547280128391862,0.9049531459170014,0.8848167539267016,0.8947716743878228,0.7767048571085928,0.7769263061865048
5,DILI5293PaDELmaxminseed0group.csv,Bioactivity,va,32,5293,242,235,0.9710743801652892,166,69,72,170,0.7024793388429752,0.7063829787234043,0.7936634743848809,0.7044025157232704,0.8017056444522594,0.7024793388429752,0.7112970711297071,0.7068607068607068,0.40878684259104614,0.4088191878715497
5,DILI5293PaDELmaxminseed0group.csv,Bioactivity,te,32,5293,264,266,1.0075757575757576,206,60,64,200,0.7575757575757576,0.7744360902255639,0.8589422691580713,0.7660377358490567,0.853518740031898,0.7575757575757576,0.7692307692307693,0.7633587786259541,0.5320421532326972,0.5321027822260179
