split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,auc_prc,acc,auc_roc,recall,precision,f1,kappa,mcc
1,DILI5293PaDELmaxminseed0group.csv,Bioactivity,tr,32,5293,2206,2080,0.942883046237534,1791,289,582,1624,0.7361740707162284,0.8610576923076924,0.8942535750738735,0.7967802146523565,0.8857298059488109,0.7361740707162284,0.8489283847360167,0.7885409079873755,0.5948387855797527,0.6004418639802063
1,DILI5293PaDELmaxminseed0group.csv,Bioactivity,va,32,5293,259,218,0.8416988416988417,164,54,92,167,0.6447876447876448,0.7522935779816514,0.79026327681146,0.6939203354297694,0.7680741029364884,0.6447876447876448,0.755656108597285,0.6958333333333334,0.3916772942471306,0.3966809639523709
1,DILI5293PaDELmaxminseed0group.csv,Bioactivity,te,32,5293,282,248,0.8794326241134752,187,61,97,185,0.6560283687943262,0.7540322580645161,0.7790699063946097,0.7018867924528301,0.7800846488217799,0.6560283687943262,0.7520325203252033,0.7007575757575759,0.40650337358961275,0.4102718712929753
2,DILI5293PaDELmaxminseed0group.csv,Bioactivity,tr,32,5293,2245,2041,0.9091314031180401,1576,465,294,1951,0.8690423162583519,0.772170504654581,0.9118538433528085,0.822911805879608,0.9024220626379706,0.8690423162583519,0.8075331125827815,0.8371594078523922,0.643662986682522,0.6457473077359707
2,DILI5293PaDELmaxminseed0group.csv,Bioactivity,va,32,5293,247,230,0.9311740890688259,149,81,51,196,0.7935222672064778,0.6478260869565218,0.7754201877744702,0.7232704402515723,0.7939799331103679,0.7935222672064778,0.7075812274368231,0.7480916030534351,0.44333834320572885,0.44692950210778437
2,DILI5293PaDELmaxminseed0group.csv,Bioactivity,te,32,5293,255,275,1.0784313725490196,175,100,54,201,0.788235294117647,0.6363636363636364,0.7537540165618316,0.7094339622641509,0.7884848484848485,0.788235294117647,0.6677740863787376,0.723021582733813,0.42183183395905643,0.42826673652432934
3,DILI5293PaDELmaxminseed0group.csv,Bioactivity,tr,32,5293,2212,2074,0.9376130198915009,1670,404,418,1794,0.8110307414104883,0.8052073288331726,0.8880913548607012,0.808212785814279,0.8839801224494778,0.8110307414104883,0.816196542311192,0.8136054421768707,0.6161083402671024,0.6161215098132053
3,DILI5293PaDELmaxminseed0group.csv,Bioactivity,va,32,5293,261,216,0.8275862068965517,146,70,76,185,0.7088122605363985,0.6759259259259259,0.8093399463488583,0.6939203354297694,0.7652103732084575,0.7088122605363985,0.7254901960784313,0.7170542635658915,0.3838190794712534,0.3839421966824626
3,DILI5293PaDELmaxminseed0group.csv,Bioactivity,te,32,5293,274,256,0.9343065693430657,177,79,79,195,0.7116788321167883,0.69140625,0.7493182601367065,0.7018867924528301,0.7534714302007299,0.7116788321167883,0.7116788321167883,0.7116788321167884,0.4030850821167883,0.40308508211678834
4,DILI5293PaDELmaxminseed0group.csv,Bioactivity,tr,32,5293,2229,2057,0.9228353521758637,1837,220,681,1548,0.6944818304172274,0.893048128342246,0.8928125222736396,0.7897806812879141,0.886986475401702,0.6944818304172274,0.8755656108597285,0.7745809357017762,0.5824932606424764,0.5962566057515649
4,DILI5293PaDELmaxminseed0group.csv,Bioactivity,va,32,5293,237,240,1.0126582278481013,196,44,103,134,0.5654008438818565,0.8166666666666667,0.7518588171751102,0.6918238993710691,0.7733386075949368,0.5654008438818565,0.7528089887640449,0.6457831325301204,0.3826628984971343,0.39497927397440646
4,DILI5293PaDELmaxminseed0group.csv,Bioactivity,te,32,5293,281,249,0.8861209964412812,209,40,118,163,0.5800711743772242,0.8393574297188755,0.803190618386325,0.7018867924528301,0.8003115665509012,0.5800711743772242,0.8029556650246306,0.6735537190082644,0.4120785767443167,0.43061483079299684
5,DILI5293PaDELmaxminseed0group.csv,Bioactivity,tr,32,5293,2241,2045,0.9125390450691655,1692,353,494,1747,0.7795626952253458,0.8273838630806846,0.8883421408951999,0.8023798413439104,0.8858699126852425,0.7795626952253458,0.8319047619047619,0.8048836673577517,0.6051220200393198,0.6064336776264793
5,DILI5293PaDELmaxminseed0group.csv,Bioactivity,va,32,5293,242,235,0.9710743801652892,165,70,76,166,0.6859504132231405,0.7021276595744681,0.733961696530871,0.6939203354297694,0.7504835589941972,0.6859504132231405,0.7033898305084746,0.694560669456067,0.38793482273118773,0.38805760256544475
5,DILI5293PaDELmaxminseed0group.csv,Bioactivity,te,32,5293,264,266,1.0075757575757576,217,49,72,192,0.7272727272727273,0.8157894736842105,0.8101521877055009,0.7716981132075472,0.8130553656869446,0.7272727272727273,0.7966804979253111,0.7603960396039604,0.5432401247845472,0.5452992677548736
6,DILI5293PaDELmaxminseed0group.csv,Bioactivity,tr,32,5293,2211,2075,0.9384893713251922,1409,666,288,1923,0.8697421981004071,0.6790361445783133,0.8686029393453629,0.7774148390107326,0.8685650607858845,0.8697421981004071,0.7427578215527231,0.8012500000000001,0.551870281388854,0.5607811917181588
6,DILI5293PaDELmaxminseed0group.csv,Bioactivity,va,32,5293,261,216,0.8275862068965517,127,89,61,200,0.7662835249042146,0.5879629629629629,0.7882726415573643,0.6855345911949685,0.7439868028948489,0.7662835249042146,0.6920415224913494,0.7272727272727272,0.35824991927671945,0.36084844356999835
6,DILI5293PaDELmaxminseed0group.csv,Bioactivity,te,32,5293,275,255,0.9272727272727272,143,112,59,216,0.7854545454545454,0.5607843137254902,0.7555626380666425,0.6773584905660377,0.7405989304812833,0.7854545454545454,0.6585365853658537,0.7164179104477613,0.34887563761764495,0.3562046943888947
7,DILI5293PaDELmaxminseed0group.csv,Bioactivity,tr,32,5293,2240,2046,0.9133928571428571,1585,461,413,1827,0.815625,0.7746823069403714,0.8848442869335825,0.7960802613159123,0.8782031140902109,0.815625,0.798513986013986,0.8069787985865724,0.5909076215538059,0.5910568172989702
7,DILI5293PaDELmaxminseed0group.csv,Bioactivity,va,32,5293,251,226,0.900398406374502,154,72,81,170,0.6772908366533864,0.6814159292035398,0.7583117985712267,0.6792452830188679,0.7626132637591228,0.6772908366533864,0.7024793388429752,0.6896551724137931,0.3579967803513464,0.3582523389731827
7,DILI5293PaDELmaxminseed0group.csv,Bioactivity,te,32,5293,256,274,1.0703125,187,87,65,191,0.74609375,0.6824817518248175,0.7448960593363887,0.7132075471698113,0.7706646327554745,0.74609375,0.6870503597122302,0.7153558052434458,0.4273691393477581,0.4288445923230938
8,DILI5293PaDELmaxminseed0group.csv,Bioactivity,tr,32,5293,2239,2047,0.9142474318892363,1564,483,355,1884,0.8414470745868692,0.7640449438202247,0.8930796184577945,0.8044797013532431,0.8840432070549327,0.8414470745868692,0.7959442332065906,0.8180633955709944,0.6071197531363864,0.6082159071989681
8,DILI5293PaDELmaxminseed0group.csv,Bioactivity,va,32,5293,238,239,1.004201680672269,148,91,53,185,0.7773109243697479,0.6192468619246861,0.7769306610278084,0.6981132075471698,0.7813016419957104,0.7773109243697479,0.6702898550724637,0.7198443579766537,0.3964253703801339,0.40155158158978493
8,DILI5293PaDELmaxminseed0group.csv,Bioactivity,te,32,5293,270,260,0.9629629629629629,181,79,61,209,0.774074074074074,0.6961538461538461,0.7981164346849521,0.7358490566037735,0.8093945868945868,0.774074074074074,0.7256944444444444,0.7491039426523297,0.4708315504207674,0.47192506183223615
9,DILI5293PaDELmaxminseed0group.csv,Bioactivity,tr,32,5293,2224,2062,0.927158273381295,1777,285,507,1717,0.7720323741007195,0.8617846750727449,0.9007312539444499,0.8152123191787214,0.8973034230229783,0.7720323741007195,0.8576423576423576,0.8125887363937531,0.6313414583817527,0.6347395399679201
9,DILI5293PaDELmaxminseed0group.csv,Bioactivity,va,32,5293,247,230,0.9311740890688259,168,62,59,188,0.7611336032388664,0.7304347826086957,0.8029032868843159,0.7463312368972747,0.8071466291145926,0.7611336032388664,0.752,0.7565392354124749,0.491789132597804,0.49182817713805604
