split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,auc_prc,acc,auc_roc,recall,precision,f1,kappa,mcc
1,DILI5293PaDELmaxminseed0group.csv,Bioactivity,tr,32,5293,2206,2080,0.942883046237534,1858,222,214,1992,0.9029918404351768,0.8932692307692308,0.9664412038278886,0.8982734484367709,0.9631723359369551,0.9029918404351768,0.8997289972899729,0.9013574660633485,0.7963485423637787,0.7963541021716384
1,DILI5293PaDELmaxminseed0group.csv,Bioactivity,va,32,5293,259,218,0.8416988416988417,165,53,56,203,0.7837837837837838,0.7568807339449541,0.8748620923140131,0.7714884696016772,0.8518826821579115,0.7837837837837838,0.79296875,0.7883495145631068,0.5400762514706272,0.540119526609011
1,DILI5293PaDELmaxminseed0group.csv,Bioactivity,te,32,5293,282,248,0.8794326241134752,180,68,53,229,0.8120567375886525,0.7258064516129032,0.8614451503205671,0.7716981132075472,0.8445078357355296,0.8120567375886525,0.7710437710437711,0.7910189982728842,0.5398315179173663,0.5407120299725431
2,DILI5293PaDELmaxminseed0group.csv,Bioactivity,tr,32,5293,2245,2041,0.9091314031180401,1809,232,179,2066,0.9202672605790646,0.8863302302792748,0.9695285963491276,0.9041063929071396,0.9650451927032581,0.9202672605790646,0.8990426457789382,0.9095311468192824,0.8075502568587997,0.8077990526307519
2,DILI5293PaDELmaxminseed0group.csv,Bioactivity,va,32,5293,247,230,0.9311740890688259,166,64,48,199,0.805668016194332,0.7217391304347827,0.8455320038470604,0.7651991614255765,0.8388135891568386,0.805668016194332,0.7566539923954373,0.7803921568627451,0.5286727599957652,0.5298752617642857
2,DILI5293PaDELmaxminseed0group.csv,Bioactivity,te,32,5293,255,275,1.0784313725490196,191,84,46,209,0.8196078431372549,0.6945454545454546,0.8480139579507329,0.7547169811320755,0.8504598930481284,0.8196078431372549,0.7133105802047781,0.7627737226277371,0.5113821714772002,0.5166793202978753
3,DILI5293PaDELmaxminseed0group.csv,Bioactivity,tr,32,5293,2212,2074,0.9376130198915009,1844,230,214,1998,0.903254972875226,0.8891031822565092,0.9657590443615494,0.896406906206253,0.9614890986483824,0.903254972875226,0.8967684021543986,0.9,0.792548877334417,0.7925710245874366
3,DILI5293PaDELmaxminseed0group.csv,Bioactivity,va,32,5293,261,216,0.8275862068965517,168,48,56,205,0.7854406130268199,0.7777777777777778,0.9038220141821138,0.7819706498951782,0.8719224492691925,0.7854406130268199,0.8102766798418972,0.7976653696498054,0.5614258434118395,0.5617456097077183
3,DILI5293PaDELmaxminseed0group.csv,Bioactivity,te,32,5293,274,256,0.9343065693430657,190,66,64,210,0.7664233576642335,0.7421875,0.8471670003945295,0.7547169811320755,0.8382969320255476,0.7664233576642335,0.7608695652173914,0.7636363636363636,0.508741408322163,0.508755938780133
4,DILI5293PaDELmaxminseed0group.csv,Bioactivity,tr,32,5293,2229,2057,0.9228353521758637,1835,222,205,2024,0.908030506953791,0.8920758385999028,0.9683638535071947,0.9003733084461036,0.9633055495759809,0.908030506953791,0.9011576135351737,0.9045810055865922,0.8003615505833745,0.8003868323412298
