split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,auc_prc,acc,auc_roc,recall,precision,f1,kappa,mcc
1,DILI5293PaDELmaxminseed0group.csv,Bioactivity,tr,32,5293,2206,2080,0.942883046237534,1762,318,332,1874,0.8495013599274706,0.8471153846153846,0.9100438790752128,0.8483434437704153,0.9118494577725085,0.8495013599274706,0.8549270072992701,0.8522055479763528,0.6964828662458965,0.6964977492343384
1,DILI5293PaDELmaxminseed0group.csv,Bioactivity,va,32,5293,259,218,0.8416988416988417,157,61,72,187,0.722007722007722,0.7201834862385321,0.7787014173375666,0.7211740041928721,0.7816938826113138,0.722007722007722,0.7540322580645161,0.7376725838264301,0.4404321940463065,0.440904621272263
1,DILI5293PaDELmaxminseed0group.csv,Bioactivity,te,32,5293,282,248,0.8794326241134752,182,66,59,223,0.7907801418439716,0.7338709677419355,0.7953713987727349,0.7641509433962265,0.8071737016700983,0.7907801418439716,0.7716262975778547,0.7810858143607706,0.5255453542833408,0.5257309533035598
2,DILI5293PaDELmaxminseed0group.csv,Bioactivity,tr,32,5293,2245,2041,0.9091314031180401,1705,336,308,1937,0.8628062360801781,0.835374816266536,0.9170334998695667,0.8497433504433037,0.9157439527547198,0.8628062360801781,0.8521777386713595,0.8574590526781761,0.6986165017429942,0.6986764874861314
2,DILI5293PaDELmaxminseed0group.csv,Bioactivity,va,32,5293,247,230,0.9311740890688259,154,76,50,197,0.7975708502024291,0.6695652173913044,0.772804412979322,0.7358490566037735,0.8007921140644253,0.7975708502024291,0.7216117216117216,0.7576923076923077,0.46896039866405126,0.4718015766708428
2,DILI5293PaDELmaxminseed0group.csv,Bioactivity,te,32,5293,255,275,1.0784313725490196,189,86,53,202,0.792156862745098,0.6872727272727273,0.7509733448468104,0.7377358490566037,0.8015757575757576,0.792156862745098,0.7013888888888888,0.7440147329650092,0.4771840181676248,0.480902843619309
3,DILI5293PaDELmaxminseed0group.csv,Bioactivity,tr,32,5293,2212,2074,0.9376130198915009,1723,351,302,1910,0.8634719710669078,0.8307618129218901,0.915816064797524,0.847643490433971,0.9155367583846156,0.8634719710669078,0.8447589562140646,0.854012966689023,0.6947457925483612,0.6949281216460903
3,DILI5293PaDELmaxminseed0group.csv,Bioactivity,va,32,5293,261,216,0.8275862068965517,149,67,63,198,0.7586206896551724,0.6898148148148148,0.8241811194493784,0.7274633123689728,0.7869749538810842,0.7586206896551724,0.7471698113207547,0.7528517110266157,0.4491525423728814,0.4492170711487869
3,DILI5293PaDELmaxminseed0group.csv,Bioactivity,te,32,5293,274,256,0.9343065693430657,179,77,71,203,0.7408759124087592,0.69921875,0.7769422205876985,0.720754716981132,0.7878008097627738,0.7408759124087592,0.725,0.7328519855595668,0.4404337280639178,0.44054709864242986
4,DILI5293PaDELmaxminseed0group.csv,Bioactivity,tr,32,5293,2229,2057,0.9228353521758637,1722,335,303,1926,0.8640646029609691,0.8371414681575109,0.9137834908823059,0.8511432571161922,0.9162330293673813,0.8640646029609691,0.8518354710305175,0.8579064587973273,0.7016271955945277,0.7017057782042008
