split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,auc_prc,acc,auc_roc,recall,precision,f1,kappa,mcc
1,DILI5293PaDELmaxminseed0group.csv,Bioactivity,tr,32,5293,2206,2080,0.942883046237534,2030,50,66,2140,0.970081595648232,0.9759615384615384,0.9984420216539237,0.9729351376574895,0.9983120772020364,0.970081595648232,0.9771689497716894,0.9736123748862601,0.945835352440185,0.9458617497432038
1,DILI5293PaDELmaxminseed0group.csv,Bioactivity,va,32,5293,259,218,0.8416988416988417,171,47,51,208,0.803088803088803,0.7844036697247706,0.9084364630583714,0.7945492662473794,0.8890581275902376,0.803088803088803,0.8156862745098039,0.8093385214007781,0.5866404923599321,0.5867240062023569
1,DILI5293PaDELmaxminseed0group.csv,Bioactivity,te,32,5293,282,248,0.8794326241134752,176,72,46,236,0.8368794326241135,0.7096774193548387,0.8800344507786815,0.7773584905660378,0.8666995538778312,0.8368794326241135,0.7662337662337663,0.8,0.5500330963824216,0.5527565434024115
2,DILI5293PaDELmaxminseed0group.csv,Bioactivity,tr,32,5293,2245,2041,0.9091314031180401,1992,49,70,2175,0.9688195991091314,0.9759921607055365,0.9983347617537255,0.9722351843210453,0.9981219084491749,0.9688195991091314,0.9779676258992805,0.9733721190422913,0.9443702885593455,0.9444157980518687
2,DILI5293PaDELmaxminseed0group.csv,Bioactivity,va,32,5293,247,230,0.9311740890688259,175,55,44,203,0.8218623481781376,0.7608695652173914,0.8533112261244489,0.7924528301886793,0.8670128498503783,0.8218623481781376,0.7868217054263565,0.8039603960396039,0.5836925762344292,0.5843180298106103
2,DILI5293PaDELmaxminseed0group.csv,Bioactivity,te,32,5293,255,275,1.0784313725490196,205,70,42,213,0.8352941176470589,0.7454545454545455,0.864661488898674,0.7886792452830189,0.8708948306595364,0.8352941176470589,0.7526501766784452,0.79182156133829,0.5784390313187984,0.5816784327016922
3,DILI5293PaDELmaxminseed0group.csv,Bioactivity,tr,32,5293,2212,2074,0.9376130198915009,2018,56,65,2147,0.970614828209765,0.9729990356798457,0.998369962516902,0.9717685487634158,0.9982232880701565,0.970614828209765,0.9745801180208806,0.9725934314835787,0.9434861514340033,0.9434944870046181
3,DILI5293PaDELmaxminseed0group.csv,Bioactivity,va,32,5293,261,216,0.8275862068965517,169,47,51,210,0.8045977011494253,0.7824074074074074,0.9165216336963173,0.7945492662473794,0.8911327515254718,0.8045977011494253,0.8171206225680934,0.8108108108108109,0.5860694931463182,0.5861531564113435
3,DILI5293PaDELmaxminseed0group.csv,Bioactivity,te,32,5293,274,256,0.9343065693430657,196,60,59,215,0.7846715328467153,0.765625,0.8707664029429181,0.7754716981132076,0.8608362796532847,0.7846715328467153,0.7818181818181819,0.7832422586520947,0.5503671490696513,0.5503710777735976
4,DILI5293PaDELmaxminseed0group.csv,Bioactivity,tr,32,5293,2229,2057,0.9228353521758637,2004,53,71,2158,0.968147151188874,0.9742343218279047,0.9983083916707157,0.9710685954269715,0.9981225953113301,0.968147151188874,0.9760289461781999,0.9720720720720721,0.9420634147160392,0.9420967328454872
4,DILI5293PaDELmaxminseed0group.csv,Bioactivity,va,32,5293,237,240,1.0126582278481013,183,57,44,193,0.8143459915611815,0.7625,0.8552789053553177,0.7882599580712788,0.8763800984528833,0.8143459915611815,0.772,0.7926078028747433,0.576648300951678,0.5775063182767654
4,DILI5293PaDELmaxminseed0group.csv,Bioactivity,te,32,5293,281,249,0.8861209964412812,202,47,59,222,0.7900355871886121,0.8112449799196787,0.9092224432764617,0.8,0.8927953808115022,0.7900355871886121,0.8252788104089219,0.8072727272727271,0.5996351249269537,0.6002519890689152
5,DILI5293PaDELmaxminseed0group.csv,Bioactivity,tr,32,5293,2241,2045,0.9125390450691655,1985,60,60,2181,0.9732262382864793,0.9706601466992665,0.9984190621800292,0.9720018665422305,0.9982326480603206,0.9732262382864793,0.9732262382864793,0.9732262382864793,0.9438863849857457,0.9438863849857457
