split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,auc_prc,acc,auc_roc,recall,precision,f1,kappa,mcc
1,DILI5293rdkit200seed0group.csv,Bioactivity,tr,110,5293,2206,2080,0.942883046237534,1977,103,101,2105,0.9542157751586582,0.9504807692307692,0.9912073014694796,0.9524031731217919,0.9902524365367179,0.9542157751586582,0.9533514492753623,0.9537834164023561,0.9047213881056256,0.9047217828133677
1,DILI5293rdkit200seed0group.csv,Bioactivity,va,110,5293,259,218,0.8416988416988417,166,52,54,205,0.7915057915057915,0.7614678899082569,0.8874334033732478,0.7777777777777778,0.8689384010484927,0.7915057915057915,0.7976653696498055,0.7945736434108527,0.5525724297824894,0.5525921211634661
1,DILI5293rdkit200seed0group.csv,Bioactivity,te,110,5293,282,248,0.8794326241134752,182,66,46,236,0.8368794326241135,0.7338709677419355,0.8870190056135073,0.7886792452830189,0.8732555479295356,0.8368794326241135,0.7814569536423841,0.8082191780821917,0.5735387091212139,0.5752090685960571
2,DILI5293rdkit200seed0group.csv,Bioactivity,tr,110,5293,2245,2041,0.9091314031180401,1938,103,114,2131,0.9492204899777282,0.9495345418912298,0.9913788596933505,0.9493700419972002,0.9900550954868405,0.9492204899777282,0.9538943598925694,0.951551685644117,0.8985350086523141,0.8985468940022189
2,DILI5293rdkit200seed0group.csv,Bioactivity,va,110,5293,247,230,0.9311740890688259,165,65,37,210,0.8502024291497976,0.717391304347826,0.8584674220032572,0.7861635220125787,0.8682450272839288,0.8502024291497976,0.7636363636363637,0.8045977011494254,0.5699816163473096,0.5739947960233976
2,DILI5293rdkit200seed0group.csv,Bioactivity,te,110,5293,255,275,1.0784313725490196,208,67,48,207,0.8117647058823529,0.7563636363636363,0.8568091647220222,0.7830188679245284,0.867144385026738,0.8117647058823529,0.7554744525547445,0.782608695652174,0.5665931877977672,0.5680513921891226
3,DILI5293rdkit200seed0group.csv,Bioactivity,tr,110,5293,2212,2074,0.9376130198915009,1967,107,119,2093,0.9462025316455697,0.9484088717454194,0.9909049602071649,0.9472701819878675,0.9897797103900702,0.9462025316455697,0.9513636363636364,0.9487760652765186,0.8944499703172006,0.8944640178036743
3,DILI5293rdkit200seed0group.csv,Bioactivity,va,110,5293,261,216,0.8275862068965517,171,45,52,209,0.8007662835249042,0.7916666666666666,0.9095115013464654,0.7966457023060797,0.8868224066978856,0.8007662835249042,0.8228346456692913,0.8116504854368931,0.590782456419645,0.5910402326483561
3,DILI5293rdkit200seed0group.csv,Bioactivity,te,110,5293,274,256,0.9343065693430657,184,72,61,213,0.7773722627737226,0.71875,0.8539931647212986,0.7490566037735849,0.8508282960766423,0.7773722627737226,0.7473684210526316,0.7620751341681574,0.49682347062602616,0.4972542545737916
4,DILI5293rdkit200seed0group.csv,Bioactivity,tr,110,5293,2229,2057,0.9228353521758637,1942,115,112,2117,0.9497532525796322,0.944093339815265,0.9912319687503216,0.9470368642090528,0.9898931375493369,0.9497532525796322,0.9484767025089605,0.9491145483075543,0.893896891791236,0.8938977706216532
4,DILI5293rdkit200seed0group.csv,Bioactivity,va,110,5293,237,240,1.0126582278481013,187,53,46,191,0.8059071729957806,0.7791666666666667,0.8548867153786364,0.7924528301886793,0.8739539381153305,0.8059071729957806,0.7827868852459017,0.7941787941787941,0.5849658554591716,0.5852178983669515
4,DILI5293rdkit200seed0group.csv,Bioactivity,te,110,5293,281,249,0.8861209964412812,205,44,58,223,0.7935943060498221,0.8232931726907631,0.8893774704555236,0.8075471698113208,0.8774171418771171,0.7935943060498221,0.8352059925093633,0.8138686131386862,0.6149188665536449,0.6157795810659932
5,DILI5293rdkit200seed0group.csv,Bioactivity,tr,110,5293,2241,2045,0.9125390450691655,1931,114,115,2126,0.9486836233824185,0.9442542787286063,0.9908161202031538,0.9465702286514233,0.9892447813530677,0.9486836233824185,0.9491071428571428,0.9488953358625307,0.8929188078490176,0.8929189054687193
5,DILI5293rdkit200seed0group.csv,Bioactivity,va,110,5293,242,235,0.9710743801652892,180,55,66,176,0.7272727272727273,0.7659574468085106,0.8093024052347819,0.7463312368972747,0.8238614383682082,0.7272727272727273,0.7619047619047619,0.7441860465116279,0.49289649173673533,0.49342108958058073
5,DILI5293rdkit200seed0group.csv,Bioactivity,te,110,5293,264,266,1.0075757575757576,209,57,52,212,0.803030303030303,0.7857142857142857,0.8872050257227443,0.7943396226415095,0.8734264638869902,0.803030303030303,0.7881040892193308,0.7954971857410882,0.588702672685073,0.588807477385586
6,DILI5293rdkit200seed0group.csv,Bioactivity,tr,110,5293,2211,2075,0.9384893713251922,1971,104,107,2104,0.9516056083220262,0.9498795180722892,0.9914383803906673,0.9507699486700887,0.9902502819963708,0.9516056083220262,0.9528985507246377,0.9522516406426793,0.9014450431764925,0.9014459281788789
6,DILI5293rdkit200seed0group.csv,Bioactivity,va,110,5293,261,216,0.8275862068965517,169,47,62,199,0.7624521072796935,0.7824074074074074,0.8808563755295906,0.7714884696016772,0.8482155527174684,0.7624521072796935,0.8089430894308943,0.7850098619329389,0.5416170752995318,0.5426978799059956
6,DILI5293rdkit200seed0group.csv,Bioactivity,te,110,5293,275,255,0.9272727272727272,191,64,59,216,0.7854545454545454,0.7490196078431373,0.8694003731804127,0.7679245283018868,0.863536541889483,0.7854545454545454,0.7714285714285715,0.7783783783783782,0.5348555119514805,0.5349511495133678
7,DILI5293rdkit200seed0group.csv,Bioactivity,tr,110,5293,2240,2046,0.9133928571428571,1948,98,106,2134,0.9526785714285714,0.9521016617790812,0.991971735540646,0.9524031731217919,0.9905703419564307,0.9526785714285714,0.9560931899641577,0.9543828264758497,0.9046270618192354,0.9046333890562014
7,DILI5293rdkit200seed0group.csv,Bioactivity,va,110,5293,251,226,0.900398406374502,169,57,43,208,0.8286852589641435,0.7477876106194691,0.8768405684847531,0.790356394129979,0.8609808553397031,0.8286852589641435,0.7849056603773585,0.8062015503875971,0.5782567947516402,0.5792673972217374
7,DILI5293rdkit200seed0group.csv,Bioactivity,te,110,5293,256,274,1.0703125,200,74,48,208,0.8125,0.7299270072992701,0.8185568849723301,0.769811320754717,0.8464230725364964,0.8125,0.7375886524822695,0.7732342007434944,0.5406234902952627,0.5432330374741166
8,DILI5293rdkit200seed0group.csv,Bioactivity,tr,110,5293,2239,2047,0.9142474318892363,1937,110,115,2124,0.9486377847253238,0.9462628236443575,0.9907849160623994,0.9475034997666822,0.9891818722722585,0.9486377847253238,0.9507609668755596,0.9496981891348087,0.8948068956324272,0.8948093404734413
8,DILI5293rdkit200seed0group.csv,Bioactivity,va,110,5293,238,239,1.004201680672269,182,57,39,199,0.8361344537815126,0.7615062761506276,0.8752904883156859,0.7987421383647799,0.8788544706585564,0.8361344537815126,0.77734375,0.805668016194332,0.597546184809548,0.5992547663504161
8,DILI5293rdkit200seed0group.csv,Bioactivity,te,110,5293,270,260,0.9629629629629629,200,60,46,224,0.8296296296296296,0.7692307692307693,0.8687412378555092,0.8,0.8739672364672365,0.8296296296296296,0.7887323943661971,0.8086642599277978,0.5994581491515756,0.6002987343657274
9,DILI5293rdkit200seed0group.csv,Bioactivity,tr,110,5293,2224,2062,0.927158273381295,1966,96,115,2109,0.9482913669064749,0.953443258971872,0.990955263548485,0.9507699486700887,0.9895201321968614,0.9482913669064749,0.9564625850340136,0.9523594490855724,0.9014321099823496,0.9014676192651488
9,DILI5293rdkit200seed0group.csv,Bioactivity,va,110,5293,247,230,0.9311740890688259,175,55,37,210,0.8502024291497976,0.7608695652173914,0.9077569961134396,0.8071278825995807,0.9009681394120753,0.8502024291497976,0.7924528301886793,0.8203125,0.6127221702525725,0.6144887093168094
9,DILI5293rdkit200seed0group.csv,Bioactivity,te,110,5293,276,254,0.9202898550724637,193,61,54,222,0.8043478260869565,0.7598425196850394,0.8382493640748458,0.7830188679245284,0.8479473353874244,0.8043478260869565,0.784452296819788,0.7942754919499107,0.564810715866737,0.565008986480994
10,DILI5293rdkit200seed0group.csv,Bioactivity,tr,110,5293,2212,2074,0.9376130198915009,1982,92,120,2092,0.945750452079566,0.9556412729026037,0.9914737418244712,0.9505366308912739,0.9903291156678484,0.945750452079566,0.9578754578754579,0.9517743403093721,0.9010122842413969,0.9010892971171587
10,DILI5293rdkit200seed0group.csv,Bioactivity,va,110,5293,256,221,0.86328125,165,56,53,203,0.79296875,0.746606334841629,0.851097902680009,0.7714884696016772,0.8397642109728506,0.79296875,0.7837837837837838,0.7883495145631068,0.5400762514706272,0.540119526609011
10,DILI5293rdkit200seed0group.csv,Bioactivity,te,110,5293,279,251,0.899641577060932,195,56,40,239,0.8566308243727598,0.7768924302788844,0.894452953953874,0.8188679245283019,0.8906453040883063,0.8566308243727598,0.8101694915254237,0.8327526132404182,0.635556192249839,0.6367318647735748
