split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,auc_prc,acc,auc_roc,recall,precision,f1,kappa,mcc
1,DILI5293rdkit200seed0group.csv,Bioactivity,tr,110,5293,2206,2080,0.942883046237534,2037,43,255,1951,0.8844061650045331,0.979326923076923,0.9899658949000361,0.9304713019132058,0.9892201774879699,0.8844061650045331,0.9784353059177533,0.929047619047619,0.861226258389043,0.8654542099474398
1,DILI5293rdkit200seed0group.csv,Bioactivity,va,110,5293,259,218,0.8416988416988417,172,46,66,193,0.7451737451737451,0.7889908256880734,0.8556658626239426,0.7651991614255765,0.8377492827034112,0.7451737451737451,0.8075313807531381,0.7751004016064258,0.5303136868757912,0.5321888598478844
1,DILI5293rdkit200seed0group.csv,Bioactivity,te,110,5293,282,248,0.8794326241134752,205,43,82,200,0.7092198581560284,0.8266129032258065,0.8415667800677042,0.7641509433962265,0.8351278311599176,0.7092198581560284,0.823045267489712,0.761904761904762,0.5308007195569342,0.5365813486702077
2,DILI5293rdkit200seed0group.csv,Bioactivity,tr,110,5293,2245,2041,0.9091314031180401,2005,36,312,1933,0.8610244988864143,0.9823615874571289,0.9872143250909684,0.9188054129724685,0.9856830301753912,0.8610244988864143,0.9817166074149314,0.9174181300427148,0.8382359799375168,0.8452209090605572
2,DILI5293rdkit200seed0group.csv,Bioactivity,va,110,5293,247,230,0.9311740890688259,185,45,75,172,0.6963562753036437,0.8043478260869565,0.7873076879082388,0.7484276729559748,0.8193627882415067,0.6963562753036437,0.7926267281105991,0.7413793103448276,0.4984666608253745,0.502431665239816
2,DILI5293rdkit200seed0group.csv,Bioactivity,te,110,5293,255,275,1.0784313725490196,230,45,81,174,0.6823529411764706,0.8363636363636363,0.7793813454111745,0.7622641509433963,0.8239643493761142,0.6823529411764706,0.7945205479452054,0.7341772151898736,0.5213932487637067,0.5263374995192328
3,DILI5293rdkit200seed0group.csv,Bioactivity,tr,110,5293,2212,2074,0.9376130198915009,1874,200,250,1962,0.8869801084990958,0.9035679845708775,0.9672208144628424,0.8950069995333645,0.9630226597798281,0.8869801084990958,0.9074930619796485,0.8971193415637859,0.7899540375392767,0.790169262651636
3,DILI5293rdkit200seed0group.csv,Bioactivity,va,110,5293,261,216,0.8275862068965517,173,43,58,203,0.7777777777777778,0.8009259259259259,0.8667259304970276,0.7882599580712788,0.8444284802043422,0.7777777777777778,0.8252032520325203,0.8007889546351086,0.5752598587637864,0.5764077980249733
3,DILI5293rdkit200seed0group.csv,Bioactivity,te,110,5293,274,256,0.9343065693430657,194,62,74,200,0.7299270072992701,0.7578125,0.8268921415864897,0.7433962264150943,0.8300282276459854,0.7299270072992701,0.7633587786259542,0.746268656716418,0.4869896942435803,0.4874893773323543
4,DILI5293rdkit200seed0group.csv,Bioactivity,tr,110,5293,2229,2057,0.9228353521758637,1886,171,84,2145,0.9623149394347241,0.9168692270296548,0.9894507857889284,0.9405039664022399,0.988762616266377,0.9623149394347241,0.9261658031088082,0.9438943894389439,0.8806211853404349,0.8813525139154545
4,DILI5293rdkit200seed0group.csv,Bioactivity,va,110,5293,237,240,1.0126582278481013,176,64,42,195,0.8227848101265823,0.7333333333333333,0.8371851493868382,0.7777777777777778,0.8513976793248946,0.8227848101265823,0.752895752895753,0.7862903225806454,0.5557956881556059,0.5581728770552857
4,DILI5293rdkit200seed0group.csv,Bioactivity,te,110,5293,281,249,0.8861209964412812,194,55,62,219,0.7793594306049823,0.7791164658634538,0.8604320110165864,0.779245283018868,0.8546356243479256,0.7793594306049823,0.7992700729927007,0.7891891891891892,0.55758336781724,0.5577787996679701
5,DILI5293rdkit200seed0group.csv,Bioactivity,tr,110,5293,2241,2045,0.9125390450691655,2003,42,387,1854,0.8273092369477911,0.9794621026894865,0.9855964159202288,0.8999066728884741,0.9836901531690467,0.8273092369477911,0.9778481012658228,0.8963016678752719,0.8008629624695802,0.8113344727177272
5,DILI5293rdkit200seed0group.csv,Bioactivity,va,110,5293,242,235,0.9710743801652892,202,33,90,152,0.628099173553719,0.8595744680851064,0.7830624860484208,0.7421383647798742,0.8035167926850713,0.628099173553719,0.8216216216216217,0.7119437939110069,0.48596886252726934,0.5003727003615857
5,DILI5293rdkit200seed0group.csv,Bioactivity,te,110,5293,264,266,1.0075757575757576,226,40,72,192,0.7272727272727273,0.849624060150376,0.847337869107729,0.7886792452830189,0.8412579744816587,0.7272727272727273,0.8275862068965517,0.7741935483870968,0.5771597902894916,0.5814184081778278
6,DILI5293rdkit200seed0group.csv,Bioactivity,tr,110,5293,2211,2075,0.9384893713251922,1978,97,130,2081,0.9412030755314338,0.9532530120481928,0.9899490398745941,0.9470368642090528,0.9885675674202918,0.9412030755314338,0.9554637281910009,0.9482797903850536,0.8940188045103461,0.8941249319722285
6,DILI5293rdkit200seed0group.csv,Bioactivity,va,110,5293,261,216,0.8275862068965517,168,48,73,188,0.7203065134099617,0.7777777777777778,0.8191388326728346,0.7463312368972747,0.8057329360011354,0.7203065134099617,0.7966101694915254,0.7565392354124748,0.4931636765984352,0.4958901152569871
6,DILI5293rdkit200seed0group.csv,Bioactivity,te,110,5293,275,255,0.9272727272727272,212,43,62,213,0.7745454545454545,0.8313725490196079,0.7859368991026183,0.8018867924528302,0.842331550802139,0.7745454545454545,0.83203125,0.8022598870056498,0.6042807366849179,0.6058359350932685
