split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,auc_prc,acc,auc_roc,recall,precision,f1,kappa,mcc
1,DILI5293rdkit200seed0group.csv,Bioactivity,tr,110,5293,2206,2080,0.942883046237534,1720,360,198,2008,0.9102447869446962,0.8269230769230769,0.9514042804684514,0.8698086794213719,0.9493672196457216,0.9102447869446962,0.847972972972973,0.8780061215566243,0.7388111764389811,0.7409444774172588
1,DILI5293rdkit200seed0group.csv,Bioactivity,va,110,5293,259,218,0.8416988416988417,153,65,46,213,0.8223938223938224,0.7018348623853211,0.8806766026158531,0.7672955974842768,0.8559207962877687,0.8223938223938224,0.7661870503597122,0.7932960893854748,0.5278701680859601,0.5296024355645804
1,DILI5293rdkit200seed0group.csv,Bioactivity,te,110,5293,282,248,0.8794326241134752,172,76,41,241,0.8546099290780141,0.6935483870967742,0.864542485358326,0.779245283018868,0.8490762983299016,0.8546099290780141,0.7602523659305994,0.8046744574290484,0.5528619431505171,0.557875088793023
2,DILI5293rdkit200seed0group.csv,Bioactivity,tr,110,5293,2245,2041,0.9091314031180401,1729,312,206,2039,0.9082405345211582,0.8471337579617835,0.9539076233942232,0.8791413905739618,0.9516393880898159,0.9082405345211582,0.8672905146746066,0.8872932985204526,0.7571609235407603,0.7580975206127469
2,DILI5293rdkit200seed0group.csv,Bioactivity,va,110,5293,247,230,0.9311740890688259,150,80,41,206,0.8340080971659919,0.6521739130434783,0.8410663926428481,0.7463312368972747,0.8426157366660798,0.8340080971659919,0.7202797202797203,0.7729831144465291,0.4890356507343502,0.495805773195994
2,DILI5293rdkit200seed0group.csv,Bioactivity,te,110,5293,255,275,1.0784313725490196,194,81,47,208,0.8156862745098039,0.7054545454545454,0.8310410729816899,0.7584905660377359,0.8484064171122995,0.8156862745098039,0.7197231833910035,0.7647058823529411,0.5186262683601788,0.5229185959558948
3,DILI5293rdkit200seed0group.csv,Bioactivity,tr,110,5293,2212,2074,0.9376130198915009,1769,305,219,1993,0.900994575045208,0.8529411764705882,0.9517721821931959,0.8777414839010733,0.9490838304610079,0.900994575045208,0.8672758920800696,0.8838137472283814,0.7549122017463181,0.7555236666926689
3,DILI5293rdkit200seed0group.csv,Bioactivity,va,110,5293,261,216,0.8275862068965517,166,50,47,214,0.8199233716475096,0.7685185185185185,0.8872612642810229,0.7966457023060797,0.858902724563644,0.8199233716475096,0.8106060606060606,0.8152380952380952,0.5891472868217054,0.5891948551447662
3,DILI5293rdkit200seed0group.csv,Bioactivity,te,110,5293,274,256,0.9343065693430657,186,70,54,220,0.8029197080291971,0.7265625,0.8318946762640564,0.7660377358490567,0.8386675980839416,0.8029197080291971,0.7586206896551724,0.7801418439716313,0.5305714285714286,0.5315474212228704
4,DILI5293rdkit200seed0group.csv,Bioactivity,tr,110,5293,2229,2057,0.9228353521758637,1737,320,216,2013,0.9030955585464334,0.8444336412250851,0.9509801958976191,0.8749416705552963,0.9476951520516774,0.9030955585464334,0.8628375482211744,0.8825076720736519,0.7489902447690822,0.7498801380399857
4,DILI5293rdkit200seed0group.csv,Bioactivity,va,110,5293,237,240,1.0126582278481013,173,67,44,193,0.8143459915611815,0.7208333333333333,0.8371654482394345,0.7672955974842768,0.8509757383966244,0.8143459915611815,0.7423076923076923,0.7766599597585514,0.5348549139498722,0.5373565912430223
4,DILI5293rdkit200seed0group.csv,Bioactivity,te,110,5293,281,249,0.8861209964412812,190,59,62,219,0.7793594306049823,0.7630522088353414,0.8796170477955545,0.7716981132075472,0.8692849690577256,0.7793594306049823,0.7877697841726619,0.7835420393559929,0.5420397903366325,0.5420747341605202
5,DILI5293rdkit200seed0group.csv,Bioactivity,tr,110,5293,2241,2045,0.9125390450691655,1741,304,193,2048,0.9138777331548416,0.8513447432762836,0.9563737287989916,0.8840410639290714,0.953810460532704,0.9138777331548416,0.8707482993197279,0.8917918571739603,0.7670431566982001,0.7680834522545443
5,DILI5293rdkit200seed0group.csv,Bioactivity,va,110,5293,242,235,0.9710743801652892,168,67,61,181,0.7479338842975206,0.7148936170212766,0.7983802392906572,0.7316561844863732,0.809231580798312,0.7479338842975206,0.7298387096774194,0.7387755102040816,0.46299846963007263,0.46314522351724785
5,DILI5293rdkit200seed0group.csv,Bioactivity,te,110,5293,264,266,1.0075757575757576,198,68,54,210,0.7954545454545454,0.7443609022556391,0.8686319186144519,0.769811320754717,0.8665057530189109,0.7954545454545454,0.7553956834532374,0.7749077490774907,0.5397078504513226,0.5404623208574403
6,DILI5293rdkit200seed0group.csv,Bioactivity,tr,110,5293,2211,2075,0.9384893713251922,1773,302,213,1998,0.903663500678426,0.8544578313253012,0.9522813664954718,0.879841343910406,0.9503070627149031,0.903663500678426,0.8686956521739131,0.8858346264686324,0.7591227238887653,0.7597812971344716
6,DILI5293rdkit200seed0group.csv,Bioactivity,va,110,5293,261,216,0.8275862068965517,160,56,61,200,0.7662835249042146,0.7407407407407407,0.8752500493014004,0.7547169811320755,0.8407478359585641,0.7662835249042146,0.78125,0.7736943907156674,0.5060144985262487,0.506127289629129
6,DILI5293rdkit200seed0group.csv,Bioactivity,te,110,5293,275,255,0.9272727272727272,178,77,57,218,0.7927272727272727,0.6980392156862745,0.8498846539049295,0.7471698113207547,0.8421176470588234,0.7927272727272727,0.7389830508474576,0.7649122807017542,0.4921701823382195,0.4935900513794862
7,DILI5293rdkit200seed0group.csv,Bioactivity,tr,110,5293,2240,2046,0.9133928571428571,1730,316,220,2020,0.9017857142857143,0.8455522971652004,0.9526177538454849,0.8749416705552963,0.9495573898547689,0.9017857142857143,0.8647260273972602,0.8828671328671328,0.7488595736344619,0.7496182842372264
7,DILI5293rdkit200seed0group.csv,Bioactivity,va,110,5293,251,226,0.900398406374502,163,63,56,195,0.7768924302788844,0.7212389380530974,0.8609775795232862,0.750524109014675,0.8495751507245355,0.7768924302788844,0.7558139534883721,0.7662082514734774,0.4989009242829524,0.4991178029282276
7,DILI5293rdkit200seed0group.csv,Bioactivity,te,110,5293,256,274,1.0703125,192,82,49,207,0.80859375,0.7007299270072993,0.7982674461767261,0.7528301886792453,0.8228002395072993,0.80859375,0.7162629757785467,0.7596330275229357,0.5071762183955367,0.5111303709659071
8,DILI5293rdkit200seed0group.csv,Bioactivity,tr,110,5293,2239,2047,0.9142474318892363,1701,346,207,2032,0.9075480125055828,0.830972154372252,0.9503207967916701,0.8709752683154456,0.9464860285305154,0.9075480125055828,0.8544995794785534,0.8802252544942603,0.7406766335024768,0.7422551455521758
8,DILI5293rdkit200seed0group.csv,Bioactivity,va,110,5293,238,239,1.004201680672269,167,72,34,204,0.8571428571428571,0.698744769874477,0.8685924344310779,0.7777777777777778,0.8681305158046482,0.8571428571428571,0.7391304347826086,0.7937743190661479,0.555702008752043,0.5628878401325087
8,DILI5293rdkit200seed0group.csv,Bioactivity,te,110,5293,270,260,0.9629629629629629,184,76,44,226,0.837037037037037,0.7076923076923077,0.8487756761703513,0.7735849056603774,0.8488817663817664,0.837037037037037,0.7483443708609272,0.7902097902097902,0.5459737292975442,0.55001993772351
9,DILI5293rdkit200seed0group.csv,Bioactivity,tr,110,5293,2224,2062,0.927158273381295,1741,321,231,1993,0.8961330935251799,0.8443258971871969,0.9506802527718817,0.8712085860942603,0.9470054654627413,0.8961330935251799,0.8612791702679343,0.8783605112384311,0.7416379424443902,0.7422968200154466
9,DILI5293rdkit200seed0group.csv,Bioactivity,va,110,5293,247,230,0.9311740890688259,162,68,39,208,0.8421052631578947,0.7043478260869566,0.8674445339144212,0.7756813417190775,0.8694419996479493,0.8421052631578947,0.7536231884057971,0.7954110898661567,0.5488344957437217,0.5529841842990507
9,DILI5293rdkit200seed0group.csv,Bioactivity,te,110,5293,276,254,0.9202898550724637,180,74,65,211,0.7644927536231884,0.7086614173228346,0.8126165581780973,0.7377358490566037,0.8153386397352504,0.7644927536231884,0.7403508771929824,0.7522281639928698,0.47382329833583314,0.4740985204502916
10,DILI5293rdkit200seed0group.csv,Bioactivity,tr,110,5293,2212,2074,0.9376130198915009,1752,322,198,2014,0.9104882459312839,0.8447444551591128,0.954356231723783,0.8786747550163323,0.9512455947309407,0.9104882459312839,0.8621575342465754,0.8856640281442392,0.7566438355566076,0.7579211019507385
10,DILI5293rdkit200seed0group.csv,Bioactivity,va,110,5293,256,221,0.86328125,157,64,44,212,0.828125,0.7104072398190046,0.8683999715043382,0.7735849056603774,0.8509880514705883,0.828125,0.7681159420289855,0.7969924812030075,0.5418845374026251,0.5438451472743063
10,DILI5293rdkit200seed0group.csv,Bioactivity,te,110,5293,279,251,0.899641577060932,188,63,44,235,0.8422939068100358,0.749003984063745,0.8847155812284395,0.7981132075471699,0.8670979165774179,0.8422939068100358,0.7885906040268457,0.8145580589254765,0.593552456173043,0.5951044088917301
