split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,auc_prc,acc,auc_roc,recall,precision,f1,kappa,mcc
1,DILI5293rdkit200seed0group.csv,Bioactivity,tr,110,5293,2206,2080,0.942883046237534,2018,62,63,2143,0.971441523118767,0.9701923076923077,0.9863062614385573,0.9708352776481568,0.98707818275333,0.971441523118767,0.9718820861678005,0.9716617547041487,0.9416209023212815,0.9416210050142945
1,DILI5293rdkit200seed0group.csv,Bioactivity,va,110,5293,259,218,0.8416988416988417,171,47,44,215,0.8301158301158301,0.7844036697247706,0.8627077429617651,0.8092243186582809,0.8645460663809288,0.8301158301158301,0.8206106870229007,0.8253358925143953,0.6151895816526449,0.6152390907226457
1,DILI5293rdkit200seed0group.csv,Bioactivity,te,110,5293,282,248,0.8794326241134752,184,64,41,241,0.8546099290780141,0.7419354838709677,0.8639855947826465,0.8018867924528302,0.8620167009837565,0.8546099290780141,0.7901639344262295,0.8211243611584327,0.5998993457473578,0.6022166053469886
2,DILI5293rdkit200seed0group.csv,Bioactivity,tr,110,5293,2245,2041,0.9091314031180401,1982,59,66,2179,0.9706013363028954,0.9710926016658501,0.9830980702760771,0.9708352776481568,0.9837311724350154,0.9706013363028954,0.9736371760500446,0.9721168860138301,0.9415472207899215,0.9415522651024287
2,DILI5293rdkit200seed0group.csv,Bioactivity,va,110,5293,247,230,0.9311740890688259,173,57,44,203,0.8218623481781376,0.7521739130434782,0.8360777115028435,0.7882599580712788,0.8593733497623659,0.8218623481781376,0.7807692307692308,0.8007889546351085,0.5751549837300152,0.5760168407500663
2,DILI5293rdkit200seed0group.csv,Bioactivity,te,110,5293,255,275,1.0784313725490196,217,58,41,214,0.8392156862745098,0.7890909090909091,0.8254536700154376,0.8132075471698114,0.8649197860962566,0.8392156862745098,0.7867647058823529,0.8121442125237192,0.6267871114588519,0.6280782447871464
3,DILI5293rdkit200seed0group.csv,Bioactivity,tr,110,5293,2212,2074,0.9376130198915009,2010,64,65,2147,0.970614828209765,0.9691417550626809,0.9849791125831008,0.9699020065328978,0.9856881069506034,0.970614828209765,0.9710538218000905,0.9708342753787024,0.9397424493058373,0.9397425518291072
3,DILI5293rdkit200seed0group.csv,Bioactivity,va,110,5293,261,216,0.8275862068965517,171,45,43,218,0.8352490421455939,0.7916666666666666,0.8913958910122722,0.8155136268343816,0.8733592308783881,0.8352490421455939,0.8288973384030418,0.83206106870229,0.6274165202108963,0.6274390154775895
3,DILI5293rdkit200seed0group.csv,Bioactivity,te,110,5293,274,256,0.9343065693430657,200,56,51,223,0.8138686131386861,0.78125,0.8674623445147853,0.7981132075471699,0.8611641765510949,0.8138686131386861,0.7992831541218638,0.806509945750452,0.5955006490820125,0.5956070576864475
4,DILI5293rdkit200seed0group.csv,Bioactivity,tr,110,5293,2229,2057,0.9228353521758637,1995,62,68,2161,0.9694930462090624,0.9698590179873602,0.9867085242190146,0.9696686887540831,0.9872347168069813,0.9694930462090624,0.9721097615834458,0.9707996406109615,0.9392463617928332,0.9392500542244767
4,DILI5293rdkit200seed0group.csv,Bioactivity,va,110,5293,237,240,1.0126582278481013,185,55,41,196,0.8270042194092827,0.7708333333333334,0.8217443512433219,0.7987421383647799,0.8657260900140646,0.8270042194092827,0.7808764940239044,0.8032786885245902,0.597616913586756,0.5986485087577794
4,DILI5293rdkit200seed0group.csv,Bioactivity,te,110,5293,281,249,0.8861209964412812,202,47,57,224,0.797153024911032,0.8112449799196787,0.8790828150518265,0.8037735849056604,0.872414926610356,0.797153024911032,0.8265682656826568,0.8115942028985507,0.6070099388270187,0.6074437768995904
5,DILI5293rdkit200seed0group.csv,Bioactivity,tr,110,5293,2241,2045,0.9125390450691655,1980,65,62,2179,0.9723337795626952,0.9682151589242054,0.9854007559403095,0.9703686420905273,0.9865606408246406,0.9723337795626952,0.9710338680926917,0.9716833890746934,0.9406092807259537,0.940610206387329
5,DILI5293rdkit200seed0group.csv,Bioactivity,va,110,5293,242,235,0.9710743801652892,177,58,58,184,0.7603305785123967,0.7531914893617021,0.8080240526773019,0.7568134171907757,0.8302971689818884,0.7603305785123967,0.7603305785123967,0.7603305785123967,0.5135220678740988,0.5135220678740988
5,DILI5293rdkit200seed0group.csv,Bioactivity,te,110,5293,264,266,1.0075757575757576,214,52,46,218,0.8257575757575758,0.8045112781954887,0.8894073892153039,0.8150943396226416,0.8861286739576213,0.8257575757575758,0.8074074074074075,0.8164794007490637,0.630215007831411,0.6303765830118725
6,DILI5293rdkit200seed0group.csv,Bioactivity,tr,110,5293,2211,2075,0.9384893713251922,2019,56,69,2142,0.9687924016282226,0.9730120481927711,0.9839446612371553,0.9708352776481568,0.984867884019116,0.9687924016282226,0.9745222929936306,0.9716488999773192,0.9416230142290566,0.9416403686084469
6,DILI5293rdkit200seed0group.csv,Bioactivity,va,110,5293,261,216,0.8275862068965517,169,47,62,199,0.7624521072796935,0.7824074074074074,0.8340896590413013,0.7714884696016772,0.8235064566482191,0.7624521072796935,0.8089430894308943,0.7850098619329389,0.5416170752995318,0.5426978799059956
