split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,auc_prc,acc,auc_roc,recall,precision,f1,kappa,mcc
1,DILI5293rdkit200seed0group.csv,Bioactivity,tr,110,5293,2206,2080,0.942883046237534,2030,50,63,2143,0.971441523118767,0.9759615384615384,0.9985501214479147,0.9736350909939337,0.998432051572634,0.971441523118767,0.9772001823985408,0.9743123437144805,0.9472339893303967,0.9472514426330699
1,DILI5293rdkit200seed0group.csv,Bioactivity,va,110,5293,259,218,0.8416988416988417,175,43,49,210,0.8108108108108109,0.8027522935779816,0.9052884515295829,0.8071278825995807,0.8826113138039743,0.8108108108108109,0.8300395256916996,0.8203125,0.6122293894141557,0.6124252599817808
1,DILI5293rdkit200seed0group.csv,Bioactivity,te,110,5293,282,248,0.8794326241134752,185,63,43,239,0.8475177304964538,0.7459677419354839,0.8926981321188853,0.8,0.8741134751773049,0.8475177304964538,0.7913907284768212,0.8184931506849316,0.596384849704006,0.5981217456946575
2,DILI5293rdkit200seed0group.csv,Bioactivity,tr,110,5293,2245,2041,0.9091314031180401,1993,48,67,2178,0.9701559020044543,0.9764821166095051,0.9985254657632696,0.9731684554363043,0.9983423340451697,0.9701559020044543,0.9784366576819407,0.9742786848579735,0.946237802365323,0.9462751326709407
2,DILI5293rdkit200seed0group.csv,Bioactivity,va,110,5293,247,230,0.9311740890688259,172,58,43,204,0.8259109311740891,0.7478260869565218,0.8675512701188015,0.7882599580712788,0.8752156310508714,0.8259109311740891,0.7786259541984732,0.8015717092337917,0.5750275658271953,0.5761763007750418
2,DILI5293rdkit200seed0group.csv,Bioactivity,te,110,5293,255,275,1.0784313725490196,209,66,49,206,0.807843137254902,0.76,0.8623787948681791,0.7830188679245284,0.8739607843137255,0.807843137254902,0.7573529411764706,0.7817836812144212,0.5664698769471512,0.5676367614031812
3,DILI5293rdkit200seed0group.csv,Bioactivity,tr,110,5293,2212,2074,0.9376130198915009,2006,68,52,2160,0.976491862567812,0.9672131147540983,0.9983994327475145,0.9720018665422305,0.9982580550377445,0.976491862567812,0.9694793536804309,0.972972972972973,0.9439321290093019,0.9439585065669419
3,DILI5293rdkit200seed0group.csv,Bioactivity,va,110,5293,261,216,0.8275862068965517,176,40,43,218,0.8352490421455939,0.8148148148148148,0.9239078160852952,0.8259958071278826,0.9058553285085852,0.8352490421455939,0.8449612403100775,0.840077071290944,0.6492864545961892,0.6493386281110324
3,DILI5293rdkit200seed0group.csv,Bioactivity,te,110,5293,274,256,0.9343065693430657,196,60,50,224,0.8175182481751825,0.765625,0.8747897145274472,0.7924528301886793,0.8690479584854015,0.8175182481751825,0.7887323943661971,0.8028673835125447,0.5838924258429212,0.5843106365192944
4,DILI5293rdkit200seed0group.csv,Bioactivity,tr,110,5293,2229,2057,0.9228353521758637,2003,54,65,2164,0.9708389412292507,0.9737481769567331,0.9984422901181019,0.9722351843210453,0.9982758105522445,0.9708389412292507,0.975653742110009,0.9732403867776028,0.9443922687292343,0.9444047452310645
