split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.877771432668092,0.7973306572667707,2.028185329480826
1,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.4295744132904575,0.7133826290411807,2.2208342771987026
1,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.4428203352561004,0.7608072224448478,2.362939990506224
2,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.714859781048189,0.8220526367709767,1.9502926865519237
2,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.5191710148668873,0.7016967170796133,2.2463449325627867
2,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.9330526600897042,0.6522389409723646,2.5696459675373546
3,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.818667096347452,0.8146099021075617,1.9975845963257608
3,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.871613130186001,0.6136774428459661,2.6451785800822636
3,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.3691060326352065,0.6815998936616992,2.286802742225433
4,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.759427456814303,0.8110996178649186,1.9499462953372315
4,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.9724673962437875,0.6710063102433812,2.6899453674208575
4,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.4439116744560736,0.7501590317817832,2.4400330176608924
5,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.8442740737972465,0.8088967243928463,2.027069582073806
5,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.7204055920968155,0.6487188791702194,2.500072798536795
5,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.391962087723926,0.7069064409976994,2.3207126455384324
6,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.823833698158685,0.8097676523655659,1.9441305079151778
6,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.340636438963194,0.6885532906801881,2.483999778360924
6,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.3724844610291247,0.752122659156874,2.4446057371033465
7,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.906327787025586,0.8041351230053988,2.0201475229494252
7,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,2.9598771148135143,0.7514102970084658,2.082229040917236
7,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,2.811928344685596,0.7833587622075077,2.1014725423345415
8,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.8839803305740372,0.7985379142628758,2.0051642682787745
8,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.3938192562015934,0.734871326416944,2.476304562152509
8,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.249914962053367,0.7607637262184831,2.3203197727968203
9,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.8889540574825823,0.8008407808340512,2.05554536629478
9,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,4.09363202176685,0.6246665401261335,2.6726870170731845
9,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.0551143958095994,0.750294491076031,2.3074162484099214
10,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.794958894813882,0.8159094293164781,1.9713848364808808
10,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.3678743204659902,0.6685669330023069,2.373536129353495
10,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.607815245558102,0.6966491350864246,2.414048782235222
