split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.7622011957023274,0.8132820447543796,1.9848190074713308
1,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.5559864223703026,0.6918641456105274,2.2842021102589203
1,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.4740819281661013,0.7564436510564901,2.4777014723506774
2,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.6399275075699986,0.8317400512793416,1.9664530615181357
2,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.707286728421863,0.6689530111915083,2.372402093110497
2,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.8811611691288594,0.6613549105569169,2.6162959547264
3,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.6829888083432167,0.8320280807983568,1.9121611483686607
3,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.759858696005306,0.6356580269110639,2.679638807758958
3,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.477567501765377,0.6607694294522792,2.3475859704230113
4,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.630458451877077,0.8283444827197639,1.885968290429043
4,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,4.286676232980698,0.6169034408704419,2.813320066379086
4,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.5821885072255837,0.7296934824506909,2.533007906261709
5,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.75423578300145,0.8208043435261246,1.9636520537197957
5,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.6862845772491544,0.655132752085309,2.5946895408606045
5,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.6225825503524636,0.6656965355695228,2.4700319410504754
6,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.8513832807765582,0.8060376970554743,2.0891792751266447
6,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.7812335541916715,0.6009821494598759,2.8311631388424923
6,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.806276972809006,0.6842541224235741,2.8651927743795547
7,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.717642304361211,0.8287415675263485,1.9168681154686278
7,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.0985596795194654,0.7275696399915514,2.090289900136524
7,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.0394815020601627,0.7468769827663055,2.3115552447692465
8,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.728412303162579,0.8196862953977208,1.9502377822429864
8,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.2772697292817217,0.7527685856585491,2.5114180549467404
8,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.233032560368017,0.7632428018150899,2.3207895008482975
9,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.6243936300618174,0.8356472050377939,1.914554509351297
9,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,4.145950252075146,0.6150114147023552,2.719319161414439
9,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.0665274291296076,0.748425349614144,2.197032337819917
10,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.5983297771678595,0.8409003462135406,1.8754340525572493
10,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.7248642464228983,0.5945801752910366,2.5887617237468596
10,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.8451866857118753,0.6554188481572463,2.578511944333318
