split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.6331353745311863,0.8303234441761311,1.8688429800599373
1,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.868259018318104,0.6353693760180568,2.5244327202725585
1,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.6258273046680656,0.7347022460094579,2.5935799707263416
2,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.4477000825794875,0.8553517597144449,1.786170782296297
2,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.5803493584139856,0.6912349749073539,2.2971219885633265
2,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,4.031183478132496,0.6346689728014345,2.6478792100423796
3,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.5635395194647796,0.8466516893386037,1.8172848333826022
3,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.8697529637567105,0.6140485809692212,2.7227369744012755
3,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.5716022315006564,0.6421755464476617,2.4289743460703783
4,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.4468214547628215,0.8514750435396703,1.7803122779538911
4,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,4.39482420413604,0.5973294197247236,2.9367454104635358
4,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.947824159498524,0.671696701668841,2.6395668173357745
5,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.578106239357914,0.8429901619113997,1.841809754876318
5,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.928383983632276,0.6083464239724807,2.541295984454179
5,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.3195943246177566,0.7192793747966467,2.312874868699207
6,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.5084393214932383,0.8498887178513481,1.7751139700385454
6,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.48088534484939,0.661853609787175,2.5082923670714528
6,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.7192041399384963,0.6985349658706241,2.734766813266189
7,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.672077420745402,0.8344361753814763,1.874946349514761
7,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.077563810457786,0.7312491128227218,2.1881734046596883
7,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,2.8575034917550948,0.7762793003494876,2.2147223762767947
8,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.6444631869847086,0.8306115519079996,1.873671979048211
8,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.4373818619720224,0.7280213322500344,2.539874204338556
8,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.427047161127373,0.7339745436579778,2.4302060896128976
9,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.5219048124796126,0.8482332881378981,1.8071005304941572
9,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,4.020346672476431,0.6379848987499479,2.6846677880505836
9,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.0754941567801626,0.7469519570020076,2.2726782911649255
10,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.5091141431164807,0.8516383923817231,1.7970164912557491
10,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.4188944765128118,0.6584490670863095,2.4186394046070734
10,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.6999247632485397,0.6809619776647506,2.531738937343978
