split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.503042206714878,0.8466754105291853,1.2914546299586305
1,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.3720193141907915,0.7229219297727494,2.1939702599545354
1,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.1300015512313766,0.8022991900563795,2.0470674247812193
2,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.3564731870381643,0.8659330421844008,1.2624706003651587
2,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.3706362258713534,0.7263464685115846,2.1391152735424686
2,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.923784821475904,0.653875937128477,2.408376551671458
3,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.4419417069358094,0.8608543778175639,1.253639569162178
3,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.786060896179049,0.6305621832881076,2.6036007761973825
3,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.4290821936314173,0.6701627995673048,2.217061875234
4,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.3986226205383634,0.8572688634717456,1.2102728469218968
4,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.8862988025879,0.6851242153565751,2.6428242659175463
4,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.6142511446551637,0.7248330313657662,2.45708184178269
5,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.4869658473207283,0.8538950639592057,1.268286460622497
5,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.416576824793079,0.7037511902333511,2.26798341851769
5,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.285209802540287,0.7250646927283735,2.1861554583849547
6,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.501462945407848,0.850722524344492,1.236433561873529
6,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.370380448798999,0.6829825471276806,2.3921063595081544
6,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.4856414847365493,0.7352095330781881,2.446240483763704
7,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.5895616685008833,0.8445037601337388,1.3096124621187726
7,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.0235220675670917,0.7406047260412805,2.079697025962159
7,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,2.901942207326167,0.7692667690087134,2.116471632765731
8,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.5378591822892584,0.8439931099609367,1.2824949060588282
8,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.474003162398921,0.7221952296315113,2.489782948682548
8,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.2843164415295005,0.7556721216706248,2.2537921097467115
9,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.3982445275626065,0.8627519861449541,1.2420958856871556
9,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,4.105026846943459,0.6225741138607228,2.555799697826802
9,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,2.8928621750707775,0.7761131136758083,2.053046417913413
10,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.4717681583568107,0.8560219920849048,1.2651366884906772
10,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.2606586168517837,0.6893332701864912,2.2496218726093287
10,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.4452923284419485,0.7233639257422861,2.2911660702459957
