split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.335682326740833,0.8664933144799116,1.575161850818877
1,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.3810759980913905,0.7214315596467478,2.157753049917782
1,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.241721368150982,0.7879341632710054,2.193901251503273
2,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.295220382529646,0.872812177075007,1.6105371482309219
2,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.391199831558126,0.7229972676559284,2.1246828837675205
2,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.9833299557956607,0.6432910617453738,2.5173205056811137
3,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.2288419888265105,0.8840802265384311,1.4504967908462214
3,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.721411524649773,0.6430712299287759,2.5216731244076
3,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.0624025116879223,0.736931777699213,2.1138035661001053
4,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,1.9546878946228978,0.9052127942795096,1.2519092925034343
4,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,4.025170238632629,0.6622188647070237,2.5924509560977707
4,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.5889139101962972,0.7286775522250605,2.4805028596343184
5,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.0513052241666516,0.9006001296262676,1.276080879576501
5,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.6929550826381186,0.6538835158076437,2.298033300871008
5,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.4270168492150463,0.7008170948642267,2.238189405540184
6,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.330982012129941,0.8703764298933228,1.545021207926245
6,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.31775776542605,0.6928046289620607,2.4199365820325713
6,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.380097716239733,0.7510022486303793,2.432274782291796
7,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.616657132891882,0.8412327160971897,1.7911999906543898
7,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,2.932720528839578,0.7559509439300036,2.01318461671717
7,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,2.810037667073511,0.7836499936938404,2.1598564121306887
8,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.382392807205762,0.8625212812007836,1.5817677720852095
8,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.1929976136886298,0.7653197900618045,2.310247163660386
8,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.120879597758994,0.7793839710752495,2.131141060480996
9,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.045545770084566,0.9001524191426631,1.327869375644438
9,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,4.062840872661342,0.6302916106782996,2.590350175459444
9,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,2.865833638871103,0.7802772010657862,2.0491849252206307
10,SurFace1881ECFPseed0group.csv,Surface,tr,56,1881,2.3232265433651813,0.8728068228498405,1.5668534601902275
10,SurFace1881ECFPseed0group.csv,Surface,va,56,1881,3.327127050241169,0.6765383085924086,2.257577744158577
10,SurFace1881ECFPseed0group.csv,Surface,te,56,1881,3.4927816711597592,0.7156851542304856,2.273448671088648
