split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,1.2774793565569953,0.9600622819497391,0.7792627883539317
1,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,2.8841732281049643,0.7972948747053458,1.7945680274559617
1,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,3.055742949503554,0.8115687280314373,1.90227549596678
2,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,1.1129272063947986,0.9700959322439737,0.7266965211635458
2,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,2.549787775236908,0.8434023075642971,1.6758249530895997
2,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,3.849200917484149,0.6669092376784325,2.138656389199839
3,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,1.1833933572995716,0.9673218684704086,0.7356497002102391
3,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,3.2870729980638704,0.7215258694602003,2.060022608305457
3,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,3.16537621046085,0.7189429305548545,1.911882474585319
4,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,1.091220244452572,0.9704593734173657,0.6993093538407813
4,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,3.4692133626990715,0.749083681852005,2.094152999407376
4,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,3.044496642426093,0.804750179237077,1.9436955927177475
5,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,1.2407000972933433,0.9636370692836583,0.770330035175127
5,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,3.2897799813993918,0.7253320792213216,1.8294398338743743
5,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,2.9595311813244702,0.7768740227272006,1.7767489131669625
6,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,1.4923230413021271,0.9468709777682331,0.9112829790910586
6,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,3.384457418607972,0.6803288617762261,2.125338415087728
6,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,3.1498469619175853,0.7837700632131108,2.0521884102018477
7,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,1.1643939569842883,0.9685611058474564,0.7235301492296634
7,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,2.429801671839937,0.8324758485209317,1.6068511319441237
7,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,3.037877118811043,0.747144133033481,1.920957811262609
8,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,1.2078528838752256,0.9646624188445685,0.7406396264160883
8,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,2.6044934268975815,0.8438558163147212,1.744270105746127
8,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,2.9828477351956963,0.7984674481548558,1.9434221735069268
9,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,1.1208444429970805,0.9700215047414414,0.719118211742588
9,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,3.9315802733219707,0.6537944908275637,2.1071634997401754
9,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,2.7475972867175282,0.7980335052259776,1.688271218368996
10,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,1.163765960896162,0.9680837399937405,0.719895514334086
10,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,2.7544839390101705,0.7783005725433599,1.9400536694812451
10,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,3.2128202818232183,0.7594366161028213,2.071290723031669
