split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,2.431387011032551,0.8553282784546288,1.6279183662179366
1,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,3.38924889431003,0.7200831944277589,2.2121527743002884
1,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,3.400386042400201,0.7666671999641401,2.1061750938781256
2,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,2.2720987450299512,0.8753618043436808,1.5521256125854697
2,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,2.9581813704957987,0.7892212209970597,2.092385331385541
2,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,4.378823270134781,0.5689414517586744,2.3633649222701436
3,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,2.425237718166395,0.8627515052677152,1.6372586068928137
3,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,3.568629549591093,0.6717769373618729,2.3755971608215893
3,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,3.4586046737774234,0.6644589235171807,2.303014994612703
4,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,2.466435212354315,0.8490843432754164,1.656590156873068
4,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,3.896058865287958,0.6835406693718793,2.476152353807938
4,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,3.1472168727211502,0.7913525954074796,2.1906161063581155
5,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,2.4450336652209637,0.8587804145309189,1.6508402200445196
5,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,4.012299627946217,0.5914351993272353,2.37024992673821
5,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,3.198654541422585,0.7393612571772504,2.058138332253159
6,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,2.490650204190228,0.852010258941488,1.6843246712985753
6,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,3.37202868410352,0.6826724058061644,2.32345839274688
6,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,3.2028394003620373,0.7764332369967882,2.059433012795135
7,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,2.530704635867029,0.8514918468842216,1.7197491251844985
7,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,2.6774705202731113,0.7965839721762376,1.8658925616233129
7,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,3.0288013239365927,0.748652712795588,2.059957271290405
8,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,2.458861475721199,0.8535542194559058,1.6534215481812988
8,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,2.968496878938027,0.7971605270545117,2.1092924746794224
8,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,3.4951342824984626,0.7232989757646808,2.2977028861509536
9,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,2.343637577763556,0.8689309807344137,1.6195257534329754
9,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,4.138723870080976,0.6163523135732407,2.4602548904853254
9,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,2.862184457180369,0.7808364086321458,2.040674044481487
10,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,2.4546878222891526,0.8580049418484431,1.6992395566393481
10,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,3.2452083765722564,0.6922704091926308,2.2331956151190435
10,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,3.653501644986725,0.6889177201630462,2.5002344668042635
