split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,1.5431529444210836,0.9417235070086903,1.0116246436380691
1,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,3.1848940706759685,0.7528207376510094,1.9515742536873826
1,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,3.273677774071704,0.7837325285008239,2.0192120646406795
2,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,1.4187721995469196,0.9514015867560965,0.9643504676838606
2,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,2.5437351632647127,0.8441448792539692,1.7531671785158385
2,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,4.111608391831168,0.619946343910237,2.326367867666366
3,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,1.4987856329619824,0.947582294682586,0.9733327598281958
3,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,3.5235147009714995,0.6800233150872579,2.2073418140963676
3,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,3.2436428358439917,0.7048723500138483,2.0340274111529575
4,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,1.4742610751536869,0.9460807711941714,0.9808352032328539
4,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,3.414338777709138,0.7569586850766858,2.090541307185783
4,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,3.028105789885022,0.8068468779925289,2.058116746963752
5,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,1.511264608768315,0.9460481588436471,1.0022274870866417
5,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,3.634988537069951,0.664663888420968,2.0921431747403214
5,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,3.172725153269917,0.7435697835370949,1.9171360740247
6,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,1.4641924866476579,0.9488550825052837,0.9693212194843046
6,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,3.4993193013669788,0.6582626376714238,2.2647157524156296
6,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,3.0184845058491283,0.8014294604999015,1.9708530642423063
7,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,1.5431805655984236,0.9447794323929294,1.0082696710919457
7,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,2.5875136096881497,0.8100229851180343,1.8015762215198041
7,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,3.090458218552801,0.738315269256218,2.040323642987234
8,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,1.5737409378153164,0.9400105027424714,1.0384338974800895
8,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,2.798693859159761,0.8197023484609409,1.9722002441418647
8,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,3.137277010341302,0.7770596036192327,2.0452941983724187
9,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,1.4877631995378306,0.9471814142903113,0.98118119798679
9,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,4.2123880917212375,0.6025738564083323,2.38660111029462
9,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,2.9004160530398746,0.7749423546312546,1.8385136104319268
10,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,1.5000448875945582,0.9469739589050072,1.005714218402622
10,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,3.0664948770775307,0.7252304707413706,2.051346303545098
10,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,3.195802776159562,0.7619782751451073,2.045110191551055
