split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,2.9141598204877384,0.7921728907559945,1.6330174763135714
1,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,3.264951928346824,0.7402379937684604,1.9715062084509478
1,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,3.4559791929118213,0.7589752832399417,2.124563892518434
2,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,2.861172588481362,0.8023554419963981,1.6113271180879072
2,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,2.713427484145505,0.8226571317515465,1.7815941464365008
2,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,4.161139657377567,0.610734413476673,2.2897181935970443
3,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,2.884354746036744,0.8058683667170695,1.5948017908508483
3,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,3.396043637082485,0.7027562832991752,2.1801151861659323
3,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,3.29645274966362,0.6951841432260901,2.0583104309574596
4,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,2.874957264711915,0.7949509975771007,1.5804844196559316
4,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,3.9081425015283195,0.6815746264503222,2.427748446101649
4,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,3.16006915573689,0.7896450099337282,2.1152658581308947
5,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,2.846836299530901,0.8085522637220413,1.6145414871918498
5,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,3.8951436591461466,0.6149463962122568,2.2034668183277697
5,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,3.1377906561090203,0.749185738950984,1.9188598844471967
6,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,2.935337057838249,0.7944478189508568,1.6135217843288152
6,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,3.49927504829857,0.6582712809702753,2.301633168373749
6,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,3.187832032541438,0.778523437415236,2.0176293592643106
7,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,3.0044886360384275,0.7906810694162671,1.6663740027201812
7,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,2.5184468164942904,0.8200294922727511,1.6091655452056277
7,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,3.228616304598595,0.7143952009948007,2.0434819196530265
8,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,2.9581294743189415,0.7880452785896682,1.6368767763744159
8,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,2.8325414056916083,0.815314919011648,1.9611903156976596
8,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,3.373756638673325,0.7421836004218445,2.0848217078500646
9,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,2.8247481509845933,0.8095948853584414,1.6152398850625704
9,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,4.1572009193463675,0.6129191293925029,2.2498299689448307
9,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,2.8743516793056205,0.7789691075847566,1.8518081155619746
10,SurFace1881PaDELminmaxseed0group.csv,Surface,tr,36,1881,2.9082869906115945,0.8006780097589845,1.5949268415189917
10,SurFace1881PaDELminmaxseed0group.csv,Surface,va,36,1881,3.1854926876568292,0.7034913908187062,2.072204371856187
10,SurFace1881PaDELminmaxseed0group.csv,Surface,te,36,1881,3.5845997755730075,0.7005405620000134,2.2886947086062115
