split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,1.510370999697635,0.9441731991468374,1.0155660605028587
1,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,2.9497763274779705,0.7879685812920422,1.9408226554653936
1,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,3.139883297924765,0.8010488946808979,1.772395150825797
2,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,1.3383709888229929,0.956753618238332,0.9507762638492504
2,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,2.685111281774315,0.8263391719093177,1.723905190641435
2,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,3.6089103374405354,0.7071982880058799,2.0787624657747354
3,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,1.435444297662714,0.9519192037816828,0.9645875183396143
3,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,3.0671643233736967,0.7575399184710676,1.921770754898389
3,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,2.774925209087048,0.784003651091406,1.8747126528731464
4,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,1.4190221529415805,0.9500456600688889,0.9337173032108599
4,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,3.331954101974499,0.768545885347961,2.0460610229751612
4,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,2.689857855416751,0.8475883004517368,1.8004272440763198
5,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,1.4690200362175274,0.949022247504826,0.9804457786758564
5,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,3.1953232658861523,0.7408782690929541,2.0046483912279895
5,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,2.780958000604177,0.8029877841910396,1.6971889612261892
6,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,1.4761697515654417,0.9480149174258337,0.970638342036987
6,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,2.909454638414108,0.7637626841520773,1.899048598960545
6,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,2.9079606026611304,0.8157048311736751,1.8681961827618923
7,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,1.4843929407136585,0.9489065608482062,0.9957540913432444
7,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,2.558159183855987,0.8143089788384867,1.6862987448880313
7,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,2.5292256797833907,0.8247299160695223,1.8161656967740325
8,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,1.5194443609284989,0.9440785606433368,1.0193999211945566
8,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,2.613150465171649,0.8428160803835067,1.737072793424618
8,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,2.76830785707184,0.8264151551626784,1.8012679430144016
9,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,1.4012242326595306,0.9531473216173679,1.002343699247018
9,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,3.5631832992305297,0.7156350875385562,2.127483753245429
9,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,2.4659526680674335,0.8373168236495789,1.5788126736185384
10,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,1.5265998424551754,0.9450799251815231,1.0432027714769174
10,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,2.5427361725426287,0.8110761943726905,1.8176758038420096
10,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,2.7009880788723875,0.8299792242310338,1.8469713163911392
