split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,1.6159751123185293,0.936093534176777,1.1600929037200245
1,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,2.674748823037281,0.8256636065320865,1.6714483456883285
1,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,3.0193193783723156,0.8160340482097934,1.8818976308370743
2,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,1.750588487260068,0.9260113870738697,1.26006808573247
2,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,2.7299330218780304,0.8204930479978609,1.8576188258985473
2,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,3.591479738924763,0.7100198510057905,2.2060333331715727
3,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,1.7297799038553237,0.9301798694125344,1.2330528561723448
3,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,3.476959644283948,0.6884229514921751,2.2355539947414873
3,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,2.779318140621331,0.783319230316238,1.8968827489128173
4,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,1.6382741331672859,0.9334162850624289,1.1767340075711887
4,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,3.516988346492219,0.7421252952482142,2.3028750200168795
4,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,2.9259462454216676,0.8196598895694488,1.9935146409617575
5,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,1.7124214022507238,0.9307297842771802,1.2188888590585805
5,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,3.280015340267448,0.7269601840307531,1.9640830331935946
5,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,3.2779753341998523,0.7262742475894537,1.9795682455616879
6,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,1.68505894953676,0.9322613820294946,1.199408076549204
6,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,3.182689372808704,0.7173077994121515,2.054403687133744
6,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,2.8615727626876395,0.8215376938702871,1.941753161367889
7,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,1.740795215186512,0.9297311664416579,1.2256543929821786
7,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,2.2028784465559714,0.8623054214139214,1.56180631067002
7,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,2.740284434658514,0.7942575453296126,1.9280078575849047
8,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,1.6729958101626976,0.9322048783440685,1.2093989953250706
8,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,2.74966181042283,0.8259645005809633,1.908384874751074
8,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,3.0467576148503714,0.7897389420050652,2.0172080690582708
9,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,1.6919397889555972,0.9316892660420184,1.2144094264203944
9,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,3.631423757421185,0.7046387340207718,2.1413241547424
9,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,2.5596137675486714,0.824724164722056,1.6768651402417831
10,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,1.663733304869069,0.9347698894273062,1.1764789241387197
10,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,2.9995338144209676,0.7370993819268878,2.0206571489721643
10,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,3.071117897430273,0.780188891425057,1.998100702708176
