split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,1.203603635187456,0.9645478607560349,0.3663124775796381
1,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,2.211412587428949,0.880831464611588,1.2924644181410723
1,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,2.3285947129327487,0.8905773679456461,1.2164997114249125
2,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,0.9165307393751736,0.9797189320478359,0.32788764164156387
2,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,1.897290649947236,0.9132948244431045,1.2694890612972998
2,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,3.305931172931138,0.7542978015108885,1.61180283898403
3,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,1.0288575968746214,0.9752992864345345,0.30750132938689967
3,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,2.598986432556379,0.8259098563196721,1.4942401471382822
3,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,2.828765614937543,0.7755406122112933,1.6353924171548242
4,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,1.081093601091514,0.9710051098648143,0.32299733134329633
4,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,2.980897532716383,0.8147488211459866,1.6697465981197217
4,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,2.3177422334764723,0.8868407881507602,1.4503976101942355
5,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,1.1267728535099752,0.9700085131664109,0.3498426772687041
5,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,2.7604444488808415,0.8066107823457611,1.4326231532362816
5,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,2.623790215600214,0.8246270885366793,1.486982901087504
6,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,1.1726237382285833,0.9671962496782904,0.34697467918749275
6,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,2.4183203427968385,0.8367876654463602,1.432928992912627
6,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,2.203469336997248,0.8941840984228218,1.4347803854043286
7,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,1.15177814988304,0.969238674402676,0.33898715356427056
7,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,2.0787503377345145,0.8773858930403964,1.2620224150235015
7,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,2.435644691903348,0.8374599091838347,1.530414208106909
8,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,1.1174030696405808,0.9697567501088455,0.34365859481432753
8,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,2.2096415090044377,0.8876112296689121,1.2984744148474958
8,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,2.481172878620215,0.8605568819098358,1.4774355360040308
9,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,0.9363608918852605,0.9790778805454867,0.3316325327185275
9,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,3.610545322622059,0.7080252590032277,1.7470206435242148
9,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,1.8674807896518464,0.9066991808920681,1.0998554420579079
10,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,1.1884246409787758,0.9667168831538407,0.36158859303328983
10,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,2.2933505807117873,0.8463172999307638,1.4576861982093539
10,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,1.994792373659451,0.9072632104396402,1.2077562026123476
