split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,0.27577594896730706,0.9981388205858501,0.19834825840687814
1,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,2.2650381780586097,0.8749818406597047,1.2612116444307213
1,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,2.3234157781715403,0.8910635517288208,1.1948798768058655
2,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,0.20430211672371332,0.9989922739573733,0.1459680153917142
2,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,2.040402575842321,0.8997212261053515,1.2546829145992504
2,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,3.135060204465751,0.7790402358204636,1.6486657993215732
3,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,0.21798640871847386,0.9988911883118395,0.15892381213850826
3,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,2.7605180159053098,0.8035973557366919,1.6783480499088068
3,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,2.2591894346308288,0.8568309503485647,1.375382294912187
4,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,0.21130489375384243,0.9988923208411373,0.15562795832845486
4,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,2.97238804518217,0.8158049745610114,1.6512958740234374
4,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,2.5932482048302163,0.8583398110106014,1.5256626119704473
5,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,0.21067484362072655,0.9989515430416261,0.15158095955681739
5,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,2.766088040352909,0.8058192247351966,1.419998384543026
5,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,3.0240889518813465,0.7670335302334346,1.5616503045622003
6,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,0.2237098586252163,0.998806076828263,0.168317526851659
6,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,2.667958749797067,0.8013523006446629,1.5531767958082061
6,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,2.2036711730239604,0.8941647122312901,1.2976909611212513
7,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,0.34791806194772373,0.9971931362822726,0.24973303659982687
7,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,1.7556387907114333,0.912540677301793,1.174679438602223
7,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,2.292541102904699,0.8559985414183161,1.4714262551605384
8,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,0.6484173750776903,0.989816008568461,0.4494266930249521
8,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,2.387395566955108,0.8688017487502402,1.5204597172007845
8,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,2.4534829762884662,0.8636518867244108,1.5243507526942661
9,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,0.22443251545101217,0.998798038109042,0.16681000524212586
9,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,3.0543811262486207,0.7910481913071021,1.4897758556424057
9,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,1.791662245255669,0.9141213013606845,1.1222033452836295
10,SurFace1881rdkit200seed0group.csv,Surface,tr,50,1881,0.17311204956178497,0.9992937876790245,0.1285191386330836
10,SurFace1881rdkit200seed0group.csv,Surface,va,50,1881,2.2374974692972276,0.8537118363410077,1.3869998724993537
10,SurFace1881rdkit200seed0group.csv,Surface,te,50,1881,2.305993209980335,0.876071068000725,1.351368998330737
