SMILES,logBCF
CC(C)C1CCC(OP(=O)(OC2CCC(C(C)C)CC2)OC2CCC(C(C)C)CC2)CC1,1.456159775
CCCCOC(=O)C1CCCCC1C(=O)OCCCC,2.2322756
CCOC(=O)CCN(SN(C)C(=O)OC1CCCC2C1OC(C)(C)C2)C(C)C,1.95
CC(C)(C)C1CC(CO)CC(C(C)(C)C)C1O,1.52
CC1=C(C(=O)NC2CCCCC2)SCCO1,1.11
ClC1CCC2C(CCC3CCCCC32)C1,3.63
ClC1CC(Cl)CC(Cl)C1,3.05
ClC1CCC(OC2CC(Cl)C(Cl)CC2Cl)CC1,4.110000025
O=S(=O)(O)C1CCC2C(CCC3NN(-C4CCC(N=NC5CCC(C=CC6CCC(-N7NC8CC(S(=O)(=O)O)C9CCCCC9C8N7)CC6S(=O)(=O)O)C(S(=O)(=O)O)C5)CC4)NC32)C1,0.52
CCCCSP(=O)(SCCCC)SCCCC,3.48
NC1CCC(Cl)CC1[N+](=O)[O-],1.05838135
COP(=S)(OC)SCC(=O)N(C)C=O,-1.16
CCCCN(CCCC)CCCC,1.2522425
CCCN(CCC)C1C([N+](=O)[O-])CC(S(N)(=O)=O)CC1[N+](=O)[O-],1.8774173
CC1C=CC2CC1C2(C)C,2.61
OC1CCC(Br)CC1,1.205
CCOP(=S)(OCC)OC1CC(C)NC(N(CC)CC)N1,3.48
CC12CC1(C)C(=O)N(C1CC(Cl)CC(Cl)C1)C2=O,1.67
CNC(=O)OC1CC(C)C(N(C)C)C(C)C1,1.41998
CC1CCCCC1Cl,1.8761635
CC1(C(=O)NC2CCC(O)C(Cl)C2Cl)CCCCC1,2.2
CC1COC(CN2CNCN2)(C2CCC(OC3CCC(Cl)CC3)CC2Cl)O1,2.5
C1CCC2C(C1)NC1CCCCC1S2,2.6353217
CBr,1.88
O=C(O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.5302
CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Cl-],2.26
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)OC(F)(F)C(F)(F)C1(F)F,3.235
C=CC1CCCCC1CC,2.67
COC1CC(Cl)C(OC)CC1Cl,2.22
O=P(O)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8.52
CNC1NC(NC(C)C)NC(SC)N1,1.32
C=C(C)C1CCCCC1,1.885
NC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,2.825
CC(S)CC(=O)OCC(COC(=O)CC(C)S)(COC(=O)CC(C)S)COC(=O)CC(C)S,2.23
C=C(C)C1CC2C(CCC3C2OC2COC4CC(OC)C(OC)CC4C2C3=O)O1,1.40501
O=S(=O)([O-])C1CC(NC2NC(NC3CCCCC3)NC(N3CCOCC3)N2)CCC1C=CC1CCC(NC2NC(NC3CCCCC3)NC(N3CCOCC3)N2)CC1S(=O)(=O)[O-],0.86
O=[N+]([O-])C1CC(C(F)(F)F)C(Cl)C([N+](=O)[O-])C1NC1NCC(C(F)(F)F)CC1Cl,3.01
CC1(C)CC(N)CC(C)(CN)C1,0.2651
CCC1CCC(CCC(=O)O)C1,0.88
CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,2.54
BrC1CC(Br)C(OC2CC(Br)CC(Br)C2Br)C(Br)C1,3.06
CCCCCCCCCCCCCCCC=CCC(CC(=O)O)C(=O)O,0.3
OC1C(Cl)CC(Cl)CC1Cl,1.903137925
BrC1CC(Br)CC(-C2CC(Br)CC(Br)C2)C1,1.26007
CC1CCC(N)C(C)C1,0.82
CN1CC(C(=O)NC2CCCC3C2C2CCC3C2=C(Cl)Cl)C(C(F)F)N1,2.57001
ClC1CC2C(C(Cl)C1Cl)OC1C(CC(Cl)C(Cl)C1Cl)O2,3.92
CC(C)C1CCC(C(C)C)CC1,3.365
CC1CCC(-C2C(Cl)NC(C#N)N2S(=O)(=O)N(C)C)CC1,2.46
O=C1CN2CCC1CC2,0.77
CNC1CCCCC1C,0.895
CCC(C)C1CC(C(C)(C)C)CC(-N2NC3CCCCC3N2)C1O,4.04
COCC1CNC(C2=NC(C)(C(C)C)C(=O)N2)C(C(=O)O)C1,-1
O=S1(=O)CCCC1,0.615
O=C1N(CCO)C(=O)N(CCO)C(=O)N1CCO,-0.05
CCOP(=O)(NC(C)C)OC1CCC(SC)C(C)C1,2.04
O=S(=O)([O-])C1CC2CC(S(=O)(=O)O)CCC2CC1O,0.05
O=C(O)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,0.51851
ClC1CC(-C2CC(Cl)C(Cl)C(Cl)C2)CC(Cl)C1Cl,5.97
CC(C)(C)C1CC([N+](=O)[O-])CC([N+](=O)[O-])C1O,2.28
ClC1=CC2(Cl)C(Cl)C(Cl)C1(Cl)C2(Cl)Cl,4.05
ClC=C(Cl)Cl,1.13857215
COC1C(Cl)CC(Cl)C(Cl)C1Cl,3.34
CC(C(=O)O)N(C(=O)C1CCCCC1)C1CCC(F)C(Cl)C1,1.85
CCCCOCCOC(=O)COC1NC(Cl)C(Cl)CC1Cl,0.72016
ClC1C(Cl)C(Cl)C2C(C1Cl)OC1C(Cl)C(Cl)C(Cl)C(Cl)C1O2,3.03
CC(C)(C)O,0.456495
O=C(O)C(O)(C1CCCCC1)C1CCCCC1,0.02
BrC1CCC2[NH]CCC2C1,1.15014
CCC[N+](CCC)(CCC)CCC.[Br-],-0.52288
CC1CC(C)C(O)C(C(C)(C)C)C1,2.355005
CC(=O)NC1CCC(N)CC1,0.36
CCCCCCCCCCCCCCCCCCNC(=O)C(O)C(O)C(O)C(O)CO,2.945
CCOCN(C(=O)CCl)C1C(C)CCCC1CC,1.3
CC1CCCC2C1CCC1CCCCC12,3.180000025
CC1CC(-C2CCC(N=NC3C(S(=O)(=O)[O-])CC4C(C3N)C(=O)C(=NNC3CCCCC3)C(S(=O)(=O)[O-])=C4)C(C)C2)CCC1N=NC1CCC(N)CC1N.[Na].[Na],1.34005
CC1CC(Br)CCC1Br,2.67
NC1NC(N)NC(NC2CC2)N1,0
CCCC1CCC(C2CCC(C(F)(F)OC3CC(F)C(F)C(F)C3)CC2)CC1,1.279945
O=C1C2CCCCC2C(=O)C2C(Cl)CCCC21,2.3852978
CCNC1NC(Cl)NC(NC(C)(C)C)N1,0.84
O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,3.585
C1CC[N+]2C(C1)-C1CCCC[N+]1CC2,0.6
CC(C)(C)C1CCC(O)C([N+](=O)[O-])C1,1.759985
C1CCCCC1,1.393180975
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,1.350025
O=C1C2CCCCC2C(=O)C2C(O)CCCC21,2.335944475
CSC(C)=NOC(=O)N(C)SN(C)C(=O)ON=C(C)SC,0.8
CC(C)(C)CC(C)(C)C1CCC(OC(F)(F)C(F)F)CC1,3.92
COP(=O)(OC)OC=C(Cl)Cl,-0.2272425
COC(C)(C)C,0.179490003
O=C1C2CC(F)CCC2NC(-N2CNCN2)N1-C1CCC(Cl)CC1Cl,1.94
CCCCC(CC)COC(=O)CCC1CC(C(C)(C)C)C(O)C(C(C)(C)C)C1,1.76
COP(=S)(OC)SCN1C(=O)C2CCCCC2C1=O,0.405
O=[N+]([O-])C1CCC(OC2C(Cl)CC(Cl)CC2Cl)CC1,3.305
ClC1CCCC(-C2CCCCC2)C1Cl,3.85
CN(C)C1CCC(C(=N)C2CCC(N(C)C)CC2)CC1,0.97
ClC1CCC(Cl)C(-C2C(Cl)CCC(Cl)C2Cl)C1,4.78
O=[N+]([O-])C1CCCC(S(=O)(=O)[O-])C1,0.47
NC(=O)N=NC(N)=O,1.18
CC(C)OC(=O)C(C(=O)OC(C)C)=C1SCCS1,1.56
BrC1C(Br)C(Br)C(-C2C(Br)C(Br)C(Br)C(Br)C2Br)C(Br)C1Br,0.664431713
CCCCOCN(C(=O)CCl)C1C(CC)CCCC1CC,0.38
ClC1CCC(Cl)C(Cl)C1Cl,3.72425305
O=S(=O)(O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,2.85
ClCCOCCCl,0.62
CCC1CCC2C(C1)C(=O)C1CCCCC1C2=O,1.595
O=S(=O)([O-])C1CCC(O)C2CCCCC12,0.94
CN(C)C1CCC(CC2CCC(N(C)C)CC2)CC1,2.74
CC(=O)OC1CCC(C(C)(C)CC(C)(C)C)CC1C1C(=O)OC2CCC(C(C)(C)CC(C)(C)C)CC21,1.574975
CCOP(=S)(OCC)OC1CCC2C(C)C(Cl)C(=O)OC2C1,2.73
ClC1CCC(Cl)C2CCCCC12,3.75
COC(=O)C1CC(C(=O)OC)CC(S(=O)(=O)O)C1,-0.02
O=C(O)CNCP(=O)(O)O,0.75501
OC1CCCC(Br)C1,1.1
COP(=S)(OC1CC(Cl)C(Br)CC1Cl)C1CCCCC1,3.78
CC(C)(C)C(=O)O,0.23
N#CC1NN(-C2C(Cl)CC(C(F)(F)F)CC2Cl)C(N)C1S(=O)C(F)(F)F,2.51
O=[N+]([O-])C1CCCC(S(=O)(=O)O)C1,0.699999995
C1CCC2NC3CCCCC3CC2C1,2.327500025
