smiles,Surface
CCC(C)N,21.37375
C(C=CC)C,16.6125
N1=CC=CC2=C1C=CC=C2,42.5925
O=C(C)C(C(=O)OCC)(CC)CC,27.695
CCCCCCCCOB(OCCCCCCCC)OCCCCCCCC,28.18
CCOC(=O)CC(C)C,23.5275
C(C1=CC=NC=C1)(=O)OCCC,34.972
CC(CC(C)(C)C)CC(C)(C)C,21.4
CCCCCP(=O)(OCCC)OCCC,27.9875
CC1=CC=C(C=C1)C(C)C2=CC=C(C=C2)C,34.5
CC[N+](=O)[O-],32.13125
CC(C)O[P+](=O)OC(C)C,26.4
FC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,24.5425
ClCC(OCCCC)=O,29.7275
CCOC(=O)C#CC(=O)OCC,33.05
COC(C1=CC=CC=C1C(OC)=O)=O,41.85
CCOCCOCCOCC,27.095
CCCCCCS(=O)(=O)Cl,30.88875
O=C(CCOCCC)OC,28.02375
CCOC(=O)C=C,24.66
C1=CC=CC=C1OC2=CC=CC=C2,26.75
CC(C)OC(=O)CCC(=O)OC(C)C,28.00875
CCCCOP(OCCCC)OCCCC,25.62375
CCCCOC(=O)C=CC1=CC=CC=C1,35.515
O=C1CCCCC1,34.5675
CCCO,23.51375
C=1(C(=CC=CC1CC=2C=CC=CC2)C=3C=CC=CC3)O,43.6775
CC(C)(C)C1=CC2=CC=CC=C2C=C1,33.96875
CC1=CC=CC=N1,33.31125
CCCC(=O)OC,24.90375
CC(Cl)Cl,24.3625
CCCCCCCCCCC1CCCCC1,29.557625
COC1=CC=CC=C1[N+]([O-])=O,45.7
O=C([O-])C(CCC)C=C,26.29
C(CCCC(OCC(OC(CCCCCCCC)=O)COC(CCCCCCCC)=O)=O)CCCC,23.9675
C(C(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,23.8
O=S(OCCCC)(OCCCC)=S,29.28
O(C(CC)C)C(C)=O,23.085
CCCCCCCCCCCCCCCCCCCC,28.508875
C(OCC)(=O)C(Cl)(Cl)Cl,30.55375
C(CCN(CCCCC)CCCCC)#N,28.54125
ClCC1CO1,36.2
CC1CCC(CC1)O,27.5175
CC(C(=CC1C(=CCCC1(C)C)C)C)=O,31.685
CCCCCCCCCCCCC=C,26.55625
O=C(OCCCCCC)CCOCCCCC,27.75125
C(CCBr)CCBr,40.27875
C(CCOCCCC)(OCCCC)=O,26.565
CC(CC)=NOCCC,23.69125
CC(C)CSC,24.8175
CC(=O)C(Cl)Cl,31.91
CCOC(=O)C1=CC=NC=C1,36.88375
C(C(CCCCCCCCCC)CCCCCCCCCC)CCCCCCCCCC,30
COC1=CC=CC=C1Cl,38.6
CCOC(=O)C(CC1=CC=CC=C1)C(=O)OCC,34.841875
CC(C)CC#N,25.72125
CC(=C(C)C)C1=CC=CC=C1,32.04
COCCOCCOCC(CC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,24.6
O=C(OCC(COC(C(F)(F)C(F)(F)C(F)(F)F)=O)(COC(C(F)(F)C(F)(F)C(F)(F)F)=O)COC(C(F)(F)C(F)(F)C(F)(F)F)=O)C(F)(F)C(F)(F)C(F)(F)F,18.5
O(CCCC)C(=O)CC=C,26.3325
CC(=O)CCC(=O)CCC(=O)CCC(=O)CCC(=O)C,33.91
CCCCC(=O)CCCC,26.52625
CCCCCC=CC,21.38
CC1C(CCCC1)O,30.91
CCCCCCOC(=O)CCOCC,27.425
CCCC1=CC=CC=C1,28.71125
CCCCCCCCCl,27.19375
CCCCCCCC(CCCC)O,27.2275
O=C(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(C)CC(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)=O,19.5
C(=C(CC)CC)(C(OCC)=O)C#N,33.26625
CCCCCC(C)(CCCC)Cl,27.37625
O=C([O-])C(CCC)Br,31.96
CCCCCCSCCCCCC,28.2
CCC(CC)=NO,28.6975
CCCC(=O)C1=CC=CC=C1,35.2525
N(CCC)CCC,22.5625
CCCCC(C)(C)Cl,23.9025
CCOC(=O)C=CC(=O)O,31.79
CCCCCCCCF,23.7975
C(CCCCCCCCC)Br,29.335
C(CCCI)CCI,44.20375
CS(C)=O,42.70875
CCCCC(C)(CCC)O,25.854875
CCCCCCCCCCCCCCCCCCCCCCCC,29.29
CC(C)CO,22.76125
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,17.56
CCCCCCCCC1=CC=CC2=CC=CC=C12,34.03625
CCOC(=O)CC1=CC=CC=C1,35.08375
O=C(OCCC)CCOCCCCCCC,27.66125
CCCC(CC)(CC)Cl,25.7625
NC,19.15
COCCOCCOC,29.85
CC(C)CCO,23.71
C1(=CC=CC=C1)CNCC2=CC=CC=C2,40.8275
C1(=CC=CC=N1)C=O,41.24125
CCCCC1=CC=CC2=CC=CC=C21,35.46625
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,14.4
O([SiH](OCC)OCC)CC,20.8
C=1(C(=CC(=CC1Br)CC=2C=CC=CC2)C=3C=CC=CC3)O,43.705
C(CC(C)C)(C)(C)C,18.5505
C(OCOCC(C)C)C(C)C,22.1925
CC(C)C(C)C(C)C,20.469375
C1(=CC=CC=C1)CCBr,38.645
CCCCCCCCOCCCCCCCC,27.5175
CC(C)C1=CC=NC=C1,33.42625
CCC(C)(C)C(C)C,20.88925
OC(CCC1C(CCC=C1C)(C)C)C,30.48
C#CCCCCCCC([O-])=O,29.46
CC1=CC=CC=C1C,29.75875
CCCCC#N,27.18875
C1CC1C(=O)O,34.21875
O(CC)C1CCCC1,25.855
CCOC=O,23.51125
CC1CCCC(C)(C)C1CCC(C)O,30.35625
NN(C)C,26.67
C=C1CC2CCCCC2CC1,30.6075
CC1=CC(=CC=C1)C#N,36.56875
CCOS(=O)OCC,29.58
N(CCCC)CCC#N,30.5925
CCCCOC(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,18.7
C(C#C)OC(CCCCCC)=O,29.208
O=C(OCCC)CCOCCCCC,26.8125
CCCCCCCCP(=O)(OCCC)OCCC,28.555
CN1C(C2=CC=CN=C2)CCC1,38.29
[O-]P(OCCOCC)OCCOCC,33.96
CCCCC(C)(C)C,19.39
O=P(O)(OCCOCC)O,32.2
CCC(CC)=NOCCC,24.73
CCC1CCCCC1,25.3575
O(COC)C,20.5925
S(C)SC,33.72625
O=C(OCCCC)C(Cl)(Cl)Cl,29.9375
CCCC(CCCCCCCCC(CCC)(CCC)Cl)(CCC)Cl,31.765375
CC(O)C(O)C,34.06
C1CO1,23.915
CCC1=CC=CS1,29.605
CCCOC(=O)C(Cl)(Cl)Cl,30.16625
CCCI,29.025
O=C(OCCC(C)C)C=CC([O-])=O,29.33
CCCC(C(=O)OC)C(=O)OC,31.0675
CC(C)CN(CC(C)C)C1=CC=CC=C1,30.53375
CC(C)CN,22.025
O=C(OCC)CC1(CC([O-])=O)CCCC1,32.41
C(C(F)(F)F)(=O)O,13.529
C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,11.67625
CCCC=CC,18.08
CCCC(=NO)C,28.9
O=C(C1(C([O-])=O)CC1)OCC,32.91
CCCCCCBr,27.636375
CCCCCC1=CC2=CC=CC=C2C=C1,34.3725
CCCCCC(=O)CC,26.433
CC(C)CCN(CCC(C)C)CCC(C)C,24.13625
CCCOP(=O)(CC)OCCC,28.02625
C1(CCC1)C(=O)OCCCC,28.8575
CCCCCCCCOCCO,29.8
P(OCCOCCC)(OCCOCCC)=O,30.635
CCCC(C(=O)C)C(=O)OCC,29.626375
S1C=CC=C1C=O,48.4725
C(CCCCCCCCCCCCCCC)(OC)=O,29.75625
ClCCO,36.55
CCCCC(CC)CC,22.12375
CC1=CC=C(C)C=C1,28.2775
CCCCCCOCCCCCC,24.5675
S1C(CCCCCCC)=CC=C1,30.1675
O=C(C(=CC1C(CCC=C1C)(C)C)C)C,32.17
OCCOCCOCCOCCOCCOCCOCCCCCCCC,32.85
O=C(OCCCCC)CCOCCCCCC,27.99375
CC(C)C(C)C(C)(C)C,21.33525
CC1(CCCC1)O,29.50375
CCCCC(CCCCC)(CCCC)Cl,27.66625
CC(OCCCC)OC(C)(C)C,22.65
C1COCO1,32.61
CCCCCCOC(=O)COCCCC,27.3875
CC(C)CCCC(C)C,20.7765
CC(=C)C1CCC(=CC1)C,26.70775
CCC(=O)OC(=O)CC,29.7
CC(CCCC)O,24.48875
CCOC(=O)C1=CC=CC=C1,34.77625
C=1C=C2C(=CC1)C=CC=C2C(OCCC)=O,39.365
COC(=O)CC=C,27.08125
C#CCO,35.7325
CCCCCOC(=O)C1=CC2=CC=CC=C2C=C1,36.99
CCN(CC)C1=CC=CC=C1,34.25
CCCCCOCCOCCO,29.9
CCCCCC(C)(CC)O,26.28725
O=C(OCC)CC1(CC([O-])=O)CC(C)CCC1,31.26
O=S1CCCC1,48.87
CCC(C(C)C)O,24.3725
CCCC(=O)OC(=O)CCC,28.44
CC(C)CCCO,24.25575
C1=CC=C(C=C1)COC2=CC=CC(=C2)C3=NC(=CS3)C=O,21.66
CCCCCCCCC(=O)O,28.9
O=C(CCCCC)CCCC,26.503625
CCCCCCOC(=O)C1=CC2=CC=CC=C2C=C1,36.585
[O-]P(OCCOCCCC)OCCOCCCC,30.96
C=C1CCCCC1,25.41875
CC1=CCCCC1,26.32125
CC(C)CC(=O)CC(C)C,25.54
O(C(=O)CCCCCCCC(OC)=O)C,35.05375
CCCCCC[N+](=O)[O-],29.322875
C(C(=O)OCCCCCC)(=O)OCCCCCC,30.235
C(C)(C)(C)N,16.87
CC1=CC=CC=C1N,40.0825
CN(C)C1=CC=CC=C1,35.77875
CC(C)OC(=O)C(=O)OC(C)C,28.17625
C(=O)(OCC)CCl,31.53375
O=C(OCC)C(CC(OCC)=O)OC(CCC)=O,30.77
CC1=CC=CC=C1,28.22375
CCCCCCCCCC#C,26.35345
O(CCCC)C(=O)CCOC,28.24125
CCCCCF,19.79125
COC(=O)CCCCCCC(=O)OC,35.37125
C=1C=C(C=CN1)C(CCCCCC)CCCCCC,31.05375
CCC(C(=O)OCC)C(=O)OCC,29.2575
CC(OCCOCC)OCCOCC,27.44
CC(C)C[N+]([O-])=O,28.1625
O=C(OC)CC(CC)(CC)CC([O-])=O,31.74
C(F)(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,15.2
